agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,176,15,95,3,15,92
1,6,154,12,120,1,12,119
2,7,108,26,152,7,24,147
3,5,176,16,94,0,16,94
4,6,155,26,105,2,26,103
5,8,81,18,187,1,18,186
6,8,87,33,166,5,31,163
7,3,202,19,65,1,18,65
8,5,172,17,97,5,17,92
9,6,149,21,116,2,20,115
10,4,149,17,120,3,16,118
11,7,86,22,178,7,22,171
12,9,114,50,122,7,44,121
13,8,126,27,133,5,26,129
14,8,94,32,160,6,29,157
15,9,98,25,163,3,24,161
16,7,79,38,169,5,36,166
17,6,145,15,126,3,15,123
18,8,75,29,182,0,29,182
19,5,105,21,160,2,20,159
20,10,79,45,162,5,45,157
21,9,64,30,192,2,29,191
22,7,103,18,165,1,18,164
23,9,76,14,196,3,14,193
24,9,83,29,174,2,28,173
25,8,103,28,155,4,27,152
26,9,94,33,159,7,30,155
27,8,122,30,134,2,30,132
28,5,170,17,99,1,17,98
29,6,78,9,199,2,7,199
30,5,113,27,146,4,24,145
31,6,132,33,121,3,33,118
32,6,85,34,167,3,33,165
33,9,125,22,139,3,20,138
34,2,218,16,52,2,14,52
35,7,101,31,154,1,31,153
36,6,102,24,160,3,23,158
37,6,146,31,109,4,31,105
38,2,244,26,16,3,23,16
39,7,189,12,85,1,12,84
40,8,85,42,159,3,41,157
41,7,167,29,90,7,26,86
42,5,151,8,127,0,8,127
43,10,81,32,173,2,32,171
44,6,139,27,120,0,27,120
45,6,118,23,145,3,22,143
46,8,94,17,175,6,15,171
47,7,122,28,136,3,26,135
48,4,182,14,90,2,13,89
49,6,129,11,146,2,11,144
50,2,223,8,55,2,7,54
51,8,106,25,155,2,25,153
52,7,114,16,156,1,16,155
53,6,128,38,120,4,37,117
54,6,159,4,123,1,4,122
55,2,238,7,41,2,6,40
56,7,117,19,150,2,19,148
57,2,238,7,41,1,7,40
58,8,73,20,193,5,20,188
59,4,187,33,66,1,33,65
60,6,142,22,122,4,22,118
61,6,156,11,119,1,11,118
62,6,118,30,138,2,29,137
63,5,148,24,114,1,24,113
64,2,210,11,65,4,10,62
65,4,206,7,73,0,7,73
66,4,182,14,90,1,14,89
67,5,110,14,162,1,14,161
68,5,166,21,99,0,21,99
69,8,79,15,192,1,15,191
70,6,136,25,125,3,24,123
71,9,58,42,186,2,42,184
72,8,104,40,142,3,39,140
73,5,142,7,137,2,7,135
74,7,158,18,110,7,17,104
75,3,204,9,73,3,8,71
76,5,177,13,96,2,11,96
77,7,78,19,189,5,18,185
78,8,108,36,142,2,35,141
79,7,95,21,170,7,21,163
