agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,200,25,76,4,24,73
1,5,186,13,102,0,13,102
2,5,146,15,140,1,15,139
3,3,202,3,96,3,3,93
4,7,115,28,158,1,27,158
5,6,162,15,124,3,15,121
6,8,91,53,157,4,51,155
7,6,131,28,142,2,28,140
8,3,211,5,85,0,5,85
9,7,145,21,135,5,20,131
10,5,195,8,98,3,8,95
11,8,104,56,141,8,53,136
12,4,179,36,86,1,35,86
13,5,108,32,161,5,28,160
14,6,139,29,133,3,29,130
15,9,82,29,190,7,27,185
16,8,134,24,143,3,23,141
17,6,198,18,85,1,18,84
18,7,113,43,145,4,43,141
19,6,168,14,119,3,14,116
20,6,141,25,135,1,25,134
21,7,118,28,155,2,28,153
22,7,102,20,179,0,20,179
23,7,143,14,144,2,14,142
24,8,62,64,175,5,60,174
25,8,88,51,162,6,50,157
26,8,118,26,157,1,25,157
27,7,124,29,148,2,29,146
28,7,160,27,114,4,26,111
29,8,104,54,143,1,53,143
30,8,126,51,124,2,49,124
31,7,154,23,124,2,23,122
32,5,143,14,144,2,14,142
33,8,89,41,171,4,41,167
34,7,109,30,162,4,29,159
35,6,147,20,134,2,20,132
36,6,143,18,140,3,18,137
37,8,88,22,191,0,22,191
38,9,132,37,132,3,36,130
39,6,155,18,128,3,16,127
40,7,118,23,160,1,22,160
41,8,121,29,151,1,29,150
42,5,121,28,152,2,27,151
43,7,170,27,104,3,27,101
44,9,109,22,170,4,22,166
45,7,135,12,154,2,12,152
46,6,138,33,130,4,32,127
47,6,171,34,96,3,33,94
48,7,143,35,123,1,34,123
49,8,142,33,126,1,32,126
50,5,205,10,86,1,10,85
51,6,96,32,173,2,31,172
52,7,129,23,149,3,22,147
53,7,127,42,132,8,38,128
54,5,143,26,132,3,24,131
55,5,191,10,100,2,10,98
56,7,158,20,123,1,19,123
57,6,142,27,132,5,24,130
58,4,178,15,108,1,15,107
59,4,178,26,97,3,24,96
60,7,125,23,153,1,22,153
61,5,161,23,117,2,23,115
62,7,143,13,145,6,11,141
63,6,147,50,104,5,48,101
64,7,156,22,123,4,22,119
65,1,281,10,10,0,10,10
66,3,182,22,97,2,22,95
67,4,194,14,93,2,14,91
68,4,178,8,115,1,8,114
69,8,104,31,166,1,30,166
70,6,142,26,133,2,26,131
71,6,130,35,136,2,34,135
72,6,126,34,141,3,34,138
73,6,99,35,167,7,33,162
74,7,136,27,138,1,27,137
75,3,210,22,69,0,22,69
76,5,156,19,126,1,19,125
77,8,94,33,174,5,33,169
78,9,127,32,142,4,31,139
79,5,140,12,149,1,12,148
