agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,5,148,22,115,4,21,112
1,3,165,21,99,3,20,97
2,5,137,17,131,3,16,129
3,5,138,19,128,2,17,128
4,3,157,8,120,0,8,120
5,6,135,20,130,3,19,128
6,7,92,49,144,7,45,141
7,7,112,28,145,5,27,141
8,7,73,35,177,4,35,173
9,7,133,29,123,0,29,123
10,5,109,8,168,1,8,167
11,6,134,29,122,0,29,122
12,8,53,40,192,3,39,190
13,6,122,44,119,3,42,118
14,6,128,25,132,1,25,131
15,6,122,24,139,4,21,138
16,6,107,27,151,2,27,149
17,8,118,24,143,2,23,142
18,8,128,18,139,3,18,136
19,4,175,5,105,0,5,105
20,7,157,26,102,5,24,99
21,9,128,27,130,2,26,129
22,7,117,21,147,3,21,144
23,11,131,31,123,3,30,121
24,5,161,19,105,1,19,104
25,6,91,34,160,5,32,157
26,8,107,29,149,4,27,147
27,5,118,15,152,1,15,151
28,9,97,32,156,4,30,154
29,7,131,28,126,4,27,123
30,8,103,36,146,1,35,146
31,7,106,44,135,6,42,131
32,6,115,11,159,3,11,156
33,5,128,32,125,4,29,124
34,8,78,29,178,4,29,174
35,6,183,6,96,1,6,95
36,6,110,12,163,1,12,162
37,7,89,33,163,5,32,159
38,6,121,13,151,4,13,147
39,7,153,18,114,1,18,113
40,7,98,33,154,0,33,154
41,7,127,20,138,0,20,138
42,6,109,11,165,4,11,161
43,7,94,36,155,8,34,149
44,7,75,32,178,4,32,174
45,6,129,19,137,1,19,136
46,7,107,49,129,4,47,127
47,7,97,24,164,4,24,160
48,8,122,35,128,5,33,125
49,6,115,12,158,1,12,157
50,4,186,9,90,1,8,90
51,7,96,33,156,6,33,150
52,8,106,29,150,7,28,144
53,7,133,33,119,4,33,115
54,6,99,8,178,4,8,174
55,5,168,25,92,2,25,90
56,8,122,27,136,4,26,133
57,7,99,16,170,2,16,168
58,6,169,23,93,4,22,90
59,6,122,16,147,3,15,145
60,7,113,27,145,7,26,139
61,7,97,32,156,6,31,151
62,6,93,27,165,6,24,162
63,9,69,41,175,1,41,174
64,5,124,24,137,0,24,137
65,0,285,0,0,0,0,0
66,6,129,18,138,2,18,136
67,4,191,16,78,2,15,77
68,1,257,3,25,1,3,24
69,5,181,14,90,1,14,89
70,6,147,28,110,5,26,107
71,7,125,29,131,4,29,127
72,6,152,17,116,3,16,114
73,6,143,22,120,4,20,118
74,5,140,12,133,2,12,131
75,6,114,34,137,8,33,130
76,5,152,18,115,2,18,113
77,6,152,20,113,5,16,112
78,6,92,24,169,4,23,166
79,7,122,20,143,2,20,141
