timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920172581
2,0,6,2,4,76,2,2,0,0.920223009
3,0,8,2,6,74,3,3,0,0.920180812
4,0,10,2,8,72,5,3,0,0.920260985
5,0,12,2,10,70,6,4,0,0.920195329
6,0,14,2,12,68,6,6,0,0.920239657
7,0,16,2,14,66,7,7,0,0.920248419
8,0,18,2,16,64,9,7,0,0.920263552
9,1,19,2,17,63,10,7,1,0.920248414
10,1,21,2,19,61,11,8,1,0.92026419
11,1,23,2,21,59,11,10,1,0.920202372
12,1,25,2,23,57,13,10,1,0.920232485
13,1,27,2,25,55,9,16,1,0.92028866
14,1,29,2,27,53,10,17,2,0.92025281
15,1,31,2,29,51,9,20,2,0.920245542
16,1,33,2,31,49,10,21,2,0.920264568
17,1,35,2,33,47,8,25,3,0.920268742
18,2,36,2,34,46,9,25,4,0.920283223
19,2,38,2,36,44,8,28,5,0.920281621
20,3,39,2,37,43,9,28,6,0.920228428
21,5,39,2,37,43,9,28,6,0.920210025
22,5,41,2,39,41,11,28,6,0.920253374
23,5,43,2,41,39,10,31,6,0.920267441
24,8,42,2,40,40,9,31,6,0.920266995
25,9,43,2,41,39,10,31,6,0.920267054
26,11,43,2,41,39,11,30,8,0.92024964
27,13,43,2,41,39,12,29,9,0.920282675
28,14,44,2,42,38,12,30,9,0.920287878
29,16,44,2,42,38,11,31,9,0.920243509
30,16,46,2,44,36,9,35,9,0.920209348
31,18,46,2,44,36,9,35,11,0.920272412
32,18,48,2,46,34,10,36,15,0.920278968
33,18,50,2,48,32,11,37,15,0.920290958
34,18,52,2,50,30,9,41,15,0.92024799
35,20,52,2,50,30,10,40,17,0.920298795
36,20,54,2,52,28,9,43,18,0.920278555
37,21,55,2,53,27,7,46,19,0.920303216
38,22,56,2,54,26,9,45,20,0.920300172
39,24,56,2,54,26,9,45,21,0.920218014
40,27,55,2,53,27,10,43,22,0.92025495
41,32,52,2,50,30,12,38,22,0.920259986
42,36,50,2,48,32,10,38,23,0.920263802
43,38,50,2,48,32,9,39,24,0.920284353
44,40,50,2,48,32,8,40,24,0.920296254
45,43,49,2,47,33,9,38,24,0.920279323
46,44,50,2,48,32,9,39,25,0.920307968
47,45,51,2,49,31,9,40,25,0.920295796
48,47,51,2,49,31,9,40,26,0.920291665
49,49,51,2,49,31,9,40,27,0.920219299
50,50,52,2,50,30,8,42,27,0.920255666
51,52,52,2,50,30,6,44,29,0.920257335
52,53,53,2,51,29,5,46,30,0.920232185
53,55,53,2,51,29,6,45,30,0.920263656
54,57,53,2,51,29,7,44,31,0.920319304
55,57,55,2,53,27,7,46,31,0.9203033
56,58,56,2,54,26,9,45,31,0.920292126
57,61,55,2,53,27,9,44,32,0.920261338
58,64,54,2,52,28,8,44,32,0.920264321
59,65,55,2,53,27,7,46,33,0.920289335
60,68,54,2,52,28,7,45,35,0.920320207
61,68,56,2,54,26,5,49,36,0.92027809
62,70,56,2,54,26,5,49,40,0.920300449
63,74,54,2,52,28,7,45,43,0.920312316
64,74,56,2,54,26,7,47,43,0.920275247
65,77,55,2,53,27,8,45,45,0.920257049
66,80,54,2,52,28,9,43,45,0.920261515
67,83,53,2,51,29,8,43,45,0.920277973
68,85,53,2,51,29,9,42,47,0.92029242
69,86,54,2,52,28,7,45,48,0.920232873
70,89,53,2,51,29,7,44,49,0.920231234
71,91,53,2,51,29,8,43,50,0.920302184
72,93,53,2,51,29,8,43,50,0.920277004
73,94,54,2,52,28,8,44,51,0.920276563
74,97,53,2,51,29,6,45,52,0.920304163
75,99,53,2,51,29,6,45,53,0.920271651
76,101,53,2,51,29,5,46,55,0.920285188
77,105,51,2,49,31,5,44,55,0.920276081
78,107,51,2,49,31,7,42,56,0.920278746
79,108,52,2,50,30,8,42,58,0.920252244
80,110,52,2,50,30,8,42,59,0.920329388
81,113,51,2,49,31,10,39,63,0.920290185
82,116,50,2,48,32,10,38,65,0.920276446
83,121,47,2,45,35,7,38,65,0.920284513
84,124,46,2,44,36,7,37,65,0.920282284
85,124,48,2,46,34,8,38,65,0.920299897
86,127,47,2,45,35,7,38,65,0.920271811
87,129,47,2,45,35,3,42,65,0.920285131
88,130,48,2,46,34,4,42,67,0.920236262
89,132,48,2,46,34,5,41,67,0.920274291
90,136,46,2,44,36,5,39,67,0.920264326
91,137,47,2,45,35,6,39,67,0.920276309
92,138,48,2,46,34,6,40,67,0.920250336
93,141,47,2,45,35,6,39,69,0.920309486
94,142,48,2,46,34,4,42,70,0.920273033
95,143,49,2,47,33,4,43,72,0.920264015
96,143,51,2,49,31,5,44,72,0.920239421
97,144,52,2,50,30,6,44,72,0.920231478
98,146,52,2,50,30,7,43,72,0.920291367
99,147,53,2,51,29,6,45,73,0.920285139
100,150,52,2,50,30,5,45,73,0.920341204
101,151,53,2,51,29,7,44,74,0.920290704
102,155,51,2,49,31,7,42,75,0.920287507
103,159,49,2,47,33,7,40,75,0.920249483
104,163,47,2,45,35,8,37,76,0.920293187
105,165,47,2,45,35,7,38,76,0.920261647
106,166,48,2,46,34,7,39,76,0.920228545
107,169,47,2,45,35,7,38,76,0.920279886
108,171,47,2,45,35,9,36,77,0.920285378
109,171,49,2,47,33,9,38,78,0.920281308
110,174,48,2,46,34,9,37,78,0.920283026
111,177,47,2,45,35,9,36,78,0.920328482
112,177,49,2,47,33,9,38,78,0.920311938
113,177,51,2,49,31,9,40,78,0.920272118
114,179,51,2,49,31,6,43,80,0.92026884
115,181,51,2,49,31,8,41,82,0.920256624
116,182,52,2,50,30,6,44,82,0.920341002
117,185,51,2,49,31,3,46,83,0.92031877
118,187,51,2,49,31,3,46,85,0.920269849
119,187,53,2,51,29,5,46,86,0.920230466
120,192,50,2,48,32,6,42,87,0.920319455
121,193,51,2,49,31,5,44,89,0.920303849
122,193,53,2,51,29,6,45,89,0.920346152
123,198,50,2,48,32,8,40,90,0.920252338
124,200,50,2,48,32,7,41,91,0.92022888
125,200,52,2,50,30,6,44,91,0.920257866
126,200,54,2,52,28,7,45,91,0.920250433
127,202,54,2,52,28,9,43,93,0.920269788
128,204,54,2,52,28,10,42,96,0.920278498
129,208,52,2,50,30,10,40,96,0.920268104
130,210,52,2,50,30,11,39,97,0.920257933
131,210,54,2,52,28,7,45,97,0.920225952
132,211,55,2,53,27,9,44,99,0.920258384
133,212,56,2,54,26,9,45,101,0.920226832
134,213,57,2,55,25,5,50,104,0.920228497
135,215,57,2,55,25,6,49,104,0.920284717
136,217,57,2,55,25,6,49,104,0.920205427
137,219,57,2,55,25,5,50,105,0.920206398
138,223,55,2,53,27,6,47,107,0.92027479
139,223,57,2,55,25,6,49,108,0.920213485
140,228,54,2,52,28,5,47,108,0.920248372
141,230,54,2,52,28,5,47,108,0.920241527
142,232,54,2,52,28,5,47,109,0.920214226
143,234,54,2,52,28,6,46,112,0.920294107
144,236,54,2,52,28,6,46,114,0.920271868
145,239,53,2,51,29,8,43,116,0.920267231
146,240,54,2,52,28,6,46,117,0.920251635
147,240,56,2,54,26,7,47,120,0.920262764
148,243,55,2,53,27,8,45,122,0.92029025
149,243,57,2,55,25,8,47,123,0.920261118
150,246,56,2,54,26,10,44,123,0.920246834
151,247,57,2,55,25,10,45,125,0.920206856
152,251,55,2,53,27,9,44,125,0.920273312
153,254,54,2,52,28,11,41,125,0.920277004
154,257,53,2,51,29,9,42,125,0.920257732
155,261,51,2,49,31,8,41,126,0.920225964
156,263,51,2,49,31,8,41,128,0.920287839
157,263,53,2,51,29,6,45,128,0.92027274
158,265,53,2,51,29,7,44,128,0.920262728
159,269,51,2,49,31,5,44,129,0.920256787
160,273,49,2,47,33,5,42,131,0.920240105
161,274,50,2,48,32,5,43,131,0.92029188
162,276,50,2,48,32,6,42,131,0.920235111
163,281,47,2,45,35,6,39,131,0.920232466
164,281,49,2,47,33,6,41,132,0.920231031
165,282,50,2,48,32,5,43,132,0.920234291
166,285,49,2,47,33,6,41,133,0.920275587
167,287,49,2,47,33,7,40,133,0.920293445
168,290,48,2,46,34,8,38,133,0.920240256
169,292,48,2,46,34,9,37,133,0.920211332
170,292,50,2,48,32,10,38,133,0.920281023
171,296,48,2,46,34,8,38,133,0.920279947
172,300,46,2,44,36,6,38,134,0.920260495
173,302,46,2,44,36,5,39,136,0.920261388
174,302,48,2,46,34,7,39,136,0.920310164
175,306,46,2,44,36,8,36,137,0.920290311
176,310,44,2,42,38,6,36,138,0.920308071
177,313,43,2,41,39,5,36,139,0.920279948
178,315,43,2,41,39,5,36,139,0.920282988
179,317,43,2,41,39,4,37,141,0.920243401
180,318,44,2,42,38,2,40,141,0.920274636
181,319,45,2,43,37,2,41,141,0.920216582
