task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,23,51,0,0,20,0,22,0,1,1,23,1.100000
1,0,1,13,29,40,0,12,14,12,16,0,1,13,29,1.142857
2,1,2,12,34,14,1,8,22,10,22,0,1,11,33,1.000000
3,1,2,8,9,20,0,6,1,6,1,0,1,7,8,1.000000
4,2,3,12,19,13,0,9,7,9,7,0,1,10,17,1.000000
5,2,3,4,16,14,0,1,9,1,11,1,1,2,14,1.222222
6,3,4,8,28,25,0,4,20,4,20,0,1,5,25,1.000000
7,3,4,10,20,24,0,6,10,6,10,0,1,7,17,1.000000
8,4,5,5,21,33,0,0,16,0,16,0,1,1,17,1.000000
9,4,5,9,23,29,0,4,14,4,14,0,1,5,19,1.000000
10,5,6,12,39,56,0,6,19,6,27,0,1,7,34,1.421053
11,5,6,17,41,79,0,11,14,11,24,0,1,12,36,1.714286
12,6,7,9,36,36,0,2,27,2,27,0,1,3,30,1.000000
13,6,7,7,35,58,0,0,28,0,28,0,1,1,29,1.000000
14,7,8,10,20,37,0,2,10,2,10,0,1,3,13,1.000000
15,7,8,8,30,27,0,0,22,0,22,0,1,1,23,1.000000
16,8,9,9,19,62,0,0,10,0,10,0,1,1,11,1.000000
17,8,9,20,37,46,0,11,17,11,17,0,1,12,29,1.000000
18,9,10,14,27,20,0,4,13,4,13,0,1,5,18,1.000000
19,9,10,11,45,35,0,1,32,1,34,0,1,2,36,1.062500
20,10,11,17,32,6,0,6,15,6,15,0,1,7,22,1.000000
21,10,11,17,32,49,0,6,15,6,15,0,1,7,22,1.000000
22,11,12,12,18,26,0,0,6,0,6,0,1,1,7,1.000000
23,11,12,13,43,30,0,1,27,1,29,1,1,2,32,1.074074
24,12,13,16,19,21,0,3,2,3,2,1,1,4,7,1.000000
25,12,13,27,33,12,0,14,4,14,4,2,1,15,21,1.000000
26,13,14,17,37,23,0,3,20,3,20,0,1,4,24,1.000000
27,13,14,16,29,16,0,2,13,2,13,0,1,3,16,1.000000
28,14,15,24,39,78,0,9,15,9,15,0,1,10,25,1.000000
29,14,15,33,58,32,2,14,21,18,25,0,1,19,44,1.190476
30,15,16,18,32,11,0,2,14,2,14,0,1,3,17,1.000000
31,15,16,23,40,32,0,7,15,7,17,0,1,8,25,1.133333
32,16,17,24,54,69,0,7,30,7,30,0,1,8,38,1.000000
33,16,17,17,26,28,0,0,8,0,8,1,1,1,10,1.000000
34,17,18,37,49,41,0,14,10,18,10,3,1,20,32,1.000000
35,17,18,22,38,14,0,4,15,4,15,1,1,5,21,1.000000
36,18,19,27,44,44,3,14,17,7,17,1,1,9,26,1.000000
37,18,19,28,43,71,0,9,14,9,14,1,1,10,25,1.000000
38,19,20,30,40,70,0,10,10,10,10,0,1,11,21,1.000000
39,19,20,20,21,13,0,0,1,0,1,0,1,1,2,1.000000
40,20,21,23,26,37,0,2,3,2,3,0,1,3,6,1.000000
41,20,21,26,45,61,0,5,19,5,19,0,1,6,25,1.000000
42,21,22,36,61,72,0,14,21,14,25,0,1,15,40,1.190476
43,21,22,30,60,62,0,8,30,8,30,0,1,9,39,1.000000
44,22,23,26,54,13,0,3,26,3,28,0,1,4,32,1.076923
45,22,23,40,65,24,3,14,21,17,23,2,1,18,43,1.095238
46,23,24,25,30,5,0,1,5,1,5,0,1,2,7,1.000000
47,23,24,29,39,21,0,5,10,5,10,0,1,6,16,1.000000
48,24,25,31,52,29,0,3,19,5,21,1,1,7,28,1.105263
49,24,25,27,42,44,0,2,15,2,15,0,1,3,18,1.000000
50,25,26,29,45,51,0,2,16,2,16,1,1,4,20,1.000000
51,25,26,36,53,24,0,10,15,10,17,0,1,11,28,1.133333
52,26,27,34,64,28,1,8,26,7,30,0,1,8,38,1.153846
53,26,27,33,54,37,5,10,19,6,21,0,1,7,28,1.105263
54,27,28,31,58,77,1,10,15,2,27,1,1,4,31,1.800000
55,27,28,31,63,68,0,3,32,3,32,0,1,4,36,1.000000
56,28,29,34,49,28,4,10,14,4,14,2,1,6,21,1.000000
57,28,29,37,52,47,1,11,15,8,15,0,1,9,24,1.000000
58,29,30,31,43,15,1,3,12,1,12,0,1,2,14,1.000000
59,29,30,38,66,47,0,8,28,8,28,0,1,9,37,1.000000
60,30,31,37,55,15,0,6,18,6,18,0,1,7,25,1.000000
61,30,31,43,65,40,0,12,22,12,22,0,1,13,35,1.000000
62,31,32,37,75,52,1,6,36,5,38,0,1,6,44,1.055556
63,31,32,41,58,27,1,7,17,8,17,1,1,10,27,1.000000
64,32,33,33,65,2,0,0,31,0,31,1,1,1,33,1.000000
65,32,33,36,52,28,0,3,12,3,16,0,1,4,20,1.333333
66,33,34,42,74,19,0,8,32,8,32,0,1,9,41,1.000000
67,33,34,34,67,22,0,0,33,0,33,0,1,1,34,1.000000
68,34,35,46,60,18,0,3,14,11,14,0,1,12,26,1.000000
69,34,35,35,45,74,0,0,10,0,10,0,1,1,11,1.000000
70,35,36,37,77,26,1,8,38,1,40,0,1,2,42,1.052632
71,35,36,46,54,11,0,9,8,9,8,1,1,11,19,1.000000
72,36,37,40,57,66,0,3,17,3,17,0,1,4,21,1.000000
73,36,37,43,72,52,0,6,25,6,29,0,1,7,36,1.160000
74,37,38,40,69,75,0,2,27,2,29,0,1,3,32,1.074074
