agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,174,5,108,2,5,106
1,1,264,4,19,0,4,19
2,2,230,8,49,1,8,48
3,3,218,20,49,3,19,47
4,5,176,22,89,2,22,87
5,7,130,18,139,2,17,138
6,4,172,23,92,1,22,92
7,7,90,41,156,2,39,156
8,6,151,22,114,2,21,113
9,5,155,18,114,1,17,114
10,4,157,9,121,1,9,120
11,6,121,15,151,1,15,150
12,8,126,21,140,3,20,138
13,7,87,31,169,3,30,167
14,9,60,25,202,6,25,196
15,6,161,15,111,0,15,111
16,5,104,25,158,1,25,157
17,7,125,31,131,8,29,125
18,7,97,22,168,0,22,168
19,8,118,36,133,4,33,132
20,9,89,18,180,8,14,176
21,8,80,33,174,3,30,174
22,7,103,35,149,7,34,143
23,6,123,25,139,3,24,137
24,6,110,22,155,1,21,155
25,8,52,34,201,1,34,200
26,10,96,32,159,4,30,157
27,5,90,37,160,6,35,156
28,4,140,25,122,2,24,121
29,8,90,18,179,3,18,176
30,7,126,28,133,1,27,133
31,5,154,19,114,1,19,113
32,6,112,42,133,5,38,132
33,8,97,53,137,6,50,134
34,3,179,13,95,0,13,95
35,7,131,42,114,1,41,114
36,10,92,30,165,5,29,161
37,10,35,37,215,3,36,213
38,9,58,31,198,8,30,191
39,3,190,19,78,1,19,77
40,8,55,25,207,4,25,203
41,10,89,40,158,5,38,155
42,5,158,15,114,1,14,114
43,9,116,28,143,4,26,141
44,8,112,31,144,2,30,143
45,7,133,24,130,2,23,129
46,9,86,39,162,3,38,160
47,7,108,34,145,4,32,143
48,4,152,10,125,1,10,124
49,5,189,23,75,2,22,74
50,6,159,23,105,2,23,103
51,8,119,35,133,7,34,127
52,6,114,26,147,3,26,144
53,9,96,13,178,6,12,173
54,6,117,5,165,1,5,164
55,4,163,7,117,2,7,115
56,7,97,28,162,7,27,156
57,7,98,35,154,6,32,151
58,9,93,28,166,4,27,163
59,6,128,14,145,4,13,142
60,6,125,29,133,3,29,130
61,3,195,9,83,0,9,83
62,6,120,8,159,1,8,158
63,7,72,18,197,2,18,195
64,6,149,15,123,1,15,122
65,0,279,8,0,0,8,0
66,3,183,18,86,1,18,85
67,6,132,21,134,6,20,129
68,2,253,3,31,0,3,31
69,3,207,18,62,5,16,59
70,7,151,26,110,2,25,109
71,8,106,52,129,5,50,126
72,6,119,12,156,2,12,154
73,8,148,22,117,1,21,117
74,4,183,13,91,1,12,91
75,5,121,13,153,3,13,150
76,9,89,32,166,3,32,163
77,7,90,33,164,4,30,163
78,6,114,34,139,3,32,138
79,8,72,35,180,8,32,175
