task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,48,16,0,3,39,3,43,1,1,4,48,1.102564
1,0,1,15,41,14,1,9,24,14,26,0,1,15,41,1.083333
2,1,2,7,16,29,0,5,9,5,9,0,1,6,15,1.000000
3,1,2,11,27,79,0,9,16,9,16,0,1,10,26,1.000000
4,2,3,3,42,7,0,0,39,0,39,0,1,1,40,1.000000
5,2,3,8,22,30,0,5,14,5,14,0,1,6,20,1.000000
6,3,4,7,16,37,0,3,9,3,9,0,1,4,13,1.000000
7,3,4,12,22,51,0,8,10,8,10,0,1,9,19,1.000000
8,4,5,13,27,46,0,8,12,8,14,0,1,9,23,1.166667
9,4,5,6,16,41,0,1,10,1,10,0,1,2,12,1.000000
10,5,6,21,33,47,2,9,7,15,11,1,1,16,28,1.571429
11,5,6,9,21,14,0,3,12,3,12,0,1,4,16,1.000000
12,6,7,7,8,20,0,0,1,0,1,0,1,1,2,1.000000
13,6,7,7,43,54,0,0,36,0,36,0,1,1,37,1.000000
14,7,8,19,36,13,0,11,13,11,17,0,1,12,29,1.307692
15,7,8,14,30,63,0,6,16,6,16,0,1,7,23,1.000000
16,8,9,14,22,56,0,5,8,5,8,0,1,6,14,1.000000
17,8,9,9,39,17,0,0,30,0,30,0,1,1,31,1.000000
18,9,10,10,28,11,0,0,16,0,18,0,1,1,19,1.125000
19,9,10,30,50,40,4,10,16,19,18,3,1,21,41,1.125000
20,10,11,23,36,33,1,12,13,11,13,1,1,13,26,1.000000
21,10,11,11,13,26,0,0,2,0,2,0,1,1,3,1.000000
22,11,12,15,21,36,0,3,5,3,5,1,1,4,10,1.000000
23,11,12,12,28,8,0,0,16,0,16,0,1,1,17,1.000000
24,12,13,16,32,62,0,3,16,3,16,0,1,4,20,1.000000
25,12,13,13,31,38,0,0,18,0,18,0,1,1,19,1.000000
26,13,14,15,24,21,0,1,9,1,9,0,1,2,11,1.000000
27,13,14,20,33,52,1,5,13,6,13,0,1,7,20,1.000000
28,14,15,24,50,53,1,9,14,9,26,0,1,10,36,1.857143
29,14,15,15,34,47,0,0,19,0,19,0,1,1,20,1.000000
30,15,16,20,39,20,2,2,17,3,17,3,1,5,24,1.000000
31,15,16,18,49,49,0,2,31,2,31,0,1,3,34,1.000000
32,16,17,19,23,58,0,2,4,2,4,0,1,3,7,1.000000
33,16,17,29,52,26,3,6,15,12,23,0,1,13,36,1.533333
34,17,18,18,49,77,0,0,27,0,31,0,1,1,32,1.148148
35,17,18,20,44,40,0,2,18,2,24,0,1,3,27,1.333333
36,18,19,20,27,35,0,1,7,1,7,0,1,2,9,1.000000
37,18,19,19,33,57,0,0,14,0,14,0,1,1,15,1.000000
38,19,20,21,32,18,1,4,8,1,10,1,1,2,13,1.250000
39,19,20,23,48,71,1,8,23,3,23,2,1,4,29,1.000000
40,20,21,22,32,19,0,1,10,1,10,0,1,2,12,1.000000
41,20,21,27,40,43,0,6,13,6,13,0,1,7,20,1.000000
42,21,22,22,37,53,0,0,15,0,15,0,1,1,16,1.000000
43,21,22,22,40,14,0,0,16,0,18,0,1,1,19,1.125000
44,22,23,31,41,71,0,8,7,8,9,1,1,9,19,1.285714
45,22,23,29,49,6,0,6,14,6,20,0,1,7,27,1.428571
46,23,24,29,43,58,0,5,13,5,13,1,1,6,20,1.000000
47,23,24,24,48,18,0,0,24,0,24,0,1,1,25,1.000000
48,24,25,34,35,31,0,9,1,9,1,0,1,10,11,1.000000
49,24,25,35,46,22,1,8,11,10,11,0,1,11,22,1.000000
50,25,26,41,60,78,6,10,19,14,19,1,1,16,35,1.000000
51,25,26,36,60,24,1,6,23,10,23,1,1,11,35,1.000000
52,26,27,27,35,29,0,0,7,0,7,1,1,1,9,1.000000
53,26,27,36,54,24,0,7,14,9,18,0,1,10,28,1.285714
54,27,28,36,59,79,0,6,19,8,21,2,1,9,32,1.105263
55,27,28,38,41,30,0,9,3,9,3,1,1,11,14,1.000000
56,28,29,31,62,76,0,2,31,2,31,0,1,3,34,1.000000
57,28,29,30,53,35,0,1,23,1,23,0,1,2,25,1.000000
58,29,30,33,55,5,0,3,20,3,22,0,1,4,26,1.100000
59,29,30,37,54,44,0,7,17,7,17,0,1,8,25,1.000000
60,30,31,45,59,23,4,7,14,12,14,2,1,15,29,1.000000
61,30,31,34,55,32,0,3,19,3,21,0,1,4,25,1.105263
62,31,32,37,53,27,3,5,16,5,16,0,1,6,22,1.000000
63,31,32,39,58,22,5,4,19,7,19,0,1,8,27,1.000000
64,32,33,37,38,22,0,4,1,4,1,0,1,5,6,1.000000
65,32,33,39,59,63,4,6,20,6,20,0,1,7,27,1.000000
66,33,34,47,50,37,7,10,3,12,3,1,1,14,17,1.000000
67,33,34,34,61,67,0,0,26,0,26,1,1,1,28,1.000000
68,34,35,38,41,64,2,3,3,3,3,0,1,4,7,1.000000
69,34,35,42,61,63,7,4,12,6,18,2,1,8,27,1.500000
70,35,36,43,59,59,1,8,16,7,16,0,1,8,24,1.000000
71,35,36,41,71,11,2,10,29,5,29,1,1,6,36,1.000000
72,36,37,43,63,23,2,6,12,6,20,0,1,7,27,1.666667
73,36,37,37,73,45,0,0,36,0,36,0,1,1,37,1.000000
74,37,38,46,72,41,0,7,25,7,25,2,1,9,35,1.000000
75,37,38,38,75,12,0,0,35,0,37,0,1,1,38,1.057143
76,38,39,45,64,51,1,8,17,6,19,0,1,7,26,1.117647
77,38,39,39,71,13,0,0,32,0,32,0,1,1,33,1.000000
78,39,40,41,53,19,0,1,12,1,12,0,1,2,14,1.000000
79,39,40,42,61,15,0,2,19,2,19,0,1,3,22,1.000000
80,40,41,58,78,43,1,3,20,16,20,1,1,18,38,1.000000
81,40,41,46,50,17,0,5,4,5,4,0,1,6,10,1.000000
82,41,42,50,90,46,2,7,36,7,40,1,1,9,49,1.111111
83,41,42,43,46,26,0,1,3,1,3,0,1,2,5,1.000000
84,42,43,45,76,10,2,2,23,2,31,0,1,3,34,1.347826
85,42,43,45,58,43,0,2,13,2,13,0,1,3,16,1.000000
