timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920564388
2,0,6,2,4,76,3,1,0,0.920607818
3,0,8,2,6,74,5,1,0,0.920558239
4,0,10,2,8,72,7,1,0,0.920552933
5,0,12,2,10,70,8,2,0,0.920547856
6,0,14,2,12,68,7,5,1,0.920627078
7,0,16,2,14,66,8,6,1,0.920621358
8,0,18,2,16,64,8,8,1,0.920546061
9,0,20,2,18,62,9,9,1,0.920529425
10,0,22,2,20,60,9,11,1,0.920599547
11,0,24,2,22,58,9,13,1,0.920592045
12,1,25,2,23,57,7,16,2,0.92059852
13,1,27,2,25,55,7,18,2,0.92061932
14,1,29,2,27,53,9,18,3,0.920625057
15,1,31,2,29,51,10,19,4,0.920650637
16,3,31,2,29,51,9,20,4,0.920629198
17,4,32,2,30,50,9,21,6,0.920592372
18,5,33,2,31,49,8,23,6,0.920627524
19,7,33,2,31,49,10,21,6,0.920646259
20,9,33,2,31,49,12,19,7,0.920648776
21,11,33,2,31,49,12,19,8,0.920686794
22,11,35,2,33,47,11,22,8,0.92065486
23,12,36,2,34,46,11,23,8,0.920691308
24,12,38,2,36,44,11,25,9,0.920557632
25,13,39,2,37,43,11,26,9,0.920643474
26,15,39,2,37,43,11,26,9,0.92062644
27,15,41,2,39,41,10,29,10,0.920606655
28,15,43,2,41,39,11,30,10,0.920692209
29,17,43,2,41,39,13,28,11,0.920685673
30,20,42,2,40,40,14,26,12,0.920717213
31,20,44,2,42,38,14,28,13,0.920661877
32,21,45,2,43,37,15,28,13,0.920751399
33,22,46,2,44,36,15,29,13,0.920624271
34,25,45,2,43,37,15,28,13,0.920627292
35,27,45,2,43,37,10,33,15,0.920578897
36,28,46,2,44,36,11,33,16,0.920487863
37,30,46,2,44,36,12,32,16,0.92057903
38,30,48,2,46,34,10,36,18,0.920643827
39,33,47,2,45,35,9,36,19,0.920627873
40,34,48,2,46,34,9,37,20,0.920590835
41,35,49,2,47,33,9,38,20,0.920570205
42,37,49,2,47,33,9,38,21,0.920591633
43,40,48,2,46,34,6,40,25,0.920574984
44,40,50,2,48,32,6,42,27,0.920579139
45,43,49,2,47,33,7,40,27,0.920564892
46,45,49,2,47,33,7,40,28,0.92062374
47,45,51,2,49,31,5,44,29,0.920649412
48,46,52,2,50,30,5,45,31,0.920598769
49,48,52,2,50,30,7,43,31,0.92060897
50,48,54,2,52,28,9,43,33,0.920659164
51,49,55,2,53,27,10,43,33,0.920654879
52,52,54,2,52,28,10,42,33,0.92059309
53,54,54,2,52,28,10,42,33,0.920608762
54,56,54,2,52,28,9,43,35,0.920627784
55,60,52,2,50,30,8,42,36,0.920565351
56,64,50,2,48,32,7,41,38,0.92055645
57,66,50,2,48,32,7,41,40,0.920578368
