agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,159,9,126,1,9,125
1,4,195,18,81,2,17,80
2,5,131,27,136,3,26,134
3,4,183,21,90,6,16,89
4,6,133,22,139,4,22,135
5,7,151,10,133,6,9,128
6,8,107,41,146,3,39,145
7,5,117,25,152,2,24,151
8,8,74,13,207,1,13,206
9,5,133,19,142,3,17,141
10,4,190,7,97,0,7,97
11,6,94,33,167,2,31,167
12,5,153,24,117,0,24,117
13,10,65,28,201,4,27,198
14,11,67,38,189,1,38,188
15,6,108,33,153,2,32,152
16,10,86,22,186,4,20,184
17,7,152,22,120,2,22,118
18,8,96,21,177,7,20,171
19,5,158,14,122,3,14,119
20,8,90,23,181,3,22,179
21,9,76,27,191,3,27,188
22,4,182,23,89,1,22,89
23,5,182,13,99,0,13,99
24,7,137,25,132,5,25,127
25,7,106,32,156,3,30,155
26,10,92,38,164,1,37,164
27,8,67,34,193,3,33,191
28,6,119,34,141,2,34,139
29,8,113,32,149,4,30,147
30,9,109,43,142,3,42,140
31,6,162,15,117,0,15,117
32,8,128,15,151,4,14,148
33,6,134,49,111,1,48,111
34,7,140,22,132,1,22,131
35,6,200,10,84,3,9,82
36,9,107,37,150,4,35,148
37,7,151,27,116,2,27,114
38,6,127,16,151,4,16,147
39,3,216,1,77,1,1,76
40,7,139,28,127,2,27,126
41,5,148,30,116,3,30,113
42,6,147,10,137,6,9,132
43,7,108,17,169,2,17,167
44,8,116,33,145,1,32,145
45,6,129,11,154,3,11,151
46,6,152,28,114,1,27,114
47,6,140,35,119,2,35,117
48,4,195,19,80,3,17,79
49,5,141,5,148,0,5,148
50,4,169,12,113,1,11,113
51,10,92,56,146,3,55,144
52,8,113,39,142,8,36,137
53,7,108,25,161,0,25,161
54,8,75,20,199,2,20,197
55,7,93,42,159,5,41,155
56,9,128,21,145,4,21,141
57,6,117,8,169,2,8,167
58,8,153,19,122,3,19,119
59,6,143,19,132,1,18,132
60,7,136,26,132,1,25,132
61,8,87,8,199,2,8,197
62,6,158,28,108,4,27,105
63,7,97,29,168,3,28,166
64,6,138,27,129,2,26,128
65,0,294,0,0,0,0,0
66,2,218,8,68,1,8,67
67,3,210,10,74,2,9,73
68,4,172,8,114,4,8,110
69,6,158,26,110,3,26,107
70,4,208,11,75,2,10,74
71,5,137,28,129,2,27,128
72,3,204,10,80,6,9,75
73,1,283,1,10,0,1,10
74,5,195,19,80,0,19,80
75,5,140,21,133,2,20,132
76,5,196,20,78,2,18,78
77,6,123,18,153,2,17,152
78,7,99,32,163,1,32,162
79,10,63,27,204,1,27,203
