timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.92017304
2,0,6,2,4,76,3,1,0,0.92022784
3,0,8,2,6,74,5,1,0,0.920248703
4,0,10,2,8,72,6,2,0,0.92026104
5,0,12,2,10,70,7,3,0,0.92028554
6,0,14,2,12,68,6,6,0,0.920224809
7,0,16,2,14,66,8,6,0,0.920238894
8,0,18,2,16,64,7,9,0,0.920189876
9,0,20,2,18,62,9,9,0,0.920283915
10,0,22,2,20,60,10,10,0,0.920275035
11,0,24,2,22,58,11,11,0,0.920274953
12,0,26,2,24,56,10,14,0,0.920269
13,0,28,2,26,54,12,14,1,0.920302385
14,0,30,2,28,52,12,16,1,0.920272842
15,0,32,2,30,50,11,19,1,0.92029155
16,0,34,2,32,48,11,21,1,0.920233864
17,1,35,2,33,47,9,24,1,0.920225521
18,2,36,2,34,46,10,24,2,0.920276636
19,2,38,2,36,44,10,26,2,0.9202614
20,2,40,2,38,42,11,27,2,0.92027603
21,2,42,2,40,40,12,28,2,0.920259872
22,3,43,2,41,39,10,31,2,0.920341239
23,4,44,2,42,38,11,31,2,0.920261026
24,6,44,2,42,38,12,30,2,0.92027436
25,6,46,2,44,36,9,35,3,0.920265954
26,6,48,2,46,34,11,35,3,0.920234015
27,6,50,2,48,32,11,37,3,0.920274848
28,6,52,2,50,30,11,39,4,0.920319908
29,7,53,2,51,29,11,40,5,0.920258511
30,8,54,2,52,28,10,42,6,0.920270615
31,11,53,2,51,29,8,43,6,0.92030533
32,11,55,2,53,27,9,44,7,0.920314995
33,14,54,2,52,28,8,44,7,0.920304532
34,16,54,2,52,28,9,43,7,0.920243354
35,19,53,2,51,29,8,43,9,0.920282073
36,22,52,2,50,30,10,40,12,0.920330778
37,22,54,2,52,28,8,44,12,0.9202968
38,24,54,2,52,28,7,45,15,0.920273743
39,27,53,2,51,29,5,46,15,0.920340328
40,27,55,2,53,27,6,47,16,0.920311162
41,29,55,2,53,27,7,46,17,0.920285896
42,30,56,2,54,26,9,45,17,0.920289032
43,33,55,2,53,27,11,42,18,0.920257893
44,39,51,2,49,31,12,37,19,0.92033909
45,42,50,2,48,32,11,37,19,0.920273716
46,44,50,2,48,32,9,39,21,0.920309965
47,44,52,2,50,30,9,41,22,0.920309864
48,44,54,2,52,28,8,44,23,0.920306495
49,45,55,2,53,27,9,44,23,0.920358914
50,46,56,2,54,26,10,44,24,0.920324224
51,47,57,2,55,25,9,46,25,0.920333218
52,50,56,2,54,26,9,45,26,0.920283765
53,51,57,2,55,25,8,47,28,0.920235918
54,52,58,2,56,24,8,48,29,0.920290859
55,57,55,2,53,27,10,43,30,0.920301413
56,59,55,2,53,27,10,43,30,0.920244665
57,60,56,2,54,26,9,45,30,0.920226042
58,62,56,2,54,26,9,45,31,0.920255227
59,64,56,2,54,26,10,44,32,0.920252126
60,64,58,2,56,24,7,49,33,0.920304525
61,66,58,2,56,24,6,50,33,0.920291955
62,67,59,2,57,23,6,51,36,0.920263848
63,68,60,2,58,22,5,53,36,0.920284452
64,71,59,2,57,23,6,51,36,0.920220226
65,74,58,2,56,24,6,50,37,0.920273514
66,78,56,2,54,26,7,47,38,0.920270613
67,83,53,2,51,29,8,43,40,0.920254836
68,86,52,2,50,30,9,41,40,0.920242771
69,89,51,2,49,31,11,38,40,0.920251287
70,91,51,2,49,31,12,37,40,0.920353724
71,92,52,2,50,30,11,39,40,0.920301656
72,92,54,2,52,28,11,41,41,0.920260457
73,94,54,2,52,28,12,40,41,0.920256434
74,97,53,2,51,29,10,41,42,0.920208545
75,99,53,2,51,29,8,43,43,0.920267918
76,103,51,2,49,31,9,40,44,0.920292355
77,104,52,2,50,30,10,40,45,0.92028866
78,105,53,2,51,29,8,43,45,0.920320017
79,107,53,2,51,29,8,43,46,0.920297756
80,107,55,2,53,27,9,44,47,0.920311308
81,109,55,2,53,27,10,43,47,0.92030511
82,111,55,2,53,27,9,44,47,0.920296905
83,112,56,2,54,26,9,45,48,0.92022158
84,115,55,2,53,27,11,42,48,0.920312886
85,120,52,2,50,30,10,40,48,0.920311144
86,122,52,2,50,30,10,40,50,0.920313438
87,123,53,2,51,29,11,40,52,0.920293479
88,125,53,2,51,29,9,42,52,0.920270289
89,127,53,2,51,29,9,42,52,0.920300669
90,130,52,2,50,30,7,43,54,0.920287137
91,131,53,2,51,29,8,43,55,0.920313058
92,134,52,2,50,30,7,43,57,0.920271868
93,136,52,2,50,30,7,43,58,0.920402419
94,139,51,2,49,31,7,42,59,0.920282668
95,142,50,2,48,32,8,40,60,0.920322173
96,143,51,2,49,31,6,43,60,0.920267489
97,146,50,2,48,32,8,40,60,0.920283158
98,149,49,2,47,33,8,39,61,0.920267615
99,150,50,2,48,32,7,41,61,0.92024568
100,151,51,2,49,31,7,42,63,0.920326787
101,152,52,2,50,30,6,44,64,0.920274021
102,154,52,2,50,30,5,45,66,0.920218807
103,157,51,2,49,31,6,43,67,0.920253666
104,158,52,2,50,30,7,43,68,0.920293462
105,162,50,2,48,32,7,41,68,0.920257766
106,166,48,2,46,34,7,39,70,0.920280702
107,167,49,2,47,33,7,40,72,0.920297422
108,168,50,2,48,32,6,42,72,0.920265402
109,170,50,2,48,32,8,40,74,0.920266173
110,172,50,2,48,32,7,41,76,0.920270995
111,177,47,2,45,35,7,38,76,0.92022478
112,179,47,2,45,35,5,40,76,0.920282173
113,179,49,2,47,33,5,42,77,0.920285889
114,180,50,2,48,32,2,46,77,0.920286096
115,183,49,2,47,33,3,44,78,0.920258953
116,187,47,2,45,35,4,41,79,0.920310543
117,188,48,2,46,34,5,41,80,0.920298661
118,191,47,2,45,35,4,41,82,0.920261988
119,192,48,2,46,34,4,42,82,0.920239129
120,192,50,2,48,32,2,46,83,0.920222834
121,193,51,2,49,31,3,46,83,0.920312033
122,197,49,2,47,33,5,42,84,0.920290023
123,201,47,2,45,35,5,40,84,0.920271115
124,202,48,2,46,34,7,39,85,0.92026514
125,204,48,2,46,34,6,40,85,0.92026959
126,206,48,2,46,34,1,45,85,0.920263926
127,206,50,2,48,32,2,46,85,0.920216102
128,208,50,2,48,32,4,44,86,0.920235822
129,212,48,2,46,34,6,40,87,0.920209809
130,213,49,2,47,33,6,41,88,0.920282245
131,213,51,2,49,31,7,42,89,0.920275108
132,215,51,2,49,31,8,41,90,0.920209238
133,217,51,2,49,31,8,41,91,0.920233731
134,220,50,2,48,32,6,42,91,0.920247076
135,222,50,2,48,32,5,43,91,0.920259686
136,229,45,2,43,37,6,37,91,0.920273243
137,230,46,2,44,36,6,38,91,0.920278513
138,234,44,2,42,38,7,35,91,0.920270975
139,237,43,2,41,39,7,34,91,0.920311998
140,240,42,2,40,40,4,36,91,0.920300185
141,242,42,2,40,40,5,35,92,0.920282459
142,245,41,2,39,41,5,34,92,0.920285418
143,246,42,2,40,40,5,35,94,0.920276249
144,249,41,2,39,41,5,34,95,0.920289209
145,253,39,2,37,43,4,33,95,0.920265191
146,254,40,2,38,42,3,35,95,0.920244674
147,256,40,2,38,42,4,34,96,0.920271891
148,258,40,2,38,42,4,34,96,0.920316327
149,258,42,2,40,40,4,36,97,0.920275849
150,258,44,2,42,38,5,37,97,0.920230123
151,260,44,2,42,38,5,37,97,0.920238752
152,265,41,2,39,41,4,35,98,0.920225475
153,267,41,2,39,41,6,33,99,0.920280728
154,267,43,2,41,39,5,36,100,0.92031812
155,270,42,2,40,40,5,35,101,0.920314638
156,274,40,2,38,42,4,34,101,0.920238039
157,275,41,2,39,41,4,35,101,0.920281788
158,277,41,2,39,41,4,35,102,0.920294071
159,278,42,2,40,40,6,34,102,0.920310774
160,280,42,2,40,40,7,33,102,0.920289432
161,280,44,2,42,38,8,34,102,0.920296114
162,281,45,2,43,37,6,37,103,0.920304883
163,282,46,2,44,36,6,38,104,0.920319686
164,283,47,2,45,35,6,39,106,0.920273778
165,284,48,2,46,34,6,40,108,0.920263549
166,284,50,2,48,32,6,42,108,0.92026899
167,285,51,2,49,31,7,42,108,0.920274767
168,285,53,2,51,29,8,43,112,0.920286679
169,287,53,2,51,29,9,42,112,0.920283955
170,289,53,2,51,29,9,42,113,0.920260399
171,291,53,2,51,29,10,41,114,0.920294601
172,293,53,2,51,29,9,42,114,0.920287447
173,294,54,2,52,28,10,42,116,0.920274815
174,295,55,2,53,27,9,44,116,0.920242737
175,296,56,2,54,26,9,45,117,0.920312916
176,297,57,2,55,25,7,48,118,0.920282646
