task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,21,51,0,0,20,0,20,0,1,1,21,1.000000
1,0,1,20,37,40,2,12,14,19,16,1,1,20,37,1.142857
2,1,2,12,34,14,1,8,22,10,22,0,1,11,33,1.000000
3,1,2,11,12,20,1,6,1,9,1,0,1,10,11,1.000000
4,2,3,12,19,13,0,9,7,9,7,0,1,10,17,1.000000
5,2,3,4,16,14,0,1,9,1,11,1,1,2,14,1.222222
6,3,4,8,28,25,0,4,20,4,20,0,1,5,25,1.000000
7,3,4,6,16,20,0,2,10,2,10,0,1,3,13,1.000000
8,4,5,5,21,33,0,0,16,0,16,0,1,1,17,1.000000
9,4,5,9,23,24,0,4,14,4,14,0,1,5,19,1.000000
10,5,6,12,38,56,0,6,19,6,25,1,1,7,33,1.315789
11,5,6,32,50,79,9,11,14,26,18,0,1,27,45,1.285714
12,6,7,9,36,29,0,2,27,2,27,0,1,3,30,1.000000
13,6,7,7,35,58,0,0,28,0,28,0,1,1,29,1.000000
14,7,8,10,20,37,0,2,10,2,10,0,1,3,13,1.000000
15,7,8,8,30,27,0,0,22,0,22,0,1,1,23,1.000000
16,8,9,9,19,62,0,0,10,0,10,0,1,1,11,1.000000
17,8,9,9,26,40,0,0,17,0,17,0,1,1,18,1.000000
18,9,10,17,30,12,1,11,13,7,13,0,1,8,21,1.000000
19,9,10,11,47,35,0,1,32,1,36,0,1,2,38,1.125000
20,10,11,18,33,5,0,7,15,7,15,0,1,8,23,1.000000
21,10,11,15,30,46,0,4,15,4,15,0,1,5,20,1.000000
22,11,12,12,18,26,0,0,6,0,6,0,1,1,7,1.000000
23,11,12,13,43,30,0,1,27,1,29,1,1,2,32,1.074074
24,12,13,17,19,21,0,3,2,3,2,1,1,5,7,1.000000
25,12,13,24,28,12,2,11,4,10,4,1,1,12,16,1.000000
26,13,14,17,37,23,0,3,20,3,20,0,1,4,24,1.000000
27,13,14,16,29,16,0,2,13,2,13,0,1,3,16,1.000000
28,14,15,32,47,78,8,9,15,14,15,3,1,18,33,1.000000
29,14,15,32,54,36,6,13,21,16,21,2,1,18,40,1.000000
30,15,16,18,32,11,0,2,14,2,14,0,1,3,17,1.000000
31,15,16,25,41,36,1,6,15,8,15,2,1,10,26,1.000000
32,16,17,21,55,49,0,4,30,4,34,0,1,5,39,1.133333
33,16,17,17,26,28,0,0,8,0,8,1,1,1,10,1.000000
34,17,18,28,42,41,3,14,10,10,14,0,1,11,25,1.400000
35,17,18,22,45,14,0,4,15,4,23,0,1,5,28,1.533333
36,18,19,23,46,79,1,1,17,3,23,1,1,5,28,1.352941
37,18,19,30,47,71,2,9,14,11,16,1,1,12,29,1.142857
38,19,20,28,38,70,1,10,10,8,10,0,1,9,19,1.000000
39,19,20,20,21,13,0,0,1,0,1,0,1,1,2,1.000000
40,20,21,23,26,37,0,2,3,2,3,0,1,3,6,1.000000
41,20,21,26,45,61,0,5,19,5,19,0,1,6,25,1.000000
42,21,22,36,58,72,2,14,21,14,21,1,1,15,37,1.000000
43,21,22,22,54,78,0,0,30,0,32,0,1,1,33,1.066667
44,22,23,26,54,13,0,3,26,3,28,0,1,4,32,1.076923
45,22,23,24,55,36,0,1,21,1,31,0,1,2,33,1.476190
46,23,24,25,30,15,0,1,5,1,5,0,1,2,7,1.000000
47,23,24,29,39,21,0,5,10,5,10,0,1,6,16,1.000000
48,24,25,33,54,41,1,9,19,8,21,0,1,9,30,1.105263
49,24,25,27,42,44,0,2,15,2,15,0,1,3,18,1.000000
50,25,26,26,42,51,0,0,16,0,16,0,1,1,17,1.000000
51,25,26,34,49,20,0,8,15,8,15,0,1,9,24,1.000000
52,26,27,34,60,37,0,7,26,7,26,0,1,8,34,1.000000
53,26,27,39,61,28,3,11,19,12,21,1,1,13,35,1.105263
54,27,28,33,49,40,1,5,15,5,15,1,1,6,22,1.000000
55,27,28,30,66,62,0,2,32,2,36,0,1,3,39,1.125000
56,28,29,35,53,28,2,8,14,6,16,2,1,7,25,1.142857
57,28,29,35,50,47,3,11,15,5,15,1,1,7,22,1.000000
58,29,30,33,45,19,0,3,12,3,12,0,1,4,16,1.000000
59,29,30,40,68,47,2,8,28,10,28,0,1,11,39,1.000000
60,30,31,37,55,15,0,4,18,6,18,0,1,7,25,1.000000
61,30,31,31,56,46,0,0,22,0,24,1,1,1,26,1.090909
62,31,32,34,74,27,0,2,36,2,40,0,1,3,43,1.111111
63,31,32,32,49,40,0,0,17,0,17,0,1,1,18,1.000000
64,32,33,33,64,2,0,0,31,0,31,0,1,1,32,1.000000
65,32,33,34,50,28,0,1,12,1,16,0,1,2,18,1.333333
66,33,34,38,73,4,1,9,32,4,34,1,1,5,40,1.062500
67,33,34,34,69,22,0,0,33,0,35,0,1,1,36,1.060606
68,34,35,38,52,18,0,3,14,3,14,0,1,4,18,1.000000
69,34,35,35,45,74,0,0,10,0,10,0,1,1,11,1.000000
70,35,36,37,80,26,1,8,38,0,42,2,1,2,45,1.105263
71,35,36,58,66,41,4,8,8,20,8,2,1,23,31,1.000000
72,36,37,40,57,66,0,3,17,3,17,0,1,4,21,1.000000
73,36,37,43,70,52,0,6,25,6,27,0,1,7,34,1.080000
74,37,38,38,69,73,0,0,27,0,31,0,1,1,32,1.148148
75,37,38,44,66,23,1,9,22,6,22,0,1,7,29,1.000000
76,38,39,49,78,56,2,8,27,8,29,2,1,11,40,1.074074
77,38,39,43,59,26,0,4,15,4,15,1,1,5,21,1.000000
78,39,40,45,54,71,0,5,9,5,9,0,1,6,15,1.000000
79,39,40,43,60,21,0,3,13,3,17,0,1,4,21,1.307692
80,40,41,43,73,69,1,3,30,2,30,0,1,3,33,1.000000
81,40,41,47,72,10,0,6,22,6,24,1,1,7,32,1.090909
82,41,42,45,52,31,1,10,6,3,6,1,1,4,11,1.000000
83,41,42,47,56,23,0,5,9,5,9,0,1,6,15,1.000000
84,42,43,44,55,51,1,2,9,1,11,0,1,2,13,1.222222
85,42,43,49,87,4,0,6,38,6,38,0,1,7,45,1.000000
86,43,44,44,60,12,0,0,16,0,16,0,1,1,17,1.000000
87,43,44,48,57,69,1,8,6,4,8,1,1,5,14,1.333333
88,44,45,45,67,45,0,0,20,0,22,0,1,1,23,1.100000
89,44,45,46,64,56,0,1,12,1,18,0,1,2,20,1.500000
90,45,46,59,97,69,2,10,24,13,38,0,1,14,52,1.583333
91,45,46,48,86,65,0,2,32,2,38,0,1,3,41,1.187500
92,46,47,51,61,58,0,4,10,4,10,0,1,5,15,1.000000
93,46,47,50,59,43,2,7,7,3,9,0,1,4,13,1.285714
94,47,48,51,56,17,1,8,4,3,4,1,1,4,9,1.000000
95,47,48,49,72,9,0,1,23,1,23,0,1,2,25,1.000000
96,48,49,56,90,31,2,11,31,7,33,1,1,8,42,1.064516
97,48,49,54,63,43,0,5,9,5,9,0,1,6,15,1.000000
98,49,50,59,92,63,0,7,27,9,33,0,1,10,43,1.222222
99,49,50,67,74,77,3,10,7,17,7,0,1,18,25,1.000000
100,50,51,51,56,28,0,0,2,0,4,1,1,1,6,2.000000
101,50,51,54,74,48,2,8,20,3,20,0,1,4,24,1.000000
102,51,52,56,81,69,0,4,23,4,25,0,1,5,30,1.086957
103,51,52,53,86,17,0,1,29,1,33,0,1,2,35,1.137931
104,52,53,56,85,44,0,3,27,3,29,0,1,4,33,1.074074
105,52,53,54,77,61,0,1,22,1,22,1,1,2,25,1.000000
106,53,54,56,81,19,0,2,25,2,25,0,1,3,28,1.000000
