agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,169,18,100,1,17,100
1,2,197,17,73,2,16,72
2,7,123,15,149,2,14,148
3,5,134,21,132,3,20,130
4,5,172,21,94,3,20,92
5,7,145,23,119,4,21,117
6,8,81,36,170,6,34,166
7,7,103,15,169,2,15,167
8,5,178,30,79,2,28,79
9,4,154,13,120,2,12,119
10,4,140,18,129,3,16,128
11,7,87,27,173,7,26,167
12,5,137,8,142,5,8,137
13,7,130,18,139,1,17,139
14,8,70,47,170,4,47,166
15,7,92,24,171,4,23,168
16,7,56,38,193,4,38,189
17,7,79,29,179,5,27,176
18,6,106,17,164,1,17,163
19,7,101,32,154,5,30,151
20,7,99,38,150,7,33,148
21,10,127,33,127,7,31,122
22,5,123,26,138,1,26,137
23,5,161,25,101,1,25,100
24,6,86,16,185,1,15,185
25,8,128,34,125,2,33,124
26,7,130,20,137,4,17,136
27,5,138,30,119,2,29,118
28,8,102,25,160,5,23,157
29,8,86,44,157,2,44,155
30,10,116,41,130,6,39,126
31,6,103,30,154,6,27,151
32,8,128,36,123,0,36,123
33,7,68,49,170,5,48,166
34,7,121,12,154,0,12,154
35,8,127,15,145,2,14,144
36,7,116,46,125,1,46,124
37,6,144,13,130,2,13,128
38,5,141,24,122,4,23,119
39,2,213,10,64,0,10,64
40,9,79,40,168,3,39,166
41,5,140,16,131,1,16,130
42,7,109,12,166,1,11,166
43,7,105,22,160,4,20,158
44,9,115,41,131,7,39,126
45,10,102,18,167,1,18,166
46,7,120,25,142,1,24,142
47,6,123,19,145,0,19,145
48,7,118,27,142,3,26,140
49,5,153,17,117,3,16,115
50,4,200,17,70,5,14,68
51,9,100,33,154,4,32,151
52,7,115,14,158,5,13,154
53,8,104,30,153,4,30,149
54,6,91,13,183,2,13,181
55,6,125,20,142,2,20,140
56,8,98,25,164,7,21,161
57,6,138,50,99,3,48,98
58,8,125,24,138,4,24,134
59,6,121,13,153,2,13,151
60,5,140,47,100,2,47,98
61,6,115,13,159,5,12,155
62,8,106,41,140,4,39,138
63,6,130,19,138,1,19,137
64,5,174,13,100,1,13,99
65,0,279,8,0,0,8,0
66,2,200,11,76,1,11,75
67,7,153,16,118,0,16,118
68,4,182,12,93,1,12,92
69,6,111,19,157,2,18,156
70,6,171,25,91,3,25,88
71,5,145,20,122,0,20,122
72,4,193,14,80,2,13,79
73,7,133,14,140,4,13,137
74,5,131,29,127,2,28,126
75,5,205,7,75,2,6,74
76,7,124,33,130,2,32,129
77,5,146,22,119,1,22,118
78,9,111,38,138,1,37,138
79,4,173,31,83,0,31,83
