timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.921067826
2,0,6,2,4,76,4,0,0,0.920362561
3,0,8,2,6,74,5,1,0,0.92064596
4,0,10,2,8,72,6,2,0,0.920534218
5,0,12,2,10,70,8,2,0,0.920648343
6,0,14,2,12,68,9,3,0,0.920730262
7,0,16,2,14,66,7,7,0,0.920661714
8,1,17,2,15,65,8,7,0,0.920701271
9,1,19,2,17,63,8,9,0,0.920240721
10,1,21,2,19,61,8,11,0,0.920770025
11,1,23,2,21,59,10,11,0,0.920999791
12,1,25,2,23,57,10,13,0,0.920267477
13,1,27,2,25,55,9,16,0,0.920894994
14,2,28,2,26,54,8,18,0,0.9210124
15,2,30,2,28,52,8,20,0,0.920309355
16,5,29,2,27,53,8,19,1,0.920482729
17,5,31,2,29,51,10,19,1,0.920812788
18,5,33,2,31,49,11,20,2,0.920870162
19,5,35,2,33,47,8,25,3,0.920891217
20,6,36,2,34,46,8,26,3,0.920243237
21,8,36,2,34,46,7,27,3,0.920376901
22,10,36,2,34,46,8,26,3,0.920304893
23,11,37,2,35,45,9,26,4,0.920461912
24,12,38,2,36,44,8,28,5,0.920275534
25,13,39,2,37,43,7,30,6,0.920610278
26,15,39,2,37,43,6,31,7,0.921015935
27,16,40,2,38,42,8,30,7,0.920834518
28,17,41,2,39,41,10,29,8,0.920142276
29,18,42,2,40,40,9,31,9,0.920297384
30,19,43,2,41,39,11,30,10,0.92109312
31,21,43,2,41,39,12,29,10,0.920232032
32,23,43,2,41,39,13,28,11,0.920162205
33,24,44,2,42,38,15,27,13,0.920192365
34,25,45,2,43,37,14,29,14,0.920777332
35,26,46,2,44,36,15,29,14,0.920345787
36,29,45,2,43,37,14,29,17,0.920433983
37,30,46,2,44,36,13,31,17,0.920230427
38,33,45,2,43,37,9,34,18,0.921069195
39,36,44,2,42,38,10,32,18,0.921013077
