agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,58,18,93,3,17,91
1,3,53,19,97,2,19,95
2,4,41,12,116,6,9,113
3,4,52,20,97,6,19,92
4,4,59,11,99,0,11,99
5,6,36,13,120,9,13,111
6,7,55,7,107,6,6,102
7,5,40,14,115,3,13,113
8,4,53,6,110,0,6,110
9,4,48,3,118,3,3,115
10,5,34,25,110,4,25,106
11,6,40,12,117,1,12,116
12,5,51,27,91,4,25,89
13,6,44,7,118,1,7,117
14,4,42,14,113,9,12,106
15,5,30,17,122,1,17,121
16,8,35,15,119,2,15,117
17,7,42,15,112,4,14,109
18,5,51,15,103,6,14,98
19,5,43,19,107,0,19,107
20,4,35,15,119,2,15,117
21,6,23,9,137,8,8,130
22,5,47,11,111,2,11,109
23,6,38,9,122,5,9,117
24,4,60,13,96,5,11,93
25,5,27,19,123,12,13,117
26,3,48,3,118,0,3,118
27,4,57,14,98,3,13,96
28,5,59,10,100,7,10,93
29,5,37,10,122,7,9,116
30,4,31,11,127,2,10,126
31,5,31,11,127,5,10,123
32,6,11,14,144,5,12,141
33,7,50,9,110,4,9,106
34,7,30,11,128,6,9,124
35,5,34,25,110,8,22,105
36,5,41,7,121,3,6,119
37,5,32,32,105,7,31,99
38,6,51,24,94,6,23,89
39,5,51,14,104,3,14,101
40,6,34,7,128,6,6,123
41,4,52,7,110,2,6,109
42,4,51,12,106,5,11,102
43,4,34,29,106,5,26,104
44,4,21,23,125,3,22,123
45,5,42,15,112,6,14,107
46,4,58,3,108,1,3,107
47,7,43,14,112,7,14,105
48,6,55,10,104,7,10,97
49,4,46,8,115,5,7,111
50,6,17,12,140,4,12,136
51,5,26,16,127,6,13,124
52,4,57,15,97,5,15,92
53,7,52,7,110,3,7,107
54,4,51,24,94,2,23,93
55,4,44,18,107,1,17,107
56,3,37,11,121,2,11,119
57,7,13,21,135,8,20,128
58,5,50,5,114,1,5,113
59,5,9,16,144,4,15,141
60,5,51,9,109,4,9,105
61,5,30,27,112,9,24,106
62,4,38,5,126,2,5,124
63,5,53,13,103,5,12,99
64,4,20,6,143,3,6,140
65,4,33,10,126,2,9,125
66,3,55,22,92,3,21,90
67,7,15,24,130,7,23,124
68,7,53,6,110,5,3,108
69,7,41,15,113,7,13,108
70,6,53,1,115,3,1,112
71,4,60,14,95,6,13,90
72,6,33,16,120,8,15,113
73,5,14,17,138,9,14,132
74,5,26,5,138,2,5,136
75,5,34,7,128,2,7,126
76,4,62,12,95,3,11,93
77,6,35,6,128,5,6,123
78,6,56,11,102,1,11,101
79,5,31,17,121,3,17,118
80,6,42,16,111,9,11,107
81,5,49,10,110,4,9,107
82,6,59,9,101,8,9,93
83,5,40,10,119,5,10,114
84,5,39,18,112,2,18,110
85,5,58,23,88,3,21,87
86,4,43,10,116,1,10,115
87,4,47,25,97,7,24,91
88,6,26,12,131,4,9,130
89,4,49,12,108,5,10,105
90,3,47,16,106,4,14,104
91,4,44,22,103,1,21,103
92,5,35,8,126,3,8,123
93,6,50,2,117,5,1,113
94,4,47,21,101,3,20,99
95,5,32,20,117,3,19,115
96,5,41,8,120,4,7,117
97,6,19,2,148,3,2,145
98,3,47,6,116,1,6,115
99,5,32,15,122,3,15,119
