task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,245,256,1,8,11,7,31,9,3,1,245,256,1.285714
1,0,1,67,74,18,3,9,7,4,7,0,1,67,74,1.000000
2,0,1,2,14,25,0,1,12,1,12,0,1,2,14,1.000000
3,0,1,2,25,10,0,1,23,1,23,0,1,2,25,1.000000
4,0,1,4,30,5,2,3,24,3,26,0,1,4,30,1.083333
5,0,1,3,16,3,0,2,13,2,13,0,1,3,16,1.000000
6,0,1,8,23,14,3,6,13,7,13,2,1,8,23,1.000000
7,0,1,11,25,0,2,10,14,10,14,0,1,11,25,1.000000
8,0,1,7,31,48,2,6,20,6,24,0,1,7,31,1.200000
9,0,1,1,36,22,0,0,35,0,35,0,1,1,36,1.000000
10,1,2,185,213,14,0,7,28,7,28,0,1,184,212,1.000000
11,1,2,3,25,19,0,1,22,1,22,0,1,2,24,1.000000
12,1,2,6,23,23,2,4,15,4,17,0,1,5,22,1.133333
13,1,2,2,35,37,0,0,31,0,33,0,1,1,34,1.064516
14,1,2,132,159,28,1,10,19,4,27,0,1,131,158,1.421053
15,1,2,6,24,21,3,6,18,4,18,0,1,5,23,1.000000
16,1,2,4,18,15,0,2,14,2,14,0,1,3,17,1.000000
17,1,2,9,30,26,2,7,19,6,21,0,1,8,29,1.105263
18,1,2,2,10,29,0,0,8,0,8,0,1,1,9,1.000000
19,1,2,4,32,11,0,2,27,2,27,1,1,3,31,1.000000
20,2,3,34,54,36,0,5,18,1,20,1,1,32,52,1.111111
21,2,3,94,114,32,0,9,16,2,20,0,1,92,112,1.250000
22,2,3,11,24,20,2,8,13,8,13,0,1,9,22,1.000000
23,2,17,19,28,17,0,2,9,2,9,0,15,17,26,1.000000
24,2,4,89,101,23,1,7,12,3,12,0,2,87,99,1.000000
25,2,3,5,29,7,0,2,24,2,24,0,1,3,27,1.000000
26,2,3,4,11,43,0,1,7,1,7,0,1,2,9,1.000000
27,2,3,87,101,38,0,9,14,7,14,0,1,85,99,1.000000
28,2,3,3,17,41,0,0,13,0,13,1,1,1,15,1.000000
29,2,3,10,17,48,2,2,7,7,7,0,1,8,15,1.000000
30,3,4,71,99,6,0,4,24,2,28,0,1,68,96,1.166667
31,3,4,5,8,47,1,6,3,1,3,0,1,2,5,1.000000
32,3,4,6,14,34,0,2,8,2,8,0,1,3,11,1.000000
33,3,32,32,47,43,0,0,12,0,14,1,29,29,44,1.166667
34,3,93,93,110,45,0,0,17,0,17,0,90,90,107,1.000000
35,3,60,60,76,21,0,0,16,0,16,0,57,57,73,1.000000
36,3,58,59,72,38,0,1,13,1,13,0,55,56,69,1.000000
37,3,63,63,81,10,0,0,13,0,17,1,60,60,78,1.307692
38,3,149,149,168,31,0,0,17,0,19,0,146,146,165,1.117647
39,3,4,6,22,33,1,5,15,2,15,1,1,3,19,1.000000
40,4,5,6,17,30,0,1,11,1,11,0,1,2,13,1.000000
41,4,6,7,24,6,0,1,15,1,17,0,2,3,20,1.133333
42,4,109,109,148,31,0,0,21,0,39,0,105,105,144,1.857143
43,4,220,239,277,48,0,3,28,9,38,1,216,235,273,1.357143
44,4,5,8,16,8,1,1,8,2,8,1,1,4,12,1.000000
45,4,50,50,65,46,0,0,15,0,15,0,46,46,61,1.000000
46,4,5,182,212,46,0,2,24,5,30,0,1,178,208,1.250000
47,4,195,201,228,25,1,4,27,6,27,0,191,197,224,1.000000
