timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920786
2,0,6,2,4,76,4,0,0,0.9206926
3,0,8,2,6,74,5,1,0,0.9207896
4,0,10,2,8,72,6,2,0,0.9208863
5,0,12,2,10,70,8,2,0,0.9208474
6,0,14,2,12,68,9,3,0,0.9209575
7,0,16,2,14,66,7,7,0,0.9209967
8,1,17,2,15,65,8,7,0,0.9207211
9,1,19,2,17,63,8,9,0,0.920888
10,1,21,2,19,61,9,10,0,0.9206831
11,1,23,2,21,59,9,12,0,0.92067
12,1,25,2,23,57,9,14,0,0.9206935
13,2,26,2,24,56,9,15,1,0.9207138
14,2,28,2,26,54,9,17,1,0.9207554
15,2,30,2,28,52,7,21,1,0.9208677
16,5,29,2,27,53,8,19,1,0.92078
17,5,31,2,29,51,10,19,1,0.9208635
18,5,33,2,31,49,9,22,1,0.9206934
19,5,35,2,33,47,7,26,1,0.9207344
20,6,36,2,34,46,7,27,3,0.9209193
21,7,37,2,35,45,7,28,3,0.9206957
22,10,36,2,34,46,7,27,4,0.9209042
23,11,37,2,35,45,7,28,5,0.920667
24,12,38,2,36,44,8,28,5,0.920675
25,12,40,2,38,42,9,29,5,0.9207678
26,12,42,2,40,40,10,30,6,0.9209669
27,15,41,2,39,41,11,28,6,0.9207485
28,17,41,2,39,41,12,27,7,0.9207229
29,17,43,2,41,39,11,30,7,0.9206824
30,18,44,2,42,38,12,30,8,0.9207073
31,19,45,2,43,37,12,31,9,0.9207053
32,22,44,2,42,38,13,29,9,0.9206935
33,25,43,2,41,39,14,27,11,0.9207667
34,26,44,2,42,38,12,30,12,0.9206918
35,28,44,2,42,38,12,30,12,0.9207537
36,29,45,2,43,37,14,29,12,0.9208748
37,29,47,2,45,35,10,35,12,0.9207822
38,31,47,2,45,35,11,34,13,0.9209915
39,34,46,2,44,36,10,34,14,0.9206893
40,36,46,2,44,36,11,33,17,0.9207878
41,37,47,2,45,35,10,35,17,0.9210438
42,39,47,2,45,35,10,35,17,0.9206692
43,40,48,2,46,34,11,35,19,0.9208694
44,42,48,2,46,34,11,35,20,0.9206734
45,44,48,2,46,34,10,36,22,0.9207465
46,46,48,2,46,34,9,37,22,0.9206403
47,47,49,2,47,33,6,41,23,0.9206511
48,49,49,2,47,33,7,40,23,0.92066
49,52,48,2,46,34,7,39,24,0.9208585
50,54,48,2,46,34,7,39,24,0.9208872
51,54,50,2,48,32,8,40,26,0.92084
52,56,50,2,48,32,6,42,27,0.9209332
53,60,48,2,46,34,6,40,27,0.9206324
54,61,49,2,47,33,8,39,27,0.9207141
55,63,49,2,47,33,8,39,29,0.9207011
56,65,49,2,47,33,9,38,29,0.9208194
57,68,48,2,46,34,8,38,30,0.9208207
58,70,48,2,46,34,9,37,31,0.9206813
59,72,48,2,46,34,9,37,31,0.9206892
60,73,49,2,47,33,10,37,32,0.9209445
61,75,49,2,47,33,10,37,32,0.9207653
62,76,50,2,48,32,7,41,33,0.9207363
63,76,52,2,50,30,8,42,33,0.9207551
64,79,51,2,49,31,10,39,35,0.9210597
65,81,51,2,49,31,11,38,36,0.9207423
66,82,52,2,50,30,11,39,37,0.9207483
67,83,53,2,51,29,9,42,38,0.9207401
68,88,50,2,48,32,10,38,38,0.9206908
69,88,52,2,50,30,10,40,39,0.9207219
70,88,54,2,52,28,10,42,40,0.9208616
71,89,55,2,53,27,7,46,42,0.9209741
72,91,55,2,53,27,9,44,43,0.9206667
73,93,55,2,53,27,9,44,45,0.9207007
74,93,57,2,55,25,11,44,46,0.9207912
75,95,57,2,55,25,11,44,46,0.9208448
76,96,58,2,56,24,10,46,47,0.9208046
77,99,57,2,55,25,8,47,47,0.920766
78,103,55,2,53,27,9,44,48,0.9207243
79,103,57,2,55,25,9,46,49,0.9207843
80,104,58,2,56,24,6,50,51,0.9209281
81,108,56,2,54,26,8,46,52,0.9207666
82,114,52,2,50,30,8,42,52,0.9207665
83,115,53,2,51,29,10,41,53,0.920675
84,115,55,2,53,27,7,46,54,0.9207243
85,117,55,2,53,27,8,45,54,0.9207552
86,117,57,2,55,25,8,47,56,0.9207074
87,117,59,2,57,23,8,49,58,0.9206645
88,121,57,2,55,25,7,48,60,0.9208057
89,124,56,2,54,26,8,46,61,0.9209055
90,126,56,2,54,26,8,46,61,0.9207232
91,127,57,2,55,25,7,48,62,0.9206887
92,127,59,2,57,23,9,48,65,0.9207839
93,131,57,2,55,25,9,46,66,0.9208589
94,133,57,2,55,25,9,46,70,0.920916
95,136,56,2,54,26,8,46,72,0.9206971
96,136,58,2,56,24,8,48,75,0.9207092
97,138,58,2,56,24,9,47,75,0.9206678
98,143,55,2,53,27,11,42,75,0.9206602
99,145,55,2,53,27,7,46,76,0.9207397
100,146,56,2,54,26,8,46,76,0.9208975
101,148,56,2,54,26,9,45,78,0.9206652
102,150,56,2,54,26,8,46,80,0.9207304
103,152,56,2,54,26,7,47,82,0.9210733
104,152,58,2,56,24,7,49,82,0.9207369
105,154,58,2,56,24,7,49,82,0.9206939
106,158,56,2,54,26,7,47,82,0.9206309
107,161,55,2,53,27,9,44,84,0.9208024
108,163,55,2,53,27,7,46,88,0.9207303
109,164,56,2,54,26,7,47,89,0.9207186
110,168,54,2,52,28,6,46,90,0.9209159
111,170,54,2,52,28,7,45,93,0.9207341
112,172,54,2,52,28,8,44,93,0.9207507
113,173,55,2,53,27,7,46,93,0.9206317
114,175,55,2,53,27,9,44,93,0.9206887
115,178,54,2,52,28,8,44,96,0.920597
116,181,53,2,51,29,6,45,97,0.9207229
117,182,54,2,52,28,6,46,97,0.9207376
118,183,55,2,53,27,6,47,98,0.9207075
119,184,56,2,54,26,4,50,98,0.9206334
