timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,10,5,5,95,4,1,0,0.9194404
2,0,15,5,10,90,6,4,0,0.9195601
3,0,20,5,15,85,6,9,0,0.9194563
4,0,25,5,20,80,9,11,1,0.9195081
5,0,30,5,25,75,12,13,2,0.9194971
6,0,35,5,30,70,14,16,3,0.9194363
7,0,40,5,35,65,14,21,3,0.9196503
8,0,45,5,40,60,16,24,4,0.9195692
9,0,50,5,45,55,17,28,5,0.9195638
10,0,55,5,50,50,20,30,5,0.9194729
11,0,60,5,55,45,23,32,6,0.919482
12,2,63,5,58,42,26,32,7,0.919495
13,2,68,5,63,37,22,41,8,0.919751
14,2,73,5,68,32,22,46,10,0.9196757
15,2,78,5,73,27,23,50,10,0.9197419
16,3,82,7,75,25,20,55,11,0.9197478
17,5,85,9,76,24,18,58,12,0.919609
18,6,89,11,78,22,20,58,15,0.9195495
19,8,92,14,78,22,18,60,16,0.9196252
20,10,95,17,78,22,14,64,17,0.9199749
21,14,96,18,78,22,15,63,19,0.9195923
22,14,101,18,83,17,14,69,20,0.9195753
23,14,106,21,85,15,12,73,23,0.9195881
24,15,110,23,87,13,12,75,26,0.9196074
25,16,114,26,88,12,12,76,29,0.9195217
26,17,118,30,88,12,11,77,31,0.9195385
27,17,123,33,90,10,10,80,33,0.9195671
28,18,127,38,89,11,8,81,37,0.9195716
29,18,132,41,91,9,6,85,40,0.919726
30,24,131,44,87,13,8,79,41,0.9196344
31,27,133,43,90,10,8,82,44,0.9195754
32,31,134,47,87,13,4,83,46,0.919581
33,36,134,47,87,13,6,81,48,0.9194625
34,39,136,48,88,12,9,79,53,0.9195858
35,41,139,50,89,11,8,81,54,0.9194917
36,46,139,52,87,13,6,81,55,0.9195427
37,52,138,53,85,15,5,80,56,0.9196299
38,54,141,53,88,12,6,82,60,0.9195565
39,57,143,55,88,12,6,82,63,0.9195956
40,64,141,57,84,16,4,80,65,0.9195345
41,67,143,56,87,13,8,79,71,0.9195151
42,71,144,58,86,14,10,76,73,0.9198904
43,76,144,59,85,15,6,79,75,0.9195955
44,81,144,59,85,15,7,78,80,0.91961
45,82,148,60,88,12,3,85,82,0.9195691
46,83,152,60,92,8,4,88,86,0.9194524
47,87,153,63,90,10,3,87,87,0.9194947
48,92,153,64,89,11,4,85,92,0.9194614
49,95,155,65,90,10,2,88,93,0.9196848
50,99,156,66,90,10,3,87,95,0.9195379
51,101,159,67,92,8,4,88,100,0.9195871
52,103,162,70,92,8,1,91,104,0.919581
53,109,161,71,90,10,2,88,106,0.9196618
54,115,160,71,89,11,4,85,106,0.9195607
55,120,160,71,89,11,5,84,107,0.9195024
56,123,162,73,89,11,4,85,112,0.9196767
57,125,165,74,91,9,6,85,114,0.9198396
58,130,165,77,88,12,2,86,118,0.9195219
59,133,167,77,90,10,6,84,119,0.9194837
60,138,167,79,88,12,5,83,121,0.919468
61,140,170,80,90,10,7,83,123,0.9194162
62,151,164,83,81,19,6,75,124,0.9194562
63,157,163,79,84,16,9,75,124,0.9194514
