agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,7,52,18,120,2,18,118
1,4,75,20,95,5,18,92
2,5,61,10,119,6,10,113
3,5,75,15,100,4,15,96
4,5,52,19,119,1,19,118
5,8,28,17,145,5,16,141
6,5,63,18,109,4,15,108
7,6,47,12,131,1,12,130
8,4,87,17,86,3,17,83
9,5,56,14,120,4,13,117
10,7,59,10,121,4,9,118
11,5,39,15,136,3,15,133
12,5,66,9,115,0,9,115
13,7,63,7,120,4,6,117
14,4,64,23,103,3,20,103
15,6,32,22,136,2,21,135
16,7,43,20,127,3,19,125
17,8,55,26,109,7,22,106
18,5,48,12,130,5,12,125
19,4,47,20,123,4,19,120
20,6,63,26,101,1,26,100
21,7,50,17,123,2,16,122
22,5,30,19,141,5,17,138
23,5,67,5,118,2,5,116
24,5,43,12,135,2,12,133
25,5,43,16,131,3,16,128
26,4,92,9,89,1,9,88
27,4,50,22,118,4,22,114
28,5,79,12,99,2,12,97
29,6,80,7,103,4,6,100
30,4,103,7,80,4,6,77
31,8,40,21,129,4,19,127
32,6,76,10,104,2,10,102
33,5,58,10,122,2,10,120
34,6,53,21,116,2,21,114
35,7,77,17,96,7,15,91
36,5,63,2,125,2,1,124
37,6,63,0,127,0,0,127
38,6,73,9,108,4,8,105
39,5,64,12,114,3,12,111
40,5,58,12,120,3,11,118
41,4,82,6,102,7,5,96
42,5,48,25,117,3,24,115
43,8,34,26,130,3,24,129
44,3,81,9,100,4,9,96
45,5,80,5,105,3,5,102
46,4,72,11,107,1,11,106
47,7,63,16,111,3,14,110
48,3,92,17,81,2,17,79
49,5,73,6,111,0,6,111
50,6,35,14,141,2,14,139
51,4,85,25,80,7,23,75
52,6,51,18,121,1,17,121
53,6,54,18,118,2,17,117
54,5,65,10,115,3,10,112
55,3,80,7,103,0,7,103
56,6,50,7,133,8,7,125
57,5,65,19,106,4,16,105
58,5,30,27,133,6,26,128
59,4,69,10,111,5,10,106
60,3,93,7,90,2,5,90
61,6,59,5,126,4,5,122
62,4,67,14,109,2,13,108
63,4,56,11,123,4,9,121
64,5,86,9,95,1,8,95
65,3,138,1,51,0,1,51
66,5,60,22,108,5,22,103
67,6,81,5,104,5,4,100
68,5,57,2,131,2,2,129
69,3,96,7,87,4,4,86
70,4,39,27,124,5,25,121
71,4,62,12,116,2,12,114
72,4,88,23,79,4,23,75
73,3,103,14,73,0,14,73
74,3,88,9,93,3,8,91
75,5,66,7,117,4,7,113
76,4,68,12,110,2,12,108
77,4,103,15,72,1,15,71
78,4,74,5,111,3,5,108
79,4,42,11,137,1,11,136
80,5,53,24,113,6,24,107
81,4,46,12,132,0,12,132
82,6,46,21,123,8,20,116
83,6,49,10,131,2,10,129
84,6,98,4,88,1,4,87
85,3,100,23,67,3,22,65
86,6,25,23,142,8,22,135
87,4,110,12,68,3,12,65
88,4,71,13,106,5,12,102
89,4,85,15,90,3,13,89
90,5,58,9,123,1,8,123
91,7,68,25,97,7,23,92
92,5,82,14,94,3,13,92
93,6,52,18,120,5,18,115
94,5,78,13,99,4,12,96
95,5,60,17,113,2,17,111
96,4,89,30,71,2,29,70
97,5,86,3,101,3,3,98
98,3,104,2,84,4,2,80
99,3,101,3,86,2,3,84
