task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,21,56,0,0,20,0,20,0,1,1,21,1.000000
1,0,1,63,81,79,12,12,14,22,18,2,1,63,81,1.285714
2,0,1,18,42,18,6,9,22,16,24,1,1,18,42,1.090909
3,0,1,13,14,20,2,6,1,12,1,0,1,13,14,1.000000
4,0,1,11,18,14,5,8,7,10,7,0,1,11,18,1.000000
5,1,2,3,14,13,1,3,9,1,11,0,1,2,13,1.222222
6,1,2,6,42,20,0,4,20,4,36,0,1,5,41,1.800000
7,1,2,6,16,29,1,6,10,4,10,0,1,5,15,1.000000
8,1,2,2,18,33,0,0,16,0,16,0,1,1,17,1.000000
9,1,2,6,20,25,1,1,14,3,14,1,1,5,19,1.000000
10,2,3,9,30,71,0,6,19,6,21,0,1,7,28,1.105263
11,2,3,12,32,51,3,11,14,8,20,1,1,10,30,1.428571
12,2,3,4,33,40,0,1,27,1,29,0,1,2,31,1.074074
13,2,3,3,31,58,0,0,28,0,28,0,1,1,29,1.000000
14,2,3,5,15,37,0,2,10,2,10,0,1,3,13,1.000000
15,3,4,4,26,28,0,0,22,0,22,0,1,1,23,1.000000
16,3,4,4,14,62,0,0,10,0,10,0,1,1,11,1.000000
17,3,4,56,77,36,8,11,17,16,21,1,1,53,74,1.235294
18,3,4,26,41,12,12,11,13,21,15,1,1,23,38,1.153846
19,3,4,5,39,35,0,1,32,1,34,0,1,2,36,1.062500
20,4,5,8,23,5,1,7,15,3,15,0,1,4,19,1.000000
21,4,5,13,28,46,2,4,15,8,15,0,1,9,24,1.000000
22,4,5,5,11,26,0,0,6,0,6,0,1,1,7,1.000000
23,4,5,6,37,30,0,1,27,1,31,0,1,2,33,1.148148
24,4,5,8,10,21,0,3,2,3,2,0,1,4,6,1.000000
25,5,6,29,33,32,11,14,4,13,4,2,1,24,28,1.000000
26,5,6,8,30,24,0,2,20,2,22,0,1,3,25,1.100000
27,5,6,8,23,16,0,2,13,2,15,0,1,3,18,1.153846
28,5,6,18,33,78,1,9,15,12,15,0,1,13,28,1.000000
29,5,6,136,158,46,13,12,21,19,21,2,1,131,153,1.000000
30,6,7,11,28,11,3,2,14,4,16,1,1,5,22,1.142857
31,6,7,14,34,32,0,7,15,7,19,1,1,8,28,1.266667
32,6,7,7,37,46,0,0,30,0,30,0,1,1,31,1.000000
33,6,7,7,15,27,0,0,8,0,8,0,1,1,9,1.000000
34,6,7,34,44,43,13,15,10,24,10,0,1,28,38,1.000000
35,7,8,20,45,13,7,4,15,12,21,4,1,13,38,1.400000
36,7,8,19,40,79,6,5,17,11,21,0,1,12,33,1.235294
37,7,8,9,32,51,0,1,14,1,22,1,1,2,25,1.571429
38,7,8,23,33,72,4,10,10,14,10,1,1,16,26,1.000000
39,7,8,12,13,11,1,8,1,4,1,0,1,5,6,1.000000
40,8,9,9,12,18,0,0,3,0,3,0,1,1,4,1.000000
41,8,9,159,179,50,15,32,19,25,19,1,1,151,171,1.000000
42,8,9,22,46,72,7,13,21,13,23,1,1,14,38,1.095238
43,8,9,13,43,78,2,4,30,4,30,0,1,5,35,1.000000
44,8,9,16,42,11,2,9,26,7,26,0,1,8,34,1.000000
45,9,10,15,46,42,4,24,21,5,31,0,1,6,37,1.476190
46,9,10,15,20,15,1,1,5,4,5,1,1,6,11,1.000000
47,9,10,12,22,22,1,7,10,2,10,0,1,3,13,1.000000
48,9,10,19,40,38,9,11,19,9,21,0,1,10,31,1.105263
49,9,10,11,30,43,0,1,15,1,19,0,1,2,21,1.266667
50,10,11,30,51,44,9,5,16,17,20,2,1,20,41,1.250000
51,10,11,25,42,7,9,12,15,11,17,3,1,15,32,1.133333
52,10,11,29,57,23,12,10,26,16,28,2,1,19,47,1.076923
53,10,11,24,51,38,7,14,19,12,23,5,1,14,41,1.210526
54,10,11,20,45,76,7,11,15,8,25,1,1,10,35,1.666667
55,11,12,24,59,69,6,2,32,12,34,1,1,13,48,1.062500
56,11,12,25,39,11,9,9,14,12,14,1,1,14,28,1.000000
57,11,12,23,40,53,4,11,15,11,17,0,1,12,29,1.133333
58,11,12,14,26,19,0,2,12,2,12,0,1,3,15,1.000000
59,11,12,21,49,45,9,11,28,9,28,0,1,10,38,1.000000
60,12,13,14,32,15,1,5,18,1,18,0,1,2,20,1.000000
61,12,13,21,44,38,5,13,22,7,22,1,1,9,32,1.000000
62,12,13,23,62,53,3,4,36,10,38,1,1,11,50,1.055556
63,12,13,23,40,76,8,10,17,10,17,0,1,11,28,1.000000
64,12,13,13,45,2,0,0,31,0,31,1,1,1,33,1.000000
65,13,14,25,43,9,3,9,12,10,18,1,1,12,30,1.500000
66,13,14,24,56,17,4,9,32,9,32,1,1,11,43,1.000000
67,13,14,17,50,26,0,3,33,3,33,0,1,4,37,1.000000
68,13,14,20,36,70,4,6,14,6,16,0,1,7,23,1.142857
69,13,14,14,24,74,0,0,10,0,10,0,1,1,11,1.000000
70,14,15,21,61,22,0,6,38,6,40,0,1,7,47,1.052632
71,14,15,49,57,69,1,13,8,5,8,0,1,35,43,1.000000
72,14,15,16,33,61,0,1,17,1,17,0,1,2,19,1.000000
73,14,15,17,44,53,0,2,25,2,27,0,1,3,30,1.080000
74,14,15,16,43,75,0,1,27,1,27,0,1,2,29,1.000000
75,15,16,29,53,18,0,6,22,8,24,1,1,14,38,1.090909
76,15,16,137,168,69,3,14,27,10,29,2,1,122,153,1.074074
77,15,16,67,84,0,2,35,15,7,17,0,1,52,69,1.133333
78,15,16,67,76,67,3,8,9,6,9,1,1,52,61,1.000000
79,15,16,18,33,45,2,3,13,2,15,0,1,3,18,1.153846
80,16,17,19,49,59,2,29,30,2,30,0,1,3,33,1.000000
81,16,17,19,44,11,2,1,22,2,24,1,1,3,28,1.090909
82,16,17,19,27,31,0,2,6,2,6,2,1,3,11,1.000000
83,16,17,17,28,5,0,0,9,0,11,0,1,1,12,1.222222
84,16,17,25,37,66,2,8,9,8,11,1,1,9,21,1.222222
85,17,18,21,61,25,3,5,38,3,40,0,1,4,44,1.052632
86,17,18,44,70,70,0,6,16,2,24,3,1,27,53,1.500000
87,17,18,22,34,57,2,34,6,4,12,0,1,5,17,2.000000
88,17,18,20,40,50,0,2,20,2,20,0,1,3,23,1.000000
89,17,18,21,37,39,3,8,12,3,16,0,1,4,20,1.333333
90,18,19,27,63,66,2,13,24,8,36,0,1,9,45,1.500000
91,18,19,20,59,64,1,33,32,1,38,1,1,2,41,1.187500
92,18,19,28,38,60,1,7,10,8,10,0,1,10,20,1.000000
93,18,19,43,53,69,2,4,7,5,9,2,1,25,35,1.285714
94,18,19,42,49,1,2,8,4,3,6,3,1,24,31,1.500000
95,19,20,20,48,8,0,0,23,0,27,1,1,1,29,1.173913
96,19,20,22,56,37,0,2,31,2,31,3,1,3,37,1.000000
97,19,20,39,48,64,1,31,9,3,9,0,1,20,29,1.000000
98,19,20,27,62,63,0,7,27,7,35,0,1,8,43,1.296296
99,19,33,41,50,31,4,7,7,7,7,3,14,22,31,1.000000
100,20,21,26,28,45,1,4,2,3,2,2,1,6,8,1.000000
101,20,21,24,48,54,1,5,20,3,24,0,1,4,28,1.200000
