agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,6,23,9,134,4,9,130
1,5,61,17,88,4,16,85
2,5,47,14,105,6,14,99
3,4,54,11,101,3,11,98
4,4,29,15,122,2,15,120
5,5,48,9,109,4,7,107
6,4,52,8,106,7,8,99
7,4,28,5,133,3,5,130
8,5,17,17,132,3,16,130
9,5,38,15,113,4,14,110
10,3,55,6,105,1,6,104
11,6,15,7,144,3,7,141
12,4,19,14,133,1,13,133
13,4,19,4,143,4,4,139
14,5,12,11,143,1,10,143
15,6,37,18,111,1,18,110
16,5,38,12,116,4,11,113
17,6,30,12,124,11,11,114
18,4,53,19,94,3,17,93
19,5,34,5,127,2,5,125
20,5,32,4,130,8,3,123
21,6,19,15,132,3,14,130
22,5,60,4,102,3,4,99
23,4,25,22,119,1,22,118
24,4,52,5,109,3,5,106
25,6,21,22,123,3,21,121
26,8,47,5,114,3,5,111
27,5,55,5,106,6,5,100
28,4,47,12,107,5,12,102
29,5,41,7,118,5,7,113
30,5,51,11,104,6,11,98
31,5,22,18,126,2,18,124
32,5,21,8,137,10,5,130
33,5,53,11,102,5,10,98
34,5,42,12,112,1,11,112
35,6,51,2,113,7,2,106
36,5,52,5,109,1,5,108
37,6,43,9,114,2,9,112
38,6,30,5,131,1,5,130
39,6,38,13,115,3,13,112
40,5,36,12,118,5,11,114
41,5,29,24,113,10,24,103
42,4,57,7,102,1,7,101
43,5,53,9,104,8,9,96
44,8,41,5,120,3,5,117
45,6,41,8,117,3,8,114
46,4,29,12,125,3,12,122
47,6,43,3,120,6,3,114
48,5,39,3,124,7,3,117
49,4,29,21,116,5,18,114
50,5,27,12,127,3,12,124
51,6,34,13,119,11,12,109
52,4,52,7,107,3,6,105
53,4,56,10,100,4,10,96
54,7,27,22,117,6,22,111
55,6,31,14,121,1,14,120
56,5,36,0,130,3,0,127
57,5,51,12,103,2,11,102
58,4,12,15,139,0,15,139
59,6,58,8,100,3,8,97
60,6,28,12,126,2,12,124
61,6,43,10,113,3,10,110
62,5,49,9,108,6,9,102
63,7,48,7,111,2,7,109
64,3,49,7,110,2,6,109
65,4,55,17,94,3,17,91
66,5,51,8,107,4,8,103
67,4,25,9,132,7,9,125
68,5,50,16,100,4,16,96
69,4,55,11,100,7,11,93
70,4,58,9,99,3,9,96
71,4,48,6,112,7,6,105
72,5,32,5,129,4,5,125
73,7,33,19,114,10,19,104
74,4,56,3,107,3,3,104
75,5,29,20,117,5,18,114
76,5,47,11,108,1,11,107
77,5,27,14,125,8,10,121
78,5,59,8,99,4,7,96
79,6,33,14,119,8,12,113
80,7,34,8,124,5,7,120
81,8,39,16,111,1,16,110
82,6,49,21,96,9,20,88
83,4,57,7,102,2,7,100
84,3,60,10,96,3,10,93
85,5,32,27,107,3,24,107
86,4,38,13,115,3,12,113
87,4,35,5,126,1,5,125
88,4,47,5,114,4,5,110
89,4,46,10,110,8,9,103
90,5,43,14,109,4,14,105
91,5,44,9,113,3,9,110
92,5,54,7,105,5,7,100
93,3,51,14,101,0,14,101
94,7,50,5,111,3,5,108
95,3,31,12,123,3,11,121
96,4,54,35,77,5,31,76
97,5,50,4,112,2,3,111
98,5,17,5,144,3,5,141
99,5,51,13,102,7,13,95
