agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,7,36,24,136,5,22,133
1,4,57,18,121,2,18,119
2,6,51,6,139,4,6,135
3,4,50,11,135,1,11,134
4,8,37,22,137,6,20,133
5,6,54,20,122,8,17,117
6,7,30,11,155,8,10,148
7,5,36,3,157,0,3,157
8,4,54,5,137,0,5,137
9,5,28,15,153,0,15,153
10,5,50,12,134,3,12,131
11,6,35,8,153,1,8,152
12,8,36,20,140,3,19,138
13,9,37,12,147,2,12,145
14,8,34,17,145,2,17,143
15,8,51,8,137,5,8,132
16,6,46,6,144,2,6,142
17,6,38,14,144,2,14,142
18,5,56,20,120,7,20,113
19,6,42,13,141,1,12,141
20,7,57,10,129,0,10,129
21,6,32,21,143,1,21,142
22,8,46,14,136,7,13,130
23,8,61,18,117,8,14,113
24,5,49,11,136,5,9,133
25,7,42,15,139,4,14,136
26,6,52,1,143,5,1,138
27,7,45,19,132,3,18,130
28,5,53,16,127,4,16,123
29,6,31,6,159,4,6,155
30,9,26,10,160,4,10,156
31,5,57,8,131,2,7,130
32,6,36,16,144,7,16,137
33,6,50,16,130,7,15,124
34,8,32,12,152,6,12,146
35,8,39,6,151,3,6,148
36,6,37,11,148,8,11,140
37,6,17,16,163,4,14,161
38,7,33,22,141,3,22,138
39,6,43,16,137,2,15,136
40,6,25,30,141,8,26,137
41,10,42,10,144,4,9,141
42,6,60,9,127,2,9,125
43,5,55,23,118,7,22,112
44,6,37,8,151,4,8,147
45,6,42,12,142,2,11,141
46,5,31,13,152,1,13,151
47,5,35,11,150,3,11,147
48,5,47,2,147,1,1,147
49,6,41,12,143,7,11,137
50,5,40,16,140,6,15,135
51,7,48,17,131,5,17,126
52,6,47,10,139,4,10,135
53,7,47,7,142,6,7,136
54,4,33,6,157,1,5,157
55,5,10,27,159,3,26,157
56,6,42,6,148,3,5,146
57,4,53,3,140,2,3,138
58,6,46,14,136,4,14,132
59,6,52,28,116,7,24,113
60,9,61,12,123,7,11,117
61,9,62,8,126,1,7,126
62,6,48,18,130,3,18,127
63,7,43,22,131,6,21,126
64,7,32,27,137,5,26,133
65,6,61,16,119,1,16,118
66,6,32,12,152,0,12,152
67,6,44,17,135,3,16,133
68,7,62,15,119,8,14,112
69,9,37,18,141,7,16,136
70,6,48,10,138,2,10,136
71,4,46,19,131,3,19,128
72,6,43,12,141,3,11,139
73,6,19,15,162,6,14,157
74,5,53,33,110,5,29,109
75,6,53,7,136,0,7,136
76,7,53,20,123,4,20,119
77,5,27,13,156,7,11,151
78,6,38,9,149,1,9,148
79,6,37,27,132,5,25,129
