timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,10,5,5,95,2,3,0,0.919606975
2,0,15,5,10,90,4,6,0,0.919570353
3,0,20,5,15,85,9,6,0,0.919522517
4,0,25,5,20,80,12,8,0,0.919626391
5,0,30,5,25,75,15,10,0,0.919643405
6,0,35,5,30,70,15,15,0,0.919642415
7,0,40,5,35,65,18,17,0,0.91964949
8,0,45,5,40,60,20,20,0,0.919715715
9,1,49,5,44,56,16,28,0,0.919650609
10,1,54,5,49,51,19,30,0,0.919670825
11,2,58,5,53,47,18,35,5,0.919697634
12,3,62,5,57,43,21,36,8,0.919745873
13,3,67,5,62,38,21,41,8,0.919713888
14,4,71,5,66,34,23,43,9,0.919716979
15,6,74,5,69,31,21,48,9,0.919712946
16,6,79,5,74,26,20,54,10,0.919776161
17,6,84,5,79,21,21,58,11,0.919815748
18,7,88,5,83,17,23,60,13,0.919815489
19,7,93,5,88,12,25,63,15,0.919805133
20,8,97,5,92,8,29,63,19,0.919818734
21,11,99,5,94,6,31,63,23,0.919843597
22,11,104,5,99,1,32,67,23,0.919968179
23,15,105,9,96,4,30,66,26,0.919972283
24,17,108,10,98,2,31,67,31,0.919896979
25,19,111,13,98,2,28,70,33,0.919907687
26,20,115,16,99,1,28,71,36,0.919879194
27,24,116,20,96,4,21,75,42,0.919751542
28,26,119,21,98,2,21,77,45,0.919789298
29,28,122,24,98,2,20,78,49,0.919738765
30,29,126,27,99,1,12,87,52,0.919706018
31,37,123,31,92,8,9,83,54,0.919729275
32,39,126,28,98,2,15,83,61,0.919740293
33,39,131,31,100,0,14,86,64,0.919745333
34,45,130,36,94,6,11,83,66,0.919705397
35,49,131,35,96,4,12,84,71,0.919684395
36,54,131,36,95,5,12,83,75,0.919750999
37,58,132,36,96,4,14,82,77,0.919739886
38,60,135,37,98,2,13,85,77,0.91973126
39,60,140,40,100,0,12,88,80,0.91972755
40,61,144,45,99,1,9,90,85,0.919746343
41,62,148,49,99,1,8,91,88,0.919730457
42,65,150,53,97,3,5,92,88,0.919719598
43,71,149,55,94,6,6,88,90,0.91964811
44,75,150,54,96,4,9,87,94,0.919672959
45,80,150,55,95,5,10,85,96,0.919706828
46,84,151,55,96,4,12,84,100,0.919717327
47,86,154,56,98,2,12,86,104,0.919700004
48,90,155,59,96,4,9,87,106,0.919657216
49,93,157,60,97,3,6,91,109,0.919732063
50,99,156,62,94,6,6,88,112,0.919823349
51,99,161,61,100,0,7,93,115,0.919701591
52,103,162,66,96,4,4,92,120,0.919689454
53,107,163,67,96,4,8,88,122,0.919698375
54,112,163,68,95,5,8,87,125,0.919729112
55,114,166,68,98,2,13,85,126,0.919696644
56,117,168,71,97,3,10,87,126,0.919656889
57,121,169,73,96,4,8,88,129,0.919769352
58,124,171,74,97,3,7,90,130,0.919791453
59,128,172,76,96,4,7,89,132,0.919699754
60,135,170,77,93,7,7,86,133,0.919692184
61,140,170,75,95,5,8,87,134,0.919696569
62,143,172,75,97,3,9,88,137,0.919718296
63,145,175,77,98,2,8,90,143,0.91970447
64,150,175,80,95,5,9,86,145,0.919750607
65,151,179,80,99,1,11,88,146,0.919745033
66,157,178,84,94,6,8,86,148,0.919625044
67,165,175,83,92,8,10,82,150,0.919762543
68,169,176,80,96,4,12,84,153,0.919714218
69,170,180,81,99,1,13,86,154,0.919720482
70,173,182,85,97,3,10,87,155,0.919693829
71,175,185,87,98,2,10,88,157,0.919632907
72,180,185,90,95,5,6,89,159,0.919601449
73,184,186,90,96,4,9,87,159,0.91970281
74,186,189,91,98,2,10,88,162,0.919653163
75,188,192,94,98,2,6,92,164,0.919600451
76,194,191,97,94,6,7,87,168,0.919584436
77,200,190,96,94,6,11,83,171,0.919712921
78,203,192,95,97,3,12,85,172,0.91970919
79,206,194,97,97,3,8,89,172,0.919746042
80,212,193,99,94,6,7,87,176,0.919680598
81,217,193,98,95,5,12,83,178,0.919694981
82,221,194,98,96,4,11,85,180,0.919704048
83,227,193,99,94,6,9,85,183,0.919691456
84,234,191,98,93,7,11,82,186,0.919718832
85,235,195,96,99,1,10,89,190,0.919761906
86,242,193,100,93,7,9,84,192,0.919755949
87,245,195,98,97,3,14,83,197,0.91969748
88,247,198,100,98,2,12,86,201,0.919741045
89,249,201,103,98,2,9,89,210,0.919705347
90,251,204,106,98,2,4,94,215,0.919697962
91,257,203,109,94,6,3,91,220,0.91929265
92,264,201,108,93,7,6,87,224,0.919711832
93,266,204,106,98,2,8,90,226,0.919748567
94,267,208,109,99,1,8,91,229,0.919701087
95,269,211,113,98,2,5,93,233,0.919698193
96,271,214,116,98,2,5,93,237,0.91974407
97,274,216,119,97,3,2,95,241,0.919655951
98,280,215,121,94,6,4,90,242,0.919229078
99,281,219,120,99,1,6,93,243,0.919662068
100,285,215,119,96,4,4,92,243,0.919687199
101,285,215,115,100,0,5,95,244,0.919678724
102,291,209,115,94,6,2,92,247,0.919334392
103,297,203,109,94,6,2,92,250,0.919676595
104,304,196,103,93,7,1,92,255,0.919667824
105,309,191,96,95,5,3,92,259,0.919729393
106,314,186,91,95,5,4,91,263,0.919722596
107,320,180,86,94,6,5,89,265,0.919679768
108,326,174,80,94,6,8,86,267,0.919698827
109,331,169,74,95,5,13,82,268,0.919702
110,336,164,69,95,5,11,84,269,0.919660055
111,343,157,64,93,7,15,78,271,0.919733932
112,350,150,57,93,7,17,76,271,0.919737502
113,355,145,50,95,5,16,79,273,0.91974413
114,358,142,45,97,3,17,80,278,0.919731683
115,360,140,42,98,2,14,84,284,0.919729766
116,364,136,40,96,4,10,86,285,0.919745534
117,370,130,36,94,6,10,84,291,0.919761517
118,373,127,30,97,3,13,84,293,0.919790554
119,377,123,27,96,4,16,80,296,0.919825816
120,380,120,23,97,3,18,79,300,0.919786603
121,382,118,20,98,2,19,79,304,0.919798103
122,385,115,18,97,3,17,80,307,0.919817851
123,385,115,15,100,0,17,83,309,0.91980485
124,391,109,15,94,6,16,78,317,0.919823902
125,397,103,9,94,6,21,73,320,0.919892206
126,400,100,3,97,3,22,75,321,0.919953102
127,402,98,0,98,2,23,75,324,0.919924449
128,403,97,0,97,3,21,76,326,0.919822011
129,405,95,0,95,5,18,77,329,0.919897338
130,408,92,0,92,8,18,74,331,0.919799114
131,410,90,0,90,10,15,75,335,0.919756301
132,413,87,0,87,13,15,72,336,0.919704213
133,419,81,0,81,19,15,66,337,0.919673108
134,425,75,0,75,25,13,62,339,0.919678947
135,433,67,0,67,33,12,55,341,0.919682502
136,436,64,0,64,36,10,54,344,0.919664749
137,440,60,0,60,40,7,53,348,0.91966784
138,443,57,0,57,43,7,50,349,0.919640695
139,446,54,0,54,46,6,48,349,0.919634781
140,447,53,0,53,47,5,48,349,0.919629908
141,449,51,0,51,49,4,47,350,0.919631431
142,451,49,0,49,51,4,45,351,0.919606299
143,455,45,0,45,55,3,42,351,0.919570488
144,457,43,0,43,57,1,42,351,0.919603196
