task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,9,18,0,0,7,0,7,1,1,1,9,1.000000
1,0,1,14,23,43,7,9,7,13,9,0,1,14,23,1.285714
2,0,1,2,14,50,0,1,12,1,12,0,1,2,14,1.000000
3,0,1,2,25,35,0,1,23,1,23,0,1,2,25,1.000000
4,0,1,4,28,30,0,3,24,3,24,0,1,4,28,1.000000
5,1,2,4,17,28,0,2,13,2,13,0,1,3,16,1.000000
6,1,2,11,24,43,6,4,13,9,13,0,1,10,23,1.000000
7,1,2,10,24,17,3,6,14,8,14,0,1,9,23,1.000000
8,1,2,3,23,99,0,1,20,1,20,0,1,2,22,1.000000
9,1,2,2,37,47,0,0,35,0,35,0,1,1,36,1.000000
10,2,3,8,37,43,0,5,28,5,28,1,1,6,35,1.000000
11,2,3,6,30,44,1,1,22,3,24,0,1,4,28,1.090909
12,2,3,8,23,51,4,3,15,5,15,0,1,6,21,1.000000
13,2,3,3,36,62,0,0,31,0,33,0,1,1,34,1.064516
14,2,3,17,48,40,6,9,19,12,31,2,1,15,46,1.631579
15,3,4,9,28,46,2,5,18,5,18,1,1,6,25,1.000000
16,3,4,5,19,40,0,1,14,1,14,0,1,2,16,1.000000
17,3,4,10,39,54,4,9,19,6,25,4,1,7,36,1.315789
18,3,4,4,12,57,0,0,8,0,8,0,1,1,9,1.000000
19,3,4,4,31,44,0,0,27,0,27,0,1,1,28,1.000000
20,4,5,24,45,61,8,5,18,17,20,3,1,20,41,1.111111
21,4,5,19,38,54,1,9,16,13,18,2,1,15,34,1.125000
22,4,5,22,38,56,8,7,13,15,15,3,1,18,34,1.153846
23,4,5,31,47,92,15,8,9,25,15,2,1,27,43,1.666667
24,4,5,15,29,53,7,8,12,10,14,0,1,11,25,1.166667
25,5,6,8,32,32,0,2,24,2,24,0,1,3,27,1.000000
26,5,6,7,14,68,0,1,7,1,7,0,1,2,9,1.000000
27,5,6,13,31,63,2,7,14,7,18,0,1,8,26,1.285714
28,5,6,6,19,66,0,0,13,0,13,0,1,1,14,1.000000
29,5,6,10,17,98,0,4,7,4,7,0,1,5,12,1.000000
30,6,7,12,44,31,5,4,24,4,32,1,1,6,38,1.333333
31,6,7,7,18,61,0,0,3,0,11,0,1,1,12,3.666667
32,6,7,10,22,59,0,2,8,2,12,1,1,4,16,1.500000
33,6,7,8,20,17,0,1,12,1,12,0,1,2,14,1.000000
34,6,7,14,33,93,5,6,17,7,19,0,1,8,27,1.117647
35,7,8,23,39,15,6,6,16,14,16,1,1,16,32,1.000000
36,7,8,10,23,92,0,2,13,2,13,0,1,3,16,1.000000
37,7,8,70,90,31,9,5,13,16,19,2,1,63,83,1.461538
38,7,8,17,38,63,2,8,17,8,21,1,1,10,31,1.235294
39,7,8,9,27,58,1,5,15,1,17,1,1,2,20,1.133333
40,8,9,10,22,55,0,1,11,1,11,1,1,2,14,1.000000
41,8,9,9,24,26,0,0,15,0,15,0,1,1,16,1.000000
42,8,9,9,44,13,0,0,21,0,35,0,1,1,36,1.666667
43,8,9,9,47,20,0,0,28,0,38,0,1,1,39,1.357143
44,8,9,9,18,34,0,0,8,0,8,1,1,1,10,1.000000
45,9,10,15,34,52,1,22,15,5,19,0,1,6,25,1.266667
