timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,10,5,5,95,2,3,0,0.919254325
2,0,15,5,10,90,4,6,0,0.919310912
3,0,20,5,15,85,9,6,0,0.919331145
4,0,25,5,20,80,10,10,0,0.919328486
5,0,30,5,25,75,13,12,0,0.919357432
6,0,35,5,30,70,13,17,0,0.919352833
7,0,40,5,35,65,17,18,0,0.919364585
8,0,45,5,40,60,20,20,0,0.919342922
9,0,50,5,45,55,18,27,0,0.919382068
10,1,54,5,49,51,20,29,0,0.919402489
11,2,58,5,53,47,18,35,0,0.919393119
12,3,62,5,57,43,20,37,4,0.919402023
13,4,66,5,61,39,20,41,5,0.919328943
14,4,71,5,66,34,22,44,6,0.9194303
15,4,76,5,71,29,21,50,8,0.919403143
16,4,81,5,76,24,21,55,10,0.919396991
17,5,85,5,80,20,22,58,11,0.919456403
18,6,89,5,84,16,24,60,12,0.919459028
19,6,94,5,89,11,28,61,17,0.919445979
20,8,97,5,92,8,29,63,17,0.919486993
21,9,101,5,96,4,32,64,18,0.919422744
22,10,105,6,99,1,33,66,21,0.919480622
23,15,105,10,95,5,29,66,21,0.919449273
24,15,110,10,100,0,30,70,23,0.919486514
25,16,114,15,99,1,26,73,23,0.919462857
26,18,117,19,98,2,24,74,26,0.919403069
27,21,119,22,97,3,20,77,29,0.91940791
28,25,120,24,96,4,17,79,31,0.919394
29,29,121,25,96,4,19,77,35,0.919391732
30,32,123,26,97,3,19,78,35,0.91941462
31,39,121,28,93,7,15,78,39,0.919394144
32,42,123,26,97,3,17,80,43,0.9194576
33,44,126,28,98,2,14,84,46,0.919392152
34,49,126,31,95,5,14,81,48,0.919424276
35,51,129,31,98,2,11,87,52,0.919393327
36,54,131,34,97,3,10,87,55,0.919345325
37,59,131,36,95,5,8,87,56,0.919389815
38,63,132,36,96,4,11,85,58,0.919387631
39,65,135,37,98,2,12,86,59,0.919422157
40,67,138,40,98,2,13,85,66,0.919345324
