agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,67,23,185,8,21,179
1,9,66,18,191,2,18,189
2,13,34,36,205,4,35,202
3,9,46,12,217,0,12,217
4,10,63,17,195,3,17,192
5,10,51,14,210,4,14,206
6,11,63,24,188,3,24,185
7,8,62,18,195,6,17,190
8,11,49,23,203,8,22,196
9,12,43,9,223,4,9,219
10,9,54,13,208,2,13,206
11,11,39,7,229,3,7,226
12,8,28,29,218,4,28,215
13,10,50,20,205,5,17,203
14,10,23,24,228,5,23,224
15,10,12,19,244,4,19,240
16,10,59,26,190,3,25,188
17,10,23,29,223,4,29,219
18,8,52,20,203,2,19,202
19,9,35,19,221,3,18,219
20,10,24,20,231,6,20,225
21,11,48,21,206,7,19,201
22,12,32,27,216,1,27,215
23,9,33,42,200,4,40,198
24,10,17,24,234,7,21,230
25,10,48,18,209,10,17,200
26,12,63,19,193,2,19,191
27,10,66,10,199,4,10,195
28,10,45,22,208,0,22,208
29,12,46,33,196,5,31,193
30,10,39,19,217,5,18,213
31,10,25,15,235,7,13,230
32,8,73,20,182,3,19,180
33,11,64,12,199,4,12,195
34,9,49,20,206,7,18,201
35,8,65,23,187,4,22,184
36,10,32,22,221,4,22,217
37,10,39,27,209,7,27,202
38,10,44,16,215,3,16,212
39,10,56,14,205,3,14,202
40,10,66,10,199,5,10,194
41,10,63,13,199,3,13,196
42,8,69,22,184,2,21,183
43,10,34,12,229,4,12,225
44,11,45,22,208,0,22,208
45,8,51,22,202,1,22,201
46,10,38,19,218,3,18,216
47,12,59,14,202,2,13,201
48,11,24,18,233,7,18,226
49,9,73,14,188,2,14,186
