task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,28,43,0,0,25,0,27,0,1,1,28,1.080000
2,0,1,4,13,18,0,3,9,3,9,0,1,4,13,1.000000
3,0,1,4,32,0,0,3,28,3,28,0,1,4,32,1.000000
4,0,1,9,21,14,0,8,12,8,12,0,1,9,21,1.000000
5,0,1,1,22,17,0,0,21,0,21,0,1,1,22,1.000000
6,0,1,9,29,1,0,8,19,8,19,1,1,9,29,1.000000
7,0,1,188,213,36,0,11,25,6,25,0,1,188,213,1.000000
8,0,1,224,243,3,0,13,19,12,19,0,1,224,243,1.000000
9,0,1,5,21,10,0,4,16,4,16,0,1,5,21,1.000000
10,1,2,9,38,29,0,7,13,7,29,0,1,8,37,2.230769
11,1,2,8,12,45,0,6,4,6,4,0,1,7,11,1.000000
12,1,2,6,43,48,0,4,27,4,37,0,1,5,42,1.370370
13,1,2,3,30,31,0,1,27,1,27,0,1,2,29,1.000000
14,1,2,99,111,37,0,10,12,5,12,0,1,98,110,1.000000
15,1,2,3,26,13,0,1,21,1,23,0,1,2,25,1.095238
16,1,2,64,78,15,0,9,12,5,12,2,1,63,77,1.000000
17,1,2,78,82,21,0,12,4,6,4,0,1,77,81,1.000000
18,1,2,9,27,5,0,7,16,7,18,0,1,8,26,1.125000
19,1,2,8,23,25,0,6,14,6,14,1,1,7,22,1.000000
20,2,3,160,186,32,0,10,26,7,26,0,1,158,184,1.000000
21,2,3,7,19,16,0,8,12,3,12,0,1,5,17,1.000000
22,2,3,5,28,6,0,2,21,2,23,0,1,3,26,1.095238
23,2,3,5,33,38,0,2,28,2,28,0,1,3,31,1.000000
24,2,45,46,54,26,0,1,5,1,7,1,43,44,52,1.400000
25,2,3,146,175,47,0,6,29,0,29,1,1,144,173,1.000000
26,2,107,107,138,38,0,0,30,0,30,1,105,105,136,1.000000
27,2,8,128,143,32,0,6,12,1,14,1,6,126,141,1.166667
28,2,3,13,36,22,0,8,12,4,22,1,1,11,34,1.833333
29,2,3,3,14,44,0,0,9,0,11,0,1,1,12,1.222222
30,3,4,7,38,20,0,3,31,3,31,0,1,4,35,1.000000
31,3,95,100,115,0,0,4,15,4,15,1,92,97,112,1.000000
32,3,4,8,24,26,1,3,12,4,16,0,1,5,21,1.333333
33,3,4,8,32,41,0,4,20,4,24,0,1,5,29,1.200000
34,3,4,7,45,7,1,6,34,2,38,1,1,4,42,1.117647
35,3,6,12,16,36,0,6,4,6,4,0,3,9,13,1.000000
36,3,4,11,36,2,0,7,23,7,23,2,1,8,33,1.000000
37,3,17,21,35,36,0,2,14,4,14,0,14,18,32,1.000000
38,3,4,4,22,47,0,0,18,0,18,0,1,1,19,1.000000
39,3,211,215,250,9,0,4,25,4,35,0,208,212,247,1.400000
40,4,5,11,35,36,1,3,21,4,23,1,1,7,31,1.095238
41,4,89,89,112,21,0,0,21,0,23,0,85,85,108,1.095238
42,4,107,112,136,17,0,5,20,5,24,0,103,108,132,1.200000
43,4,5,5,43,30,0,0,36,0,38,0,1,1,39,1.055556
44,4,5,84,102,12,0,8,17,3,17,1,1,80,98,1.000000
45,4,219,242,265,20,2,6,23,19,23,0,215,238,261,1.000000
46,4,174,180,184,22,0,6,4,6,4,0,170,176,180,1.000000
47,4,5,7,19,19,1,7,12,2,12,0,1,3,15,1.000000
48,4,8,116,137,49,0,10,17,1,21,0,4,112,133,1.235294
49,4,8,75,83,27,0,8,8,5,8,0,4,71,79,1.000000
50,5,74,93,108,36,0,2,15,1,15,0,69,88,103,1.000000
51,5,7,217,259,23,0,4,41,14,41,2,2,212,254,1.000000
52,5,6,11,39,16,0,3,23,3,27,1,1,6,34,1.173913
53,5,6,194,231,4,0,2,33,3,37,0,1,189,226,1.121212
54,5,7,13,27,39,0,6,14,6,14,0,2,8,22,1.000000
55,5,203,212,233,12,0,15,18,7,20,1,198,207,228,1.111111
56,5,6,8,29,34,0,2,21,2,21,0,1,3,24,1.000000
57,5,6,6,40,7,0,0,32,0,34,0,1,1,35,1.062500
58,5,7,7,19,21,0,0,12,0,12,0,2,2,14,1.000000
59,5,6,7,39,42,0,1,32,1,32,0,1,2,34,1.000000
60,6,8,45,56,40,1,8,11,6,11,0,2,39,50,1.000000
61,6,88,88,107,47,0,0,19,0,19,0,82,82,101,1.000000
62,6,7,8,29,37,0,1,19,1,21,0,1,2,23,1.105263
63,6,7,8,23,9,1,2,13,1,15,0,1,2,17,1.153846
64,6,33,36,44,0,0,2,4,2,6,3,27,30,38,1.500000
65,6,7,7,29,19,0,0,20,0,22,0,1,1,23,1.100000
66,6,7,9,28,8,1,3,17,2,19,0,1,3,22,1.117647
67,6,29,29,48,9,0,0,15,0,17,2,23,23,42,1.133333
68,6,137,142,164,21,0,2,17,4,21,2,131,136,158,1.235294
69,6,73,73,94,40,0,0,21,0,21,0,67,67,88,1.000000
70,7,14,14,45,18,0,0,27,0,31,0,7,7,38,1.148148
71,7,8,55,62,46,0,4,7,3,7,0,1,48,55,1.000000
72,7,8,8,38,12,0,0,29,0,29,1,1,1,31,1.000000
73,7,8,10,27,8,0,2,17,2,17,0,1,3,20,1.000000
