timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,7,3,0,0.9206234
2,0,30,10,20,30,17,3,0,0.9208314
3,0,40,13,27,23,21,6,0,0.9206435
4,0,50,18,32,18,23,9,1,0.9204377
5,0,60,25,35,15,22,13,1,0.9210887
6,0,70,31,39,11,24,15,2,0.9209848
7,0,80,37,43,7,21,22,2,0.9205228
8,0,90,40,50,0,20,30,2,0.920506
9,0,100,50,50,0,14,36,2,0.9210005
10,0,110,60,50,0,12,38,2,0.9210128
11,0,120,70,50,0,9,41,2,0.9206593
12,2,128,80,48,2,8,40,4,0.9209477
13,3,137,88,49,1,5,44,5,0.9204711
14,4,146,97,49,1,4,45,6,0.9210453
15,4,156,106,50,0,3,47,6,0.9208844
16,5,165,116,49,1,0,49,6,0.9209379
17,5,175,125,50,0,1,49,7,0.9204842
18,5,185,135,50,0,1,49,8,0.9204533
19,9,191,145,46,4,1,45,8,0.9205184
20,9,201,151,50,0,4,46,8,0.9208269
21,12,208,161,47,3,1,46,8,0.9207875
22,14,216,168,48,2,2,46,10,0.9208121
23,16,224,176,48,2,2,46,10,0.9208043
24,18,232,184,48,2,0,48,12,0.9210119
25,18,242,192,50,0,1,49,13,0.9205682
26,19,251,202,49,1,0,49,15,0.9204096
27,23,257,211,46,4,0,46,17,0.9206109
28,26,264,217,47,3,0,47,17,0.9208001
29,32,268,224,44,6,0,44,18,0.9207334
30,36,274,228,46,4,3,43,21,0.9209944
31,37,283,234,49,1,4,45,22,0.9209389
32,39,291,243,48,2,2,46,22,0.9209091
33,42,298,251,47,3,1,46,24,0.9207278
34,43,307,258,49,1,2,47,26,0.9206896
35,45,315,267,48,2,2,46,28,0.9206269
36,49,321,275,46,4,2,44,30,0.920754
37,49,331,281,50,0,0,50,33,0.9208801
38,52,338,291,47,3,0,47,35,0.9204523
39,54,346,298,48,2,1,47,36,0.9206466
40,55,355,306,49,1,1,48,37,0.92093
41,57,363,315,48,2,2,46,39,0.9207285
42,60,370,323,47,3,2,45,41,0.920722
43,63,377,330,47,3,1,46,42,0.9208437
44,66,384,337,47,3,2,45,43,0.9209109
45,69,391,344,47,3,2,45,44,0.9207548
46,74,396,351,45,5,1,44,45,0.9207235
47,76,404,356,48,2,2,46,46,0.9208038
48,79,411,364,47,3,3,44,46,0.9206673
49,83,417,371,46,4,3,43,47,0.9207721
50,87,413,367,46,4,1,45,48,0.9208697
51,90,410,363,47,3,3,44,48,0.9206857
52,92,408,360,48,2,3,45,49,0.9210459
53,94,406,358,48,2,2,46,49,0.9207675
54,98,402,356,46,4,2,44,49,0.920655
55,99,401,352,49,1,1,48,50,0.9207892
56,103,397,351,46,4,0,46,51,0.9204638
57,103,397,347,50,0,0,50,52,0.9207192
