agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,10,70,34,211,5,32,208
1,11,63,48,204,2,48,202
2,9,22,54,239,3,52,238
3,12,51,44,220,3,42,219
4,8,63,42,210,0,42,210
5,9,54,27,234,4,25,232
6,13,75,66,174,1,65,174
7,8,74,30,211,4,30,207
8,10,96,29,190,5,28,186
9,8,90,44,181,2,42,181
10,11,47,53,215,2,53,213
11,11,58,38,219,5,37,215
12,8,82,24,209,2,23,208
13,9,71,63,181,5,62,177
14,10,21,56,238,6,56,232
15,10,70,14,231,2,14,229
16,10,48,51,216,7,49,211
17,9,55,25,235,4,25,231
18,11,43,46,226,2,46,224
19,10,60,33,222,3,33,219
20,10,67,30,218,3,30,215
21,8,60,54,201,3,53,199
22,11,70,66,179,5,62,178
23,9,58,53,204,3,51,203
24,9,102,36,177,5,32,176
25,11,71,31,213,4,31,209
26,13,65,53,197,2,53,195
27,9,53,48,214,4,48,210
28,12,60,62,193,3,60,192
29,10,67,47,201,2,47,199
30,9,82,41,192,3,41,189
31,9,67,32,216,2,31,215
32,9,64,39,212,8,37,206
33,10,51,52,212,2,50,212
34,11,48,48,219,5,46,216
35,10,102,40,173,6,38,169
36,12,47,62,206,4,60,204
37,12,72,47,196,2,46,195
38,10,55,61,199,9,57,194
39,9,86,38,191,3,38,188
40,10,78,68,169,5,66,166
41,10,60,41,214,2,41,212
42,9,84,33,198,5,32,194
43,10,42,61,212,6,58,209
44,10,55,53,207,3,53,204
45,12,43,54,218,4,54,214
46,10,34,30,251,2,29,250
47,9,56,28,231,3,28,228
48,8,70,36,209,3,35,207
49,12,49,54,212,9,52,205
