task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,43,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,18,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,5,33,0,0,3,28,3,28,0,1,4,32,1.000000
4,2,3,11,23,14,0,8,12,8,12,0,1,9,21,1.000000
5,2,3,3,24,17,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,12,31,1,0,8,19,8,19,0,1,9,28,1.000000
7,3,4,15,40,36,0,11,25,11,25,0,1,12,37,1.000000
8,4,5,18,37,3,0,13,19,13,19,0,1,14,33,1.000000
9,4,5,9,25,10,0,4,16,4,16,0,1,5,21,1.000000
10,5,6,13,26,29,0,7,13,7,13,0,1,8,21,1.000000
11,5,6,11,16,48,0,5,4,5,4,1,1,6,11,1.000000
12,6,7,12,41,37,0,5,27,5,29,0,1,6,35,1.074074
13,6,7,8,35,31,0,1,27,1,27,0,1,2,29,1.000000
14,7,8,39,51,38,4,11,12,30,12,0,1,32,44,1.000000
15,7,8,9,32,6,0,1,21,1,23,0,1,2,25,1.095238
16,8,9,17,29,15,1,9,12,8,12,0,1,9,21,1.000000
17,8,9,24,28,25,1,9,4,15,4,0,1,16,20,1.000000
18,9,10,17,35,5,0,7,16,7,18,0,1,8,26,1.125000
19,9,10,15,29,21,1,9,14,5,14,0,1,6,20,1.000000
20,10,11,21,47,32,0,10,26,10,26,0,1,11,37,1.000000
21,10,11,14,28,16,1,8,12,3,14,0,1,4,18,1.166667
22,11,12,17,38,7,0,5,21,5,21,0,1,6,27,1.000000
23,11,12,15,43,44,0,3,28,3,28,0,1,4,32,1.000000
24,12,13,29,34,45,0,14,5,16,5,0,1,17,22,1.000000
25,12,13,19,49,47,0,6,29,6,29,1,1,7,37,1.000000
26,13,14,26,58,2,0,12,30,12,32,0,1,13,45,1.066667
27,13,14,27,39,28,0,13,12,13,12,0,1,14,26,1.000000
28,14,15,23,35,22,0,8,12,8,12,0,1,9,21,1.000000
29,14,15,15,24,49,0,0,9,0,9,0,1,1,10,1.000000
30,15,16,19,50,21,1,2,31,3,31,0,1,4,35,1.000000
31,15,16,26,48,18,2,14,15,10,21,1,1,11,33,1.400000
32,16,17,20,33,26,0,3,12,3,12,1,1,4,17,1.000000
33,16,17,20,42,18,0,3,20,3,22,0,1,4,26,1.100000
34,17,18,25,65,12,0,7,34,7,40,0,1,8,48,1.176471
35,17,18,32,36,46,1,13,4,8,4,0,1,15,19,1.000000
36,18,19,29,58,4,0,10,23,10,29,0,1,11,40,1.260870
37,18,19,24,38,38,0,4,14,4,14,1,1,6,20,1.000000
38,19,20,25,43,46,0,5,18,5,18,0,1,6,24,1.000000
39,19,20,28,71,13,1,9,25,8,43,0,1,9,52,1.720000
40,20,30,34,57,21,0,4,21,4,23,0,10,14,37,1.095238
41,20,21,36,59,48,1,13,21,15,23,0,1,16,39,1.095238
42,21,48,65,86,25,2,10,20,14,20,4,27,44,65,1.000000
43,21,22,22,63,30,0,0,36,0,40,1,1,1,42,1.111111
44,22,23,28,45,16,1,9,17,5,17,0,1,6,23,1.000000
45,22,44,47,86,7,0,3,23,3,39,0,22,25,64,1.695652
46,23,34,44,48,1,3,7,4,10,4,0,11,21,25,1.000000
47,23,24,30,42,23,0,6,12,6,12,0,1,7,19,1.000000
48,24,25,31,48,49,1,3,17,6,17,0,1,7,24,1.000000
49,24,25,28,36,16,0,3,8,3,8,0,1,4,12,1.000000
50,25,27,40,55,20,0,5,15,6,15,0,2,15,30,1.000000
51,25,27,30,77,19,0,3,41,3,47,0,2,5,52,1.146341
52,26,33,49,74,11,3,6,23,14,25,2,7,23,48,1.086957
53,26,27,30,65,9,0,3,33,3,35,0,1,4,39,1.060606
54,27,29,43,60,40,0,7,14,7,16,1,2,16,33,1.142857
55,27,28,28,46,29,0,0,18,0,18,0,1,1,19,1.000000
56,28,29,34,57,20,0,5,21,5,23,0,1,6,29,1.095238
57,28,45,141,175,24,0,5,32,4,34,0,17,113,147,1.062500
58,29,35,37,49,10,0,2,12,2,12,0,6,8,20,1.000000
59,29,30,31,63,42,0,1,32,1,32,0,1,2,34,1.000000
60,30,35,37,60,40,0,2,11,2,21,2,5,7,30,1.909091
61,30,31,31,52,48,0,0,19,0,21,0,1,1,22,1.105263
62,31,34,34,61,0,0,0,19,0,27,0,3,3,30,1.421053
63,31,32,45,58,8,1,3,13,7,13,0,1,14,27,1.000000
64,32,33,37,41,39,0,2,4,3,4,0,1,5,9,1.000000
65,32,33,38,58,27,0,5,20,5,20,0,1,6,26,1.000000
66,33,35,35,53,8,0,0,17,0,17,1,2,2,20,1.000000
67,33,43,48,67,23,0,4,15,4,19,1,10,15,34,1.266667
68,34,38,43,62,3,0,5,17,5,19,0,4,9,28,1.117647
69,34,36,38,64,26,1,4,21,2,25,1,2,4,30,1.190476
70,35,36,40,69,41,1,5,27,4,29,0,1,5,34,1.074074
71,35,41,47,56,28,0,6,7,6,9,0,6,12,21,1.285714
72,36,37,41,70,11,0,4,29,4,29,0,1,5,34,1.000000
73,36,44,48,65,36,0,4,17,3,17,0,8,12,29,1.000000
74,37,38,40,69,33,0,2,29,2,29,0,1,3,32,1.000000
75,37,38,38,44,15,0,0,6,0,6,0,1,1,7,1.000000
