agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,12,51,46,214,5,45,210
1,9,59,53,199,4,50,198
2,9,69,50,192,2,49,191
3,12,30,47,234,2,47,232
4,11,71,50,190,2,48,190
5,10,58,85,168,5,82,166
6,10,54,62,195,2,60,195
7,11,30,44,237,7,43,231
8,10,75,20,216,1,20,215
9,9,66,56,189,3,53,189
10,12,56,31,224,4,31,220
11,12,49,55,207,4,53,205
12,9,53,33,225,5,32,221
13,8,73,31,207,3,30,205
14,10,61,39,211,2,39,209
15,10,37,46,228,2,45,227
16,11,50,51,210,2,50,209
17,9,34,53,224,2,52,223
18,11,71,43,197,6,41,193
19,11,61,24,226,5,24,221
20,9,71,66,174,6,61,173
21,9,64,83,164,8,79,160
22,9,77,49,185,3,48,183
23,10,68,44,199,2,44,197
24,10,71,54,186,4,53,183
25,10,57,21,233,3,20,231
26,9,71,44,196,1,44,195
27,10,77,49,185,5,47,182
28,10,54,64,193,7,62,188
29,10,34,27,250,0,27,250
30,10,42,43,226,4,42,223
31,8,59,14,238,2,14,236
32,11,70,43,198,2,43,196
33,12,70,33,208,4,32,205
34,8,55,29,227,2,29,225
35,11,52,37,222,6,36,217
36,10,60,61,190,0,61,190
37,10,47,48,216,5,46,213
38,9,61,54,196,3,52,195
39,11,69,55,187,5,53,184
40,9,77,24,210,3,24,207
41,9,68,46,197,7,44,192
42,8,62,65,184,6,62,181
43,12,28,63,220,5,60,218
44,10,41,35,235,5,34,231
45,10,54,43,214,3,43,211
46,9,70,37,204,1,36,204
47,12,58,56,197,3,55,195
48,9,58,66,187,6,63,184
49,10,66,31,214,5,30,210
