task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,43,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,18,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,5,33,0,0,3,28,3,28,0,1,4,32,1.000000
4,2,3,11,23,14,0,8,12,8,12,0,1,9,21,1.000000
5,2,3,3,24,17,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,12,31,1,0,8,19,8,19,0,1,9,28,1.000000
7,3,4,15,40,36,0,11,25,11,25,0,1,12,37,1.000000
8,4,5,18,37,3,0,13,19,13,19,0,1,14,33,1.000000
9,4,5,9,25,10,0,4,16,4,16,0,1,5,21,1.000000
10,5,6,13,26,29,0,7,13,7,13,0,1,8,21,1.000000
11,5,6,11,16,48,0,5,4,5,4,1,1,6,11,1.000000
12,6,7,12,41,37,0,5,27,5,29,0,1,6,35,1.074074
13,6,7,8,35,31,0,1,27,1,27,0,1,2,29,1.000000
14,7,8,34,46,38,1,11,12,26,12,0,1,27,39,1.000000
15,7,8,9,34,6,0,1,21,1,25,0,1,2,27,1.190476
16,8,9,17,29,15,1,9,12,8,12,0,1,9,21,1.000000
17,8,9,24,28,25,1,9,4,15,4,0,1,16,20,1.000000
18,9,10,17,35,5,0,7,16,7,18,0,1,8,26,1.125000
19,9,10,15,31,21,2,9,14,5,16,0,1,6,22,1.142857
20,10,11,21,47,32,0,10,26,10,26,0,1,11,37,1.000000
21,10,11,14,28,16,1,8,12,3,14,0,1,4,18,1.166667
22,11,12,17,38,7,0,5,21,5,21,0,1,6,27,1.000000
23,11,12,15,45,44,0,3,28,3,30,0,1,4,34,1.071429
24,12,13,29,34,45,0,14,5,16,5,0,1,17,22,1.000000
25,12,13,19,48,47,0,6,29,6,29,0,1,7,36,1.000000
26,13,14,26,57,2,0,12,30,12,30,1,1,13,44,1.000000
27,13,14,27,40,28,0,13,12,13,12,1,1,14,27,1.000000
28,14,15,23,35,22,0,8,12,8,12,0,1,9,21,1.000000
29,14,15,15,24,49,0,0,9,0,9,0,1,1,10,1.000000
30,15,16,19,52,21,1,2,31,3,33,0,1,4,37,1.064516
31,15,16,26,44,18,2,14,15,10,17,1,1,11,29,1.133333
32,16,17,20,33,26,0,3,12,3,12,1,1,4,17,1.000000
33,16,17,20,42,18,0,3,20,3,22,0,1,4,26,1.100000
34,17,18,25,60,12,0,7,34,7,34,1,1,8,43,1.000000
35,17,18,34,44,46,1,13,4,12,10,0,1,17,27,2.500000
36,18,19,29,58,4,0,10,23,10,29,0,1,11,40,1.260870
37,18,19,23,37,38,0,4,14,4,14,0,1,5,19,1.000000
38,19,20,23,43,46,0,3,18,3,20,0,1,4,24,1.111111
39,19,20,29,64,13,0,9,25,9,35,0,1,10,45,1.400000
40,20,35,43,68,21,2,3,21,6,25,0,15,23,48,1.190476
41,20,21,37,58,48,0,13,21,15,21,1,1,17,38,1.000000
42,21,37,64,100,45,1,6,20,7,36,0,16,43,79,1.800000
43,21,22,22,58,30,0,0,36,0,36,0,1,1,37,1.000000
44,22,23,33,50,16,0,9,17,9,17,1,1,11,28,1.000000
45,22,25,32,69,17,0,6,23,6,37,1,3,10,47,1.608696
46,23,35,59,63,1,3,6,4,18,4,1,12,36,40,1.000000
47,23,24,30,42,23,0,6,12,6,12,0,1,7,19,1.000000
48,24,25,30,49,49,0,3,17,5,19,0,1,6,25,1.117647
49,24,26,33,41,24,0,7,8,7,8,0,2,9,17,1.000000
50,25,30,35,50,20,0,5,15,5,15,0,5,10,25,1.000000
51,25,27,29,71,19,0,2,41,2,41,1,2,4,46,1.000000
52,26,36,39,66,26,0,3,23,3,27,0,10,13,40,1.173913
53,26,27,28,61,9,0,1,33,1,33,0,1,2,35,1.000000
54,27,29,34,48,15,0,5,14,5,14,0,2,7,21,1.000000
55,27,28,28,50,29,0,0,18,0,22,0,1,1,23,1.222222
56,28,34,40,61,21,1,4,21,5,21,0,6,12,33,1.000000
57,28,208,212,244,14,0,4,32,4,32,0,180,184,216,1.000000
58,29,32,37,49,10,0,5,12,5,12,0,3,8,20,1.000000
59,29,30,32,73,40,0,2,32,2,40,1,1,3,44,1.250000
60,30,41,47,58,42,1,7,11,6,11,0,11,17,28,1.000000
61,30,31,31,52,43,0,0,19,0,21,0,1,1,22,1.105263
62,31,34,34,53,0,0,0,19,0,19,0,3,3,22,1.000000
63,31,32,35,52,8,0,3,13,3,17,0,1,4,21,1.307692
64,32,35,42,46,45,0,5,4,6,4,0,3,10,14,1.000000
65,32,33,34,54,11,0,1,20,1,20,0,1,2,22,1.000000
66,33,44,51,68,46,1,5,17,5,17,0,11,18,35,1.000000
67,33,36,53,69,5,1,5,15,14,15,1,3,20,36,1.000000
68,34,39,43,62,3,0,4,17,4,19,0,5,9,28,1.117647
69,34,35,40,61,26,1,5,21,5,21,0,1,6,27,1.000000
70,35,36,41,70,41,0,5,27,5,29,0,1,6,35,1.074074
71,35,41,48,55,21,1,2,7,6,7,1,6,13,20,1.000000
72,36,82,82,111,6,0,0,29,0,29,0,46,46,75,1.000000
73,36,41,44,61,36,0,3,17,3,17,0,5,8,25,1.000000
74,37,38,40,69,33,0,2,29,2,29,0,1,3,32,1.000000
75,37,49,52,58,47,0,3,6,3,6,0,12,15,21,1.000000
