task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,36,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,68,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,43,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,2,32,8,0,0,28,0,30,0,1,1,31,1.071429
4,2,3,11,29,39,0,8,12,8,18,0,1,9,27,1.500000
5,2,3,3,24,42,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,4,29,21,0,0,19,0,25,0,1,1,26,1.315789
7,3,4,8,33,92,0,4,25,4,25,0,1,5,30,1.000000
8,4,5,5,24,18,0,0,19,0,19,0,1,1,20,1.000000
9,4,5,9,25,35,0,4,16,4,16,0,1,5,21,1.000000
10,5,6,13,30,54,0,7,13,7,17,0,1,8,25,1.307692
11,5,6,8,15,99,0,2,4,2,6,1,1,3,10,1.500000
12,6,7,11,40,73,0,4,27,4,29,0,1,5,34,1.074074
13,6,7,8,37,56,0,1,27,1,29,0,1,2,31,1.074074
14,7,8,14,31,91,0,6,12,6,16,1,1,7,24,1.333333
15,7,8,9,32,31,0,1,21,1,23,0,1,2,25,1.095238
16,8,9,17,29,17,0,8,12,8,12,0,1,9,21,1.000000
17,8,9,18,22,50,0,9,4,9,4,0,1,10,14,1.000000
18,9,10,17,36,30,0,7,16,7,18,1,1,8,27,1.125000
19,9,10,18,32,61,0,8,14,8,14,0,1,9,23,1.000000
20,10,11,28,54,93,6,9,26,16,26,1,1,18,44,1.000000
21,10,11,20,32,40,2,5,12,9,12,0,1,10,22,1.000000
22,11,12,13,34,26,0,1,21,1,21,0,1,2,23,1.000000
23,11,12,13,42,62,0,1,28,1,28,1,1,2,31,1.000000
24,12,13,14,19,94,0,1,5,1,5,0,1,2,7,1.000000
25,12,13,13,42,86,0,0,29,0,29,0,1,1,30,1.000000
26,13,14,20,52,16,0,6,30,6,32,0,1,7,39,1.066667
27,13,14,25,37,93,4,5,12,9,12,2,1,12,24,1.000000
28,14,15,17,29,36,0,2,12,2,12,0,1,3,15,1.000000
29,14,15,15,24,69,0,0,9,0,9,0,1,1,10,1.000000
30,15,16,18,51,46,0,2,31,2,33,0,1,3,36,1.064516
31,15,16,23,39,93,2,5,15,7,15,1,1,8,24,1.000000
32,16,17,19,32,53,0,2,12,2,12,1,1,3,16,1.000000
33,16,17,22,48,43,0,3,20,5,26,0,1,6,32,1.300000
34,17,18,20,54,28,0,2,34,2,34,0,1,3,37,1.000000
35,17,18,26,33,66,0,7,4,7,6,2,1,9,16,1.500000
36,18,19,19,50,9,0,0,23,0,31,0,1,1,32,1.347826
37,18,19,20,34,89,1,6,14,1,14,0,1,2,16,1.000000
38,19,20,20,38,72,0,0,18,0,18,0,1,1,19,1.000000
39,19,20,28,65,37,1,9,25,8,37,0,1,9,46,1.480000
40,20,21,21,46,82,0,0,21,0,25,0,1,1,26,1.190476
41,20,21,23,46,95,0,2,21,2,23,0,1,3,26,1.095238
42,21,22,22,42,87,0,0,20,0,20,0,1,1,21,1.000000
43,21,22,22,59,55,0,0,36,0,36,1,1,1,38,1.000000
44,22,23,28,45,32,1,7,17,5,17,0,1,6,23,1.000000
45,22,23,24,63,15,0,1,23,1,39,0,1,2,41,1.695652
46,23,24,42,55,19,8,9,4,17,12,2,1,19,32,3.000000
47,23,24,28,40,47,0,4,12,4,12,0,1,5,17,1.000000
48,24,25,25,42,97,0,0,17,0,17,0,1,1,18,1.000000
49,24,25,28,36,32,0,3,8,3,8,0,1,4,12,1.000000
50,25,26,30,45,59,0,4,15,4,15,0,1,5,20,1.000000
51,25,26,27,68,38,0,1,41,1,41,0,1,2,43,1.000000
52,26,27,33,62,41,0,6,23,6,29,0,1,7,36,1.260870
53,26,27,29,68,25,0,2,33,2,39,0,1,3,42,1.181818
54,27,28,32,47,57,0,4,14,4,14,1,1,5,20,1.000000
55,27,28,31,52,90,1,4,18,3,20,1,1,4,25,1.111111
56,28,29,32,53,71,0,3,21,3,21,0,1,4,25,1.000000
57,28,29,33,67,44,0,4,32,4,34,0,1,5,39,1.062500
58,29,30,34,46,45,0,4,12,4,12,0,1,5,17,1.000000
59,29,30,30,64,70,0,0,32,0,34,0,1,1,35,1.062500
60,30,31,35,46,69,0,4,11,4,11,0,1,5,16,1.000000
61,30,31,31,50,68,0,0,19,0,19,0,1,1,20,1.000000
62,31,32,33,55,90,1,5,19,1,21,1,1,2,24,1.105263
63,31,32,34,49,29,0,2,13,2,15,0,1,3,18,1.153846
64,32,33,36,42,90,0,3,4,3,6,0,1,4,10,1.500000
65,32,33,34,56,17,0,1,20,1,22,0,1,2,24,1.100000
66,33,34,36,53,21,0,2,17,2,17,0,1,3,20,1.000000
67,33,34,39,54,91,2,3,15,4,15,1,1,6,21,1.000000
68,34,35,46,65,66,0,8,17,8,19,3,1,12,31,1.117647
69,34,35,38,59,36,1,3,21,3,21,0,1,4,25,1.000000
70,35,36,36,67,94,0,0,27,0,31,0,1,1,32,1.148148
71,35,36,36,45,84,0,0,7,0,9,0,1,1,10,1.285714
72,36,37,41,70,53,0,4,29,4,29,0,1,5,34,1.000000
73,36,37,38,55,27,0,1,17,1,17,0,1,2,19,1.000000
74,37,38,39,68,51,0,1,29,1,29,0,1,2,31,1.000000
75,37,38,43,49,40,4,4,6,5,6,0,1,6,12,1.000000
76,38,39,41,53,58,0,2,10,2,12,0,1,3,15,1.200000
77,38,39,42,57,30,1,3,15,3,15,0,1,4,19,1.000000
78,39,40,45,68,24,0,5,21,5,23,0,1,6,29,1.095238
79,39,40,51,68,40,4,5,17,10,17,1,1,12,29,1.000000
