timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.9203378
2,0,6,2,4,76,4,0,0,0.920338
3,0,8,2,6,74,5,1,0,0.9203156
4,0,10,2,8,72,6,2,0,0.9203432
5,0,12,2,10,70,8,2,0,0.9203251
6,0,14,2,12,68,9,3,0,0.9203247
7,0,16,2,14,66,7,7,0,0.9203594
8,1,17,2,15,65,8,7,0,0.9203407
9,1,19,2,17,63,8,9,0,0.9203643
10,1,21,2,19,61,8,11,0,0.9203415
11,1,23,2,21,59,9,12,0,0.9203293
12,1,25,2,23,57,10,13,1,0.9203841
13,2,26,2,24,56,10,14,1,0.9204357
14,2,28,2,26,54,9,17,1,0.9203269
15,2,30,2,28,52,7,21,1,0.9204369
16,5,29,2,27,53,8,19,1,0.9204953
17,5,31,2,29,51,10,19,1,0.9203997
18,5,33,2,31,49,10,21,2,0.9203976
19,5,35,2,33,47,7,26,3,0.9203238
20,6,36,2,34,46,7,27,3,0.9203605
21,7,37,2,35,45,7,28,3,0.9203537
22,8,38,2,36,44,7,29,4,0.9203624
23,10,38,2,36,44,8,28,6,0.9203642
24,12,38,2,36,44,8,28,6,0.9204574
25,13,39,2,37,43,9,28,6,0.9204025
26,13,41,2,39,41,10,29,6,0.920401
27,14,42,2,40,40,10,30,7,0.9203366
28,17,41,2,39,41,12,27,8,0.9203826
29,18,42,2,40,40,10,30,8,0.9204613
30,19,43,2,41,39,11,30,11,0.9204097
31,20,44,2,42,38,12,30,12,0.9204436
32,22,44,2,42,38,12,30,13,0.920486
33,23,45,2,43,37,12,31,15,0.9203561
34,23,47,2,45,35,12,33,18,0.9203429
35,27,45,2,43,37,13,30,19,0.9204175
36,29,45,2,43,37,15,28,20,0.9206463
37,29,47,2,45,35,13,32,20,0.9203684
38,31,47,2,45,35,12,33,20,0.9203325
39,34,46,2,44,36,11,33,21,0.9203559
40,35,47,2,45,35,12,33,22,0.9203372
41,37,47,2,45,35,12,33,23,0.9203745
42,39,47,2,45,35,12,33,23,0.9203301
43,41,47,2,45,35,9,36,23,0.920348
44,42,48,2,46,34,10,36,23,0.9203295
45,43,49,2,47,33,8,39,23,0.9204303
46,45,49,2,47,33,5,42,23,0.9204178
47,48,48,2,46,34,6,40,25,0.92041
48,50,48,2,46,34,6,40,26,0.9203372
49,52,48,2,46,34,6,40,26,0.9204088
50,57,45,2,43,37,8,35,27,0.9204448
51,57,47,2,45,35,5,40,27,0.9203512
52,59,47,2,45,35,5,40,27,0.9204524
53,60,48,2,46,34,6,40,27,0.9203563
54,61,49,2,47,33,7,40,28,0.9204949
55,62,50,2,48,32,8,40,28,0.9203391
56,64,50,2,48,32,9,39,28,0.9204749
57,67,49,2,47,33,8,39,28,0.9206055
58,69,49,2,47,33,8,39,29,0.9204195
59,69,51,2,49,31,9,40,29,0.9205239
60,70,52,2,50,30,8,42,30,0.9204362
61,75,49,2,47,33,9,38,32,0.9204581
62,78,48,2,46,34,10,36,34,0.9203502
63,81,47,2,45,35,9,36,35,0.9204549
64,81,49,2,47,33,10,37,35,0.9203627
65,82,50,2,48,32,11,37,35,0.9204218
66,83,51,2,49,31,10,39,36,0.920407
67,84,52,2,50,30,8,42,36,0.9203534
68,86,52,2,50,30,10,40,36,0.9204251
69,87,53,2,51,29,8,43,36,0.9203821
70,90,52,2,50,30,8,42,36,0.9203665
71,92,52,2,50,30,9,41,36,0.9203576
72,93,53,2,51,29,7,44,36,0.9203488
73,93,55,2,53,27,7,46,36,0.9203914
74,93,57,2,55,25,7,48,38,0.9204688
