agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,9,50,10,224,1,9,224
1,9,63,12,209,1,12,208
2,9,40,16,228,2,15,227
3,13,43,37,204,3,37,201
4,9,62,19,203,1,19,202
5,10,62,13,209,6,13,203
6,9,40,23,221,5,22,217
7,11,43,34,207,6,32,203
8,10,73,6,205,3,6,202
9,10,66,10,208,1,10,207
10,9,41,13,230,1,13,229
11,11,57,19,208,5,17,205
12,9,43,32,209,5,32,204
13,11,78,6,200,3,6,197
14,10,67,11,206,3,10,204
15,13,42,35,207,2,34,206
16,8,58,14,212,3,13,210
17,9,63,4,217,1,4,216
18,10,45,25,214,4,24,211
19,9,63,11,210,3,11,207
20,11,83,9,192,5,9,187
21,10,38,16,230,4,16,226
22,9,62,15,207,0,15,207
23,10,41,14,229,6,14,223
24,10,55,12,217,4,12,213
25,9,51,22,211,3,21,209
26,8,78,21,185,3,20,183
27,8,49,28,207,9,26,200
28,8,69,39,176,7,37,171
29,10,71,16,197,6,14,193
30,8,55,32,197,3,31,195
31,15,27,44,213,6,40,211
32,12,36,22,226,2,22,224
33,11,22,22,240,6,21,235
34,12,51,20,213,5,19,209
35,10,71,8,205,6,8,199
36,9,57,19,208,5,16,206
37,11,56,25,203,4,25,199
38,11,36,27,221,4,27,217
39,9,69,4,211,1,3,211
40,10,54,21,209,4,20,206
41,11,34,44,206,7,43,200
42,10,40,13,231,4,13,227
43,9,69,17,198,5,17,193
44,10,51,27,206,9,27,197
45,12,52,8,224,7,7,218
46,10,43,20,221,3,20,218
47,12,55,32,197,6,30,193
48,11,30,31,223,6,29,219
49,6,70,21,193,4,20,190
