task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,3,44,24,0,2,39,2,41,0,1,3,44,1.051282
1,0,1,7,33,17,0,6,24,6,26,0,1,7,33,1.083333
2,1,2,7,16,39,0,5,9,5,9,0,1,6,15,1.000000
3,1,2,12,28,92,1,6,16,10,16,0,1,11,27,1.000000
4,2,3,3,42,7,0,0,39,0,39,0,1,1,40,1.000000
5,2,3,8,22,40,0,5,14,5,14,0,1,6,20,1.000000
6,3,4,7,16,47,0,3,9,3,9,0,1,4,13,1.000000
7,3,4,9,19,61,2,8,10,5,10,0,1,6,16,1.000000
8,4,5,11,23,61,0,6,12,6,12,0,1,7,19,1.000000
9,4,5,6,16,44,0,1,10,1,10,0,1,2,12,1.000000
10,5,6,15,22,54,0,9,7,9,7,0,1,10,17,1.000000
11,5,6,12,24,16,0,6,12,6,12,0,1,7,19,1.000000
12,6,7,7,8,30,0,0,1,0,1,0,1,1,2,1.000000
13,6,7,7,43,64,0,0,36,0,36,0,1,1,37,1.000000
14,7,8,16,32,18,0,8,13,8,15,1,1,9,25,1.153846
15,7,8,9,25,99,0,1,16,1,16,0,1,2,18,1.000000
16,8,9,14,22,66,0,5,8,5,8,0,1,6,14,1.000000
17,8,9,9,40,2,0,0,30,0,30,1,1,1,32,1.000000
18,9,10,10,26,11,0,0,16,0,16,0,1,1,17,1.000000
19,9,10,20,38,50,0,10,16,10,18,0,1,11,29,1.125000
20,10,11,20,33,43,1,12,13,9,13,0,1,10,23,1.000000
21,10,11,12,14,31,0,1,2,1,2,0,1,2,4,1.000000
22,11,12,15,20,46,0,3,5,3,5,0,1,4,9,1.000000
23,11,12,12,28,8,0,0,16,0,16,0,1,1,17,1.000000
24,12,13,16,32,56,0,3,16,3,16,0,1,4,20,1.000000
25,12,13,13,31,48,0,0,18,0,18,0,1,1,19,1.000000
26,13,14,14,23,36,0,0,9,0,9,0,1,1,10,1.000000
27,13,14,19,32,62,0,5,13,5,13,0,1,6,19,1.000000
28,14,15,26,40,63,0,9,14,11,14,0,1,12,26,1.000000
29,14,15,21,40,53,1,11,19,6,19,0,1,7,26,1.000000
30,15,16,17,34,35,0,1,17,1,17,0,1,2,19,1.000000
31,15,16,18,49,59,0,2,31,2,31,0,1,3,34,1.000000
32,16,17,19,23,68,0,2,4,2,4,0,1,3,7,1.000000
33,16,17,28,43,31,1,5,15,11,15,0,1,12,27,1.000000
34,17,18,18,47,87,0,0,27,0,29,0,1,1,30,1.074074
35,17,18,28,54,45,2,14,18,10,26,0,1,11,37,1.444444
36,18,19,20,27,45,0,1,7,1,7,0,1,2,9,1.000000
37,18,19,19,33,67,0,0,14,0,14,0,1,1,15,1.000000
38,19,20,24,32,28,0,4,8,4,8,0,1,5,13,1.000000
39,19,20,23,46,72,1,9,23,3,23,0,1,4,27,1.000000
40,20,21,21,31,27,0,0,10,0,10,0,1,1,11,1.000000
41,20,21,27,42,53,0,6,13,6,15,0,1,7,22,1.153846
42,21,22,24,39,44,0,2,15,2,15,0,1,3,18,1.000000
43,21,22,28,46,38,1,9,16,6,18,0,1,7,25,1.125000
44,22,23,24,35,54,0,1,7,1,9,2,1,2,13,1.285714
45,22,23,28,42,30,0,5,14,5,14,0,1,6,20,1.000000
46,23,24,27,40,72,0,3,13,3,13,0,1,4,17,1.000000
47,23,24,29,54,31,1,2,24,5,24,1,1,6,31,1.000000
48,24,25,25,26,16,0,0,1,0,1,0,1,1,2,1.000000
49,24,25,26,37,31,0,1,11,1,11,0,1,2,13,1.000000
50,25,26,33,53,93,0,7,19,7,19,1,1,8,28,1.000000
51,25,26,37,61,34,2,7,23,10,23,2,1,12,36,1.000000
52,26,27,28,35,43,0,1,7,1,7,0,1,2,9,1.000000
53,26,27,41,55,33,3,10,14,14,14,0,1,15,29,1.000000
54,27,28,35,54,65,1,8,19,7,19,0,1,8,27,1.000000
55,27,28,35,38,15,0,7,3,7,3,0,1,8,11,1.000000
56,28,29,29,62,88,0,0,31,0,33,0,1,1,34,1.064516
57,28,29,29,53,68,0,0,23,0,23,1,1,1,25,1.000000
58,29,30,32,54,5,0,2,20,2,22,0,1,3,25,1.100000
59,29,30,37,54,51,0,7,17,7,17,0,1,8,25,1.000000
60,30,31,33,51,34,0,2,14,2,18,0,1,3,21,1.285714
61,30,31,34,53,42,0,3,19,3,19,0,1,4,23,1.000000
62,31,32,36,52,32,0,4,16,4,16,0,1,5,21,1.000000
63,31,32,35,54,23,0,3,19,3,19,0,1,4,23,1.000000
64,32,33,36,37,22,0,3,1,3,1,0,1,4,5,1.000000
65,32,33,41,62,18,0,8,20,8,20,1,1,9,30,1.000000
66,33,34,34,37,97,0,0,3,0,3,0,1,1,4,1.000000
67,33,34,34,60,71,0,0,26,0,26,0,1,1,27,1.000000
68,34,35,37,40,73,0,2,3,2,3,0,1,3,6,1.000000
69,34,35,36,48,94,0,1,12,1,12,0,1,2,14,1.000000
70,35,36,40,57,17,0,4,16,4,16,1,1,5,22,1.000000
71,35,36,41,71,35,0,5,29,5,29,1,1,6,36,1.000000
72,36,37,38,52,33,0,1,12,1,14,0,1,2,16,1.166667
73,36,37,37,73,55,0,0,36,0,36,0,1,1,37,1.000000
74,37,38,42,67,54,0,4,25,4,25,0,1,5,30,1.000000
75,37,38,38,74,12,0,0,35,0,35,1,1,1,37,1.000000
76,38,39,42,61,31,0,2,17,2,19,1,1,4,23,1.117647
77,38,39,56,92,61,1,6,32,16,36,1,1,18,54,1.125000
78,39,40,41,53,45,0,1,12,1,12,0,1,2,14,1.000000
79,39,40,41,61,29,0,1,19,1,19,1,1,2,22,1.000000
80,40,41,43,63,44,0,2,20,2,20,0,1,3,23,1.000000
81,40,41,41,45,63,0,0,4,0,4,0,1,1,5,1.000000
82,41,42,43,83,56,1,5,36,1,40,0,1,2,42,1.111111
83,41,42,44,47,37,1,4,3,2,3,0,1,3,6,1.000000
84,42,43,44,80,13,0,1,23,1,35,1,1,2,38,1.521739
85,42,43,43,57,53,0,0,13,0,13,1,1,1,15,1.000000
86,43,44,45,60,19,0,1,15,1,15,0,1,2,17,1.000000
87,43,44,50,79,80,1,7,27,5,29,1,1,7,36,1.074074
88,44,45,45,67,28,0,0,21,0,21,1,1,1,23,1.000000
89,44,45,46,65,58,0,1,19,1,19,0,1,2,21,1.000000
90,45,46,61,102,64,1,6,22,15,40,1,1,16,57,1.818182
91,45,46,50,65,62,0,3,14,3,14,2,1,5,20,1.000000
92,46,47,51,75,36,0,2,22,2,24,2,1,5,29,1.090909
93,46,47,50,88,46,0,3,38,3,38,0,1,4,42,1.000000
94,47,48,55,81,25,1,10,26,7,26,0,1,8,34,1.000000
95,47,48,49,70,87,0,1,21,1,21,0,1,2,23,1.000000
96,48,49,52,74,57,0,3,16,3,22,0,1,4,26,1.375000
97,48,49,54,93,43,0,5,39,5,39,0,1,6,45,1.000000
98,49,50,55,59,72,0,2,4,4,4,1,1,6,10,1.000000
99,49,50,51,68,16,0,1,10,1,16,1,1,2,19,1.600000
100,50,51,57,81,40,2,6,18,6,24,0,1,7,31,1.333333
