timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,98,1,1,0,0.920081
2,0,6,2,4,96,3,1,0,0.9193548
3,0,8,2,6,94,3,3,0,0.9196654
4,0,10,2,8,92,5,3,0,0.9198514
5,0,12,2,10,90,5,5,0,0.9191678
6,0,14,2,12,88,5,7,0,0.9200566
7,0,16,2,14,86,6,8,0,0.9194759
8,1,17,2,15,85,7,8,0,0.9193635
9,1,19,2,17,83,7,10,0,0.9193477
10,1,21,2,19,81,8,11,0,0.9196739
11,1,23,2,21,79,9,12,0,0.9196044
12,1,25,2,23,77,8,15,0,0.9193695
13,1,27,2,25,75,9,16,0,0.91969
14,1,29,2,27,73,11,16,0,0.919995
15,2,30,2,28,72,10,18,0,0.9192055
16,2,32,2,30,70,10,20,1,0.9192898
17,3,33,2,31,69,9,22,3,0.9199799
18,4,34,2,32,68,11,21,3,0.9192482
19,6,34,2,32,68,11,21,3,0.9196753
20,6,36,2,34,66,9,25,3,0.9201303
21,6,38,2,36,64,10,26,3,0.9201749
22,7,39,2,37,63,10,27,3,0.9194256
23,8,40,2,38,62,9,29,4,0.9194938
24,8,42,2,40,60,9,31,4,0.9199062
25,9,43,2,41,59,8,33,4,0.9194488
26,13,41,2,39,61,7,32,4,0.919963
27,14,42,2,40,60,8,32,5,0.9196971
28,15,43,2,41,59,10,31,5,0.9199548
29,16,44,2,42,58,9,33,6,0.9200635
30,18,44,2,42,58,9,33,6,0.91928
31,20,44,2,42,58,9,33,6,0.9199142
32,21,45,2,43,57,9,34,6,0.919974
33,25,43,2,41,59,7,34,6,0.9199379
34,25,45,2,43,57,6,37,6,0.9201859
35,26,46,2,44,56,7,37,6,0.9198926
36,28,46,2,44,56,6,38,7,0.9194046
37,31,45,2,43,57,8,35,7,0.9198855
38,32,46,2,44,56,7,37,8,0.9197313
39,35,45,2,43,57,5,38,8,0.9195034
40,39,43,2,41,59,7,34,8,0.9200931
41,42,42,2,40,60,8,32,8,0.9192907
42,43,43,2,41,59,9,32,9,0.9193024
43,45,43,2,41,59,10,31,10,0.919874
44,46,44,2,42,58,8,34,10,0.9198354
45,48,44,2,42,58,8,34,10,0.9194568
46,48,46,2,44,56,8,36,12,0.9193688
47,48,48,2,46,54,7,39,13,0.9194107
48,50,48,2,46,54,8,38,13,0.919529
49,52,48,2,46,54,8,38,14,0.919968
50,53,49,2,47,53,7,40,14,0.9192577
51,55,49,2,47,53,6,41,14,0.9196543
52,55,51,2,49,51,5,44,14,0.920181
53,58,50,2,48,52,6,42,14,0.9195418
54,59,51,2,49,51,6,43,14,0.9193586
55,66,46,2,44,56,7,37,15,0.9193998
56,66,48,2,46,54,8,38,19,0.9201282
57,69,47,2,45,55,6,39,20,0.9201028
58,70,48,2,46,54,5,41,21,0.9200319
59,73,47,2,45,55,4,41,22,0.9194992
60,75,47,2,45,55,4,41,23,0.9201618
61,76,48,2,46,54,5,41,26,0.9195489
62,79,47,2,45,55,5,40,26,0.9197698
63,81,47,2,45,55,7,38,28,0.9201703
64,81,49,2,47,53,6,41,29,0.9200037
65,86,46,2,44,56,6,38,29,0.9199609
66,87,47,2,45,55,6,39,30,0.9203855
67,91,45,2,43,57,7,36,30,0.9194079
68,91,47,2,45,55,5,40,31,0.9200604
69,92,48,2,46,54,4,42,32,0.9201797
70,95,47,2,45,55,6,39,33,0.9202571
71,98,46,2,44,56,8,36,33,0.9194438
72,98,48,2,46,54,8,38,34,0.9194874
73,98,50,2,48,52,8,40,34,0.9194117
74,99,51,2,49,51,8,41,35,0.9199036
75,100,52,2,50,50,8,42,36,0.9201216
76,101,53,2,51,49,6,45,36,0.9198103
77,103,53,2,51,49,6,45,37,0.9195023
78,104,54,2,52,48,8,44,38,0.9202278
79,106,54,2,52,48,8,44,40,0.9199143
80,108,54,2,52,48,5,47,40,0.9196832
81,109,55,2,53,47,5,48,42,0.9200292
82,110,56,2,54,46,6,48,42,0.9193373
83,114,54,2,52,48,7,45,45,0.9193713
84,118,52,2,50,50,7,43,47,0.9197038
85,121,51,2,49,51,5,44,48,0.9203759
86,122,52,2,50,50,4,46,48,0.9195734
87,123,53,2,51,49,4,47,50,0.9200954
88,126,52,2,50,50,3,47,50,0.9198021
89,129,51,2,49,51,4,45,52,0.9200964
90,134,48,2,46,54,4,42,54,0.9199016
91,137,47,2,45,55,4,41,55,0.9194487
92,140,46,2,44,56,5,39,56,0.9197867
93,141,47,2,45,55,3,42,56,0.9198676
94,145,45,2,43,57,4,39,56,0.9197898
95,145,47,2,45,55,5,40,56,0.9200199
96,145,49,2,47,53,6,41,56,0.9197936
97,147,49,2,47,53,6,41,58,0.9198893
98,148,50,2,48,52,4,44,59,0.9198098
99,148,52,2,50,50,5,45,60,0.920177
100,150,52,2,50,50,6,44,60,0.919305
101,152,52,2,50,50,5,45,61,0.9193994
102,158,48,2,46,54,4,42,61,0.9199381
103,160,48,2,46,54,5,41,61,0.9198669
104,161,49,2,47,53,7,40,63,0.9197957
105,166,46,2,44,56,5,39,65,0.9200945
106,167,47,2,45,55,4,41,66,0.9200574
107,167,49,2,47,53,5,42,67,0.9196389
108,169,49,2,47,53,5,42,67,0.9197307
109,170,50,2,48,52,4,44,67,0.919301
110,171,51,2,49,51,4,45,68,0.9195757
111,172,52,2,50,50,5,45,71,0.9193033
112,174,52,2,50,50,7,43,72,0.9201091
113,178,50,2,48,52,8,40,74,0.9195217
114,178,52,2,50,50,8,42,75,0.9196083
115,180,52,2,50,50,9,41,76,0.9196951
116,181,53,2,51,49,7,44,77,0.9198436
117,183,53,2,51,49,6,45,78,0.9193839
118,186,52,2,50,50,6,44,80,0.9200385
119,189,51,2,49,51,6,43,80,0.9201297
120,191,51,2,49,51,5,44,81,0.9200505
121,196,48,2,46,54,5,41,83,0.919249
122,196,50,2,48,52,4,44,84,0.9196079
123,197,51,2,49,51,4,45,86,0.9196253
124,199,51,2,49,51,5,44,88,0.919519
125,201,51,2,49,51,6,43,89,0.9196538
126,204,50,2,48,52,4,44,90,0.9193169
127,205,51,2,49,51,4,45,92,0.919434
128,209,49,2,47,53,6,41,92,0.9194446
129,211,49,2,47,53,6,41,93,0.9195539
130,216,46,2,44,56,4,40,94,0.9198674
131,217,47,2,45,55,6,39,95,0.9194789
132,218,48,2,46,54,4,42,97,0.920238
133,219,49,2,47,53,4,43,99,0.9196452
134,220,50,2,48,52,3,45,101,0.9194144
135,222,50,2,48,52,4,44,102,0.9197162
136,223,51,2,49,51,6,43,103,0.9197381
137,227,49,2,47,53,3,44,103,0.919334
138,230,48,2,46,54,4,42,104,0.9202867
139,232,48,2,46,54,3,43,107,0.9192803
140,233,49,2,47,53,2,45,107,0.9194577
141,238,46,2,44,56,4,40,107,0.9195432
142,243,43,2,41,59,4,37,107,0.9196369
143,244,44,2,42,58,5,37,108,0.9197613
144,248,42,2,40,60,5,35,108,0.9198109
145,248,44,2,42,58,5,37,108,0.9192753
146,248,46,2,44,56,5,39,110,0.9198463
147,249,47,2,45,55,6,39,110,0.9194947
148,249,49,2,47,53,8,39,110,0.9195683
149,252,48,2,46,54,5,41,111,0.9193343
150,254,48,2,46,54,4,42,113,0.9195358
151,257,47,2,45,55,6,39,113,0.9198536
152,259,47,2,45,55,6,39,113,0.919653
153,260,48,2,46,54,5,41,113,0.9197242
154,262,48,2,46,54,5,41,114,0.9198515
155,264,48,2,46,54,4,42,115,0.9195185
156,266,48,2,46,54,4,42,116,0.919537
157,268,48,2,46,54,5,41,116,0.9201233
158,268,50,2,48,52,5,43,116,0.9196574
159,270,50,2,48,52,6,42,116,0.9197679
160,273,49,2,47,53,5,42,116,0.9197822
161,276,48,2,46,54,5,41,116,0.9196077
162,276,50,2,48,52,6,42,116,0.9202669
163,278,50,2,48,52,6,42,119,0.9200178
164,282,48,2,46,54,6,40,119,0.9198301
165,282,50,2,48,52,2,46,119,0.9202101
166,284,50,2,48,52,3,45,119,0.9193269
167,284,52,2,50,50,2,48,120,0.9194007
168,285,53,2,51,49,3,48,121,0.9196207
169,285,55,2,53,47,4,49,123,0.9200085
170,286,56,2,54,46,6,48,124,0.9193966
171,289,55,2,53,47,8,45,126,0.9192793
172,293,53,2,51,49,7,44,126,0.919365
173,298,50,2,48,52,6,42,126,0.9196696
174,299,51,2,49,51,7,42,126,0.9199777
175,303,49,2,47,53,8,39,126,0.9198589
176,304,50,2,48,52,6,42,126,0.9195216
177,307,49,2,47,53,7,40,126,0.920171
178,309,49,2,47,53,5,42,127,0.9197262
179,309,51,2,49,51,5,44,127,0.9192425
180,310,52,2,50,50,6,44,129,0.9194945
181,315,49,2,47,53,4,43,129,0.9197082
182,315,51,2,49,51,4,45,130,0.91956
183,317,51,2,49,51,5,44,131,0.919597
184,317,53,2,51,49,6,45,132,0.9199816
185,320,52,2,50,50,4,46,133,0.9191937
186,321,53,2,51,49,4,47,133,0.9196414
187,321,55,2,53,47,3,50,135,0.9201773
188,326,52,2,50,50,3,47,135,0.9195476
189,331,49,2,47,53,5,42,135,0.9195851
190,336,46,2,44,56,7,37,136,0.9193946
191,338,46,2,44,56,6,38,136,0.9200458
192,338,48,2,46,54,6,40,136,0.920102
193,339,49,2,47,53,8,39,136,0.9194733
194,339,51,2,49,51,6,43,137,0.9195851
195,342,50,2,48,52,5,43,138,0.9195657
196,344,50,2,48,52,6,42,139,0.9202115
197,348,48,2,46,54,5,41,139,0.9200975
198,349,49,2,47,53,5,42,139,0.9199282
199,351,49,2,47,53,6,41,140,0.9196977
200,352,50,2,48,52,6,42,141,0.9196524
201,355,49,2,47,53,8,39,144,0.9195585
202,356,50,2,48,52,5,43,144,0.9201013
203,359,49,2,47,53,4,43,144,0.9197646
204,362,48,2,46,54,5,41,144,0.9192168
205,364,48,2,46,54,3,43,145,0.9199769
206,365,49,2,47,53,4,43,146,0.9197174
207,366,50,2,48,52,3,45,146,0.9201109
208,367,51,2,49,51,3,46,146,0.9199058
209,367,53,2,51,49,5,46,147,0.9198707
210,369,53,2,51,49,4,47,148,0.9201844
211,371,53,2,51,49,4,47,148,0.9198358
212,373,53,2,51,49,5,46,148,0.9195179
213,375,53,2,51,49,6,45,149,0.9201306
214,377,53,2,51,49,6,45,149,0.9201585
215,380,52,2,50,50,8,42,150,0.9197707
216,386,48,2,46,54,9,37,152,0.9197679
217,390,46,2,44,56,9,35,153,0.9200863
218,393,45,2,43,57,10,33,154,0.9198313
219,397,43,2,41,59,9,32,156,0.9193659
220,397,45,2,43,57,6,37,156,0.9193727
221,398,46,2,44,56,5,39,156,0.9193642
222,399,47,2,45,55,4,41,156,0.9199716
223,401,47,2,45,55,3,42,156,0.9194608
224,402,48,2,46,54,2,44,159,0.9202123
225,404,48,2,46,54,3,43,159,0.919994
226,405,49,2,47,53,5,42,160,0.9196105
227,406,50,2,48,52,5,43,160,0.9192704
228,407,51,2,49,51,2,47,160,0.9193301
229,408,52,2,50,50,2,48,161,0.9195174
230,409,53,2,51,49,2,49,164,0.9194361
231,411,53,2,51,49,3,48,165,0.9196435
232,411,55,2,53,47,5,48,165,0.9200556
233,416,52,2,50,50,5,45,168,0.9199899
234,417,53,2,51,49,5,46,168,0.9201643
235,420,52,2,50,50,4,46,168,0.9194273
236,424,50,2,48,52,4,44,168,0.9200334
237,425,51,2,49,51,5,44,168,0.9192853
238,427,51,2,49,51,5,44,169,0.9198613
239,429,51,2,49,51,5,44,170,0.9194234
240,431,51,2,49,51,6,43,170,0.920011
241,434,50,2,48,52,5,43,170,0.9196605
242,434,52,2,50,50,7,43,170,0.9198204
243,439,49,2,47,53,6,41,170,0.9199018
