agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,53,39,214,5,39,209
1,13,40,61,205,3,60,203
2,10,41,70,195,4,69,192
3,10,54,36,216,2,35,215
4,11,82,39,185,2,38,184
5,11,46,39,221,5,38,217
6,11,77,45,184,2,44,183
7,11,66,51,189,1,50,189
8,10,58,54,194,3,52,193
9,10,46,44,216,2,43,215
10,9,64,40,202,5,39,198
11,10,73,71,162,8,67,158
12,11,64,50,192,3,49,190
13,10,39,46,221,2,45,220
14,10,37,36,233,2,34,233
15,10,59,31,216,1,30,216
16,9,28,45,233,1,44,233
17,9,37,41,228,3,41,225
18,10,39,46,221,2,46,219
19,12,60,40,206,3,40,203
20,10,92,55,159,4,52,158
21,10,54,38,214,3,37,212
22,11,44,16,246,3,16,243
23,11,54,62,190,6,59,187
24,11,44,50,212,5,48,209
25,14,28,37,241,2,37,239
26,10,56,56,194,4,55,191
27,9,91,47,168,4,45,166
28,8,60,47,199,3,47,196
29,11,56,53,197,8,52,190
30,8,91,45,170,3,44,168
31,10,58,49,199,5,48,195
32,12,27,62,217,1,61,217
33,9,60,41,205,2,40,204
34,9,84,41,181,5,39,178
35,9,59,30,217,5,29,213
36,11,65,47,194,5,46,190
37,12,39,34,233,1,34,232
38,8,77,59,170,5,55,169
39,10,60,44,202,1,44,201
40,7,103,21,182,3,20,180
41,9,70,48,188,4,47,185
42,9,84,53,169,1,52,169
43,9,60,54,192,3,52,191
44,7,82,31,193,6,27,191
45,9,92,52,162,6,50,158
46,10,58,49,199,0,49,199
47,12,70,54,182,9,52,175
48,10,61,34,211,4,34,207
49,7,100,28,178,5,27,174
