agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,40,35,235,7,33,230
1,11,24,54,232,5,53,228
2,11,44,59,207,2,59,205
3,12,51,40,219,6,39,214
4,8,69,42,199,3,42,196
5,10,55,57,198,4,56,195
6,11,45,48,217,7,45,213
7,9,67,60,183,1,60,182
8,8,85,33,192,1,33,191
9,11,76,60,174,6,57,171
10,10,61,45,204,2,45,202
11,11,49,16,245,4,16,241
12,11,58,36,216,1,36,215
13,10,78,61,171,2,61,169
14,12,18,65,227,2,64,226
15,11,63,41,206,2,40,205
16,12,43,48,219,7,44,216
17,10,63,55,192,5,53,189
18,11,39,59,212,2,59,210
19,10,55,45,210,3,43,209
20,9,65,30,215,3,30,212
21,8,63,50,197,4,49,194
22,9,55,44,211,8,39,208
23,10,84,27,199,2,25,199
24,10,78,38,194,0,38,194
25,10,62,59,189,7,55,186
26,9,74,70,166,1,70,165
27,10,85,54,171,4,53,168
28,9,53,32,225,4,31,222
29,10,45,36,229,4,35,226
30,11,67,47,196,6,46,191
31,11,19,43,248,4,42,245
32,9,43,67,200,8,62,197
33,9,73,40,197,3,37,197
34,8,66,60,184,2,59,183
35,9,77,55,178,6,53,174
36,12,55,45,210,5,45,205
37,9,26,43,241,3,43,238
38,10,45,32,233,9,30,226
39,12,49,51,210,4,49,208
40,7,78,38,194,2,38,192
41,12,22,49,239,3,48,237
42,7,76,44,190,7,40,187
43,13,33,55,222,12,53,212
44,9,38,33,239,4,30,238
45,8,66,49,195,3,49,192
46,11,43,60,207,5,59,203
47,11,64,39,207,9,39,198
48,9,25,66,219,1,66,218
49,9,42,40,228,8,37,223
