task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,43,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,18,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,5,33,0,0,3,28,3,28,0,1,4,32,1.000000
4,2,3,11,23,14,0,8,12,8,12,0,1,9,21,1.000000
5,2,3,3,24,17,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,15,34,1,1,8,19,11,19,0,1,12,31,1.000000
7,3,4,15,40,36,0,11,25,11,25,0,1,12,37,1.000000
8,4,5,15,34,3,1,13,19,10,19,0,1,11,30,1.000000
9,4,5,9,25,10,0,4,16,4,16,0,1,5,21,1.000000
10,5,6,13,27,29,0,7,13,7,13,1,1,8,22,1.000000
11,5,6,13,17,48,1,5,4,7,4,0,1,8,12,1.000000
12,6,7,10,44,48,0,3,27,3,33,1,1,4,38,1.222222
13,6,7,8,35,31,0,1,27,1,27,0,1,2,29,1.000000
14,7,8,21,36,38,0,11,12,13,14,1,1,14,29,1.166667
15,7,8,9,32,6,0,1,21,1,23,0,1,2,25,1.095238
16,8,9,17,29,15,1,9,12,8,12,0,1,9,21,1.000000
17,8,9,24,28,25,1,9,4,15,4,0,1,16,20,1.000000
18,9,10,24,43,5,1,7,16,14,18,1,1,15,34,1.125000
19,9,10,15,32,21,2,9,14,5,16,1,1,6,23,1.142857
20,10,11,26,53,32,3,10,26,15,26,1,1,16,43,1.000000
21,10,11,14,26,16,1,8,12,3,12,0,1,4,16,1.000000
22,11,12,17,38,7,0,5,21,5,21,0,1,6,27,1.000000
23,11,12,15,43,44,0,3,28,3,28,0,1,4,32,1.000000
24,12,13,29,34,45,0,14,5,16,5,0,1,17,22,1.000000
25,12,13,19,49,47,0,6,29,6,29,1,1,7,37,1.000000
26,13,14,19,49,2,1,12,30,5,30,0,1,6,36,1.000000
27,13,14,22,39,28,3,13,12,8,16,1,1,9,26,1.333333
28,14,15,23,35,22,0,8,12,8,12,0,1,9,21,1.000000
29,14,15,15,24,49,0,0,9,0,9,0,1,1,10,1.000000
30,15,16,19,52,21,1,2,31,3,33,0,1,4,37,1.064516
31,15,16,26,41,18,2,14,15,10,15,0,1,11,26,1.000000
32,16,17,20,35,26,0,3,12,3,14,1,1,4,19,1.166667
33,16,17,20,42,18,0,3,20,3,22,0,1,4,26,1.100000
34,17,18,25,65,12,0,7,34,7,40,0,1,8,48,1.176471
35,17,18,35,48,46,4,13,4,17,12,1,1,18,31,3.000000
36,18,19,29,58,4,0,10,23,10,29,0,1,11,40,1.260870
37,18,19,32,46,37,4,15,14,13,14,0,1,14,28,1.000000
38,19,20,23,42,46,0,3,18,3,18,1,1,4,23,1.000000
39,19,20,33,61,13,1,9,25,13,27,1,1,14,42,1.080000
40,20,21,34,59,9,3,18,21,13,25,0,1,14,39,1.190476
41,20,21,32,55,37,3,9,21,11,23,0,1,12,35,1.095238
42,21,22,56,81,42,7,23,20,23,24,5,1,35,60,1.200000
43,21,22,22,58,30,0,0,36,0,36,0,1,1,37,1.000000
44,22,23,28,46,16,1,9,17,5,17,1,1,6,24,1.000000
45,22,23,32,55,8,1,18,23,8,23,1,1,10,33,1.000000
46,23,24,46,50,19,5,14,4,14,4,2,1,23,27,1.000000
47,23,24,30,42,23,2,6,12,6,12,0,1,7,19,1.000000
48,24,25,30,48,49,2,3,17,5,17,1,1,6,24,1.000000
49,24,25,32,40,24,0,7,8,7,8,0,1,8,16,1.000000
50,25,26,29,47,9,0,3,15,3,17,1,1,4,22,1.133333
51,25,26,28,69,27,1,6,41,2,41,0,1,3,44,1.000000
52,26,27,35,68,19,3,4,23,7,31,3,1,9,42,1.347826
53,26,27,30,69,8,0,3,33,3,39,0,1,4,43,1.181818
54,27,28,41,59,15,1,6,14,13,14,4,1,14,32,1.000000
55,27,28,43,66,39,6,5,18,15,22,1,1,16,39,1.222222
56,28,29,31,52,20,0,2,21,2,21,0,1,3,24,1.000000
57,28,29,33,67,27,0,4,32,4,34,0,1,5,39,1.062500
58,29,30,42,54,10,0,12,12,12,12,0,1,13,25,1.000000
59,29,30,32,64,42,2,1,32,2,32,0,1,3,35,1.000000
60,30,31,37,50,40,1,8,11,6,13,0,1,7,20,1.181818
61,30,31,31,52,43,0,0,19,0,21,0,1,1,22,1.105263
62,31,32,34,59,35,1,10,19,2,25,0,1,3,28,1.315789
63,31,33,44,57,6,3,6,13,9,13,2,2,13,26,1.000000
64,32,33,33,39,39,0,0,4,0,6,0,1,1,7,1.500000
65,32,33,36,56,33,0,3,20,3,20,0,1,4,24,1.000000
66,33,35,40,57,3,0,5,17,5,17,0,2,7,24,1.000000
67,33,34,39,54,41,0,5,15,5,15,0,1,6,21,1.000000
68,34,35,40,65,1,0,5,17,5,25,0,1,6,31,1.470588
69,34,35,42,63,40,2,20,21,5,21,2,1,8,29,1.000000
70,35,40,47,76,32,1,5,27,5,29,2,5,12,41,1.074074
71,35,36,51,65,45,0,13,7,8,13,2,1,16,30,1.857143
72,36,37,63,92,26,0,4,29,15,29,0,1,27,56,1.000000
73,36,39,43,61,7,1,9,17,4,17,1,3,7,25,1.000000
74,37,38,42,73,40,0,4,29,4,31,0,1,5,36,1.068966
75,37,38,49,55,31,1,7,6,9,6,0,1,12,18,1.000000
