task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,3,52,24,0,2,39,2,49,0,1,3,52,1.256410
1,0,1,10,39,17,2,6,24,8,28,2,1,10,39,1.166667
2,0,1,6,17,39,0,5,9,5,11,0,1,6,17,1.222222
3,0,1,7,23,92,2,6,16,6,16,0,1,7,23,1.000000
4,0,1,1,40,7,0,0,39,0,39,0,1,1,40,1.000000
5,1,2,7,21,40,0,5,14,5,14,0,1,6,20,1.000000
6,1,2,5,14,47,0,3,9,3,9,0,1,4,13,1.000000
7,1,2,21,51,91,3,8,10,19,30,0,1,20,50,3.000000
8,1,2,9,26,61,0,7,12,7,16,1,1,8,25,1.333333
9,1,2,3,13,44,0,1,10,1,10,0,1,2,12,1.000000
10,2,3,15,24,54,1,9,7,12,9,0,1,13,22,1.285714
11,2,3,6,18,17,0,3,12,3,12,0,1,4,16,1.000000
12,2,3,3,4,30,0,0,1,0,1,0,1,1,2,1.000000
13,2,3,3,39,64,0,0,36,0,36,0,1,1,37,1.000000
14,2,3,15,32,16,2,8,13,11,15,3,1,13,30,1.153846
15,3,4,5,21,99,0,1,16,1,16,0,1,2,18,1.000000
16,3,4,10,21,66,1,5,8,6,10,1,1,7,18,1.250000
17,3,4,4,35,2,0,0,30,0,30,1,1,1,32,1.000000
18,3,4,4,26,11,0,0,16,0,22,0,1,1,23,1.375000
19,3,4,22,43,50,1,10,16,18,20,1,1,19,40,1.250000
20,4,5,14,34,15,1,11,13,9,19,1,1,10,30,1.461538
21,4,5,5,7,36,0,0,2,0,2,0,1,1,3,1.000000
22,4,5,7,12,43,0,2,5,2,5,0,1,3,8,1.000000
23,4,5,5,21,8,0,0,16,0,16,0,1,1,17,1.000000
24,4,5,6,22,66,0,1,16,1,16,0,1,2,18,1.000000
25,5,6,6,24,48,0,0,18,0,18,0,1,1,19,1.000000
26,5,6,8,17,31,1,1,9,2,9,0,1,3,12,1.000000
27,5,6,11,28,62,0,5,13,5,17,0,1,6,23,1.307692
28,5,6,10,39,93,1,8,14,4,28,1,1,5,34,2.000000
29,5,6,12,31,57,1,9,19,6,19,0,1,7,26,1.000000
30,6,7,8,25,35,0,1,17,1,17,0,1,2,19,1.000000
31,6,7,7,39,56,0,0,31,0,31,1,1,1,33,1.000000
32,6,7,10,14,59,1,1,4,3,4,0,1,4,8,1.000000
33,6,7,11,26,31,0,4,15,4,15,0,1,5,20,1.000000
34,6,7,7,36,87,0,0,27,0,29,0,1,1,30,1.074074
35,7,8,14,48,46,1,13,18,5,34,1,1,7,41,1.888889
36,7,8,10,17,45,0,2,7,2,7,0,1,3,10,1.000000
37,7,8,8,22,67,0,0,14,0,14,0,1,1,15,1.000000
38,7,8,15,23,36,1,3,8,7,8,0,1,8,16,1.000000
39,7,8,14,39,59,0,6,23,6,25,0,1,7,32,1.086957
40,8,9,9,19,27,0,0,10,0,10,0,1,1,11,1.000000
41,8,9,15,28,53,2,6,13,6,13,0,1,7,20,1.000000
42,8,9,9,24,63,0,0,15,0,15,0,1,1,16,1.000000
43,8,9,19,36,41,2,8,16,10,16,1,1,11,28,1.000000
44,8,9,15,32,90,1,10,7,6,17,0,1,7,24,2.428571
45,9,10,20,35,30,2,5,14,10,14,1,1,11,26,1.000000
46,9,10,15,32,72,0,5,13,5,17,0,1,6,23,1.307692
47,9,10,12,41,28,0,2,24,2,28,1,1,3,32,1.166667
48,9,10,19,20,51,3,10,1,7,1,2,1,10,11,1.000000
49,9,10,11,22,36,0,1,11,1,11,0,1,2,13,1.000000
50,10,11,28,47,94,3,8,19,12,19,1,1,18,37,1.000000
51,10,11,20,43,30,1,4,23,9,23,0,1,10,33,1.000000
52,10,11,15,23,42,1,3,7,3,7,2,1,5,13,1.000000
53,10,11,27,41,34,3,9,14,11,14,1,1,17,31,1.000000
54,10,11,21,44,65,0,8,19,9,23,0,1,11,34,1.210526
55,11,12,21,24,19,0,7,3,9,3,0,1,10,13,1.000000
56,11,12,12,48,88,0,0,31,0,35,1,1,1,37,1.129032
57,11,12,16,39,71,0,4,23,4,23,0,1,5,28,1.000000
58,11,12,14,34,5,0,2,20,2,20,0,1,3,23,1.000000
59,11,12,17,37,53,1,3,17,5,19,1,1,6,26,1.117647
60,12,13,14,30,30,0,1,14,1,14,2,1,2,18,1.000000
61,12,13,14,33,42,0,1,19,1,19,0,1,2,21,1.000000
62,12,13,13,32,26,0,0,16,0,18,1,1,1,20,1.125000
63,12,13,16,35,23,2,3,19,3,19,0,1,4,23,1.000000
64,12,13,16,17,22,2,2,1,2,1,1,1,4,5,1.000000
65,13,14,16,62,90,0,2,20,2,46,0,1,3,49,2.300000
66,13,14,14,17,97,0,0,3,0,3,0,1,1,4,1.000000
67,13,14,14,41,77,0,0,26,0,26,1,1,1,28,1.000000
68,13,14,16,19,73,0,2,3,2,3,0,1,3,6,1.000000
69,13,14,16,28,95,0,2,12,2,12,0,1,3,15,1.000000
