agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,52,35,191,4,31,191
1,10,37,26,215,3,26,212
2,10,63,12,203,5,12,198
3,11,34,11,233,2,11,231
4,8,64,9,205,3,9,202
5,13,56,30,192,3,29,190
6,9,74,18,186,4,18,182
7,10,31,23,224,3,23,221
8,9,67,15,196,2,15,194
9,11,35,32,211,7,30,206
10,10,48,19,211,2,19,209
11,9,42,37,199,3,36,197
12,10,38,28,212,3,27,210
13,10,58,27,193,3,26,191
14,9,47,15,216,2,15,214
15,9,53,10,215,4,9,212
16,10,44,32,202,2,31,201
17,9,70,18,190,4,17,187
18,10,28,29,221,5,29,216
19,11,59,22,197,3,22,194
20,11,58,18,202,5,17,198
21,13,20,27,231,4,27,227
22,12,44,10,224,3,10,221
23,11,34,32,212,2,30,212
24,10,55,16,207,6,15,202
25,10,59,21,198,1,21,197
26,9,48,33,197,6,32,192
27,9,65,28,185,3,28,182
28,11,73,23,182,6,21,178
29,10,58,15,205,5,15,200
30,11,67,8,203,2,8,201
31,8,67,25,186,0,25,186
32,10,49,32,197,3,31,195
33,10,69,14,195,4,14,191
34,11,23,33,222,6,30,219
35,9,60,31,187,3,30,185
36,10,64,22,192,3,21,190
37,10,34,51,193,6,47,191
38,9,66,31,181,5,29,178
39,11,27,30,221,4,30,217
40,8,79,20,179,4,19,176
41,10,76,7,195,2,7,193
42,7,81,24,173,1,23,173
43,11,44,26,208,4,24,206
44,10,49,10,219,4,9,216
45,12,54,20,204,3,19,202
46,9,69,6,203,2,5,202
47,11,67,21,190,4,21,186
48,11,47,28,203,8,26,197
49,7,81,5,192,3,5,189
