timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,10,5,5,75,4,1,0,0.9204475
2,0,15,5,10,70,9,1,0,0.9203741
3,0,20,5,15,65,11,4,0,0.9204475
4,1,24,5,19,61,13,6,0,0.9204127
5,1,29,5,24,56,15,9,0,0.9204357
6,1,34,5,29,51,17,12,0,0.920395
7,2,38,5,33,47,19,14,0,0.9204387
8,2,43,5,38,42,22,16,0,0.9204417
9,2,48,5,43,37,23,20,1,0.9204531
10,2,53,5,48,32,21,27,3,0.9204689
11,2,58,5,53,27,23,30,5,0.9207363
12,3,62,6,56,24,24,32,5,0.9204786
13,4,66,10,56,24,22,34,5,0.9204194
14,6,69,13,56,24,18,38,5,0.9204578
15,6,74,15,59,21,18,41,6,0.9204911
16,6,79,18,61,19,18,43,8,0.9205647
17,10,80,21,59,21,18,41,10,0.920504
18,10,85,22,63,17,17,46,13,0.920527
19,12,88,23,65,15,17,48,14,0.9205386
20,13,92,25,67,13,16,51,18,0.9204312
21,14,96,25,71,9,14,57,20,0.9204424
22,16,99,24,75,5,17,58,20,0.9203954
23,19,101,25,76,4,19,57,25,0.9204429
24,24,101,27,74,6,19,55,25,0.9204732
25,26,104,28,76,4,20,56,26,0.920443
26,28,107,29,78,2,24,54,32,0.9204608
27,31,109,32,77,3,20,57,37,0.9204472
28,33,112,34,78,2,18,60,42,0.9204343
29,35,115,37,78,2,15,63,46,0.9204466
30,36,119,40,79,1,12,67,48,0.9204587
31,37,123,44,79,1,13,66,50,0.9204399
32,42,123,48,75,5,8,67,52,0.9205067
33,44,126,48,78,2,11,67,54,0.92047
34,46,129,51,78,2,10,68,56,0.9205396
35,50,130,54,76,4,7,69,57,0.920412
36,51,134,55,79,1,7,72,59,0.9204219
37,55,135,59,76,4,7,69,64,0.9204153
38,59,136,60,76,4,8,68,67,0.9204122
39,62,138,61,77,3,8,69,70,0.9203792
40,64,141,63,78,2,7,71,70,0.9204141
41,69,141,66,75,5,6,69,71,0.9204609
42,72,143,66,77,3,8,69,73,0.9204192
43,76,144,68,76,4,8,68,76,0.9204069
44,79,146,69,77,3,7,70,79,0.9204618
45,80,150,71,79,1,5,74,79,0.9203978
46,82,153,75,78,2,3,75,80,0.9205477
47,84,156,78,78,2,5,73,82,0.9203925
48,88,157,81,76,4,5,71,87,0.9203971
49,94,156,82,74,6,7,67,90,0.9204184
50,98,157,81,76,4,7,69,93,0.9204275
51,100,160,82,78,2,7,71,98,0.920412
52,104,161,85,76,4,3,73,101,0.9204306
53,106,164,86,78,2,2,76,103,0.9204636
54,108,167,89,78,2,4,74,105,0.9203866
55,113,167,92,75,5,5,70,107,0.9204628
56,116,169,92,77,3,5,72,109,0.920519
57,118,172,94,78,2,2,76,110,0.9204669
58,121,174,97,77,3,2,75,111,0.9204756
59,122,178,99,79,1,4,75,112,0.9209168
60,126,179,103,76,4,2,74,113,0.9203856
61,131,179,104,75,5,2,73,115,0.9205199
62,133,182,104,78,2,3,75,115,0.9204026
63,141,179,107,72,8,3,69,116,0.9204153
64,143,182,104,78,2,4,74,119,0.9204577
65,148,182,107,75,5,2,73,120,0.9204354
66,152,183,107,76,4,1,75,120,0.9203898
67,155,185,108,77,3,3,74,122,0.9203839
68,162,183,110,73,7,2,71,127,0.9204339
69,165,185,108,77,3,5,72,128,0.9204648
70,169,186,110,76,4,5,71,129,0.9204517
71,170,190,111,79,1,6,73,131,0.9204481
72,174,191,115,76,4,4,72,135,0.9204104
73,175,195,116,79,1,4,75,139,0.9207196
74,178,197,120,77,3,3,74,139,0.9205294
75,182,198,122,76,4,6,70,141,0.9204287
76,184,201,123,78,2,1,77,145,0.9204718
77,186,204,126,78,2,2,76,147,0.9203911
78,188,207,129,78,2,3,75,148,0.9203985
79,192,208,132,76,4,3,73,149,0.9203863
80,192,213,133,80,0,5,75,149,0.9204374
81,199,211,138,73,7,3,70,150,0.9203865
82,202,213,136,77,3,2,75,153,0.9205826
83,204,216,138,78,2,2,76,156,0.920484
84,207,218,141,77,3,3,74,156,0.9204785
85,211,219,143,76,4,3,73,159,0.9204861
86,214,221,144,77,3,4,73,159,0.920405
87,216,224,146,78,2,5,73,161,0.9204057
88,217,228,149,79,1,6,73,164,0.9204133
89,223,227,153,74,6,3,71,165,0.9203872
90,229,226,152,74,6,3,71,167,0.9206216
91,231,229,151,78,2,4,74,169,0.9204322
92,235,230,154,76,4,4,72,171,0.9204582
93,239,231,155,76,4,5,71,179,0.920425
94,241,234,156,78,2,8,70,180,0.9204009
95,243,237,159,78,2,5,73,181,0.9204076
96,245,240,162,78,2,3,75,183,0.920478
97,248,242,165,77,3,2,75,186,0.9203875
98,250,245,167,78,2,1,77,187,0.9204025
99,256,244,170,74,6,1,73,193,0.9203912
100,257,243,164,79,1,3,76,198,0.9206214
101,261,239,163,76,4,1,75,199,0.9205135
102,264,236,159,77,3,3,74,201,0.9204907
103,265,235,156,79,1,3,76,206,0.9203788
104,270,230,155,75,5,1,74,213,0.9203697
105,273,227,150,77,3,2,75,214,0.9204927
106,275,225,147,78,2,3,75,216,0.920401
107,277,223,145,78,2,4,74,219,0.9203953
108,280,220,143,77,3,3,74,222,0.9204033
109,283,217,140,77,3,2,75,223,0.9204638
110,287,213,137,76,4,1,75,225,0.9204313
111,291,209,133,76,4,1,75,228,0.9204429
112,296,204,129,75,5,2,73,229,0.9204434
113,301,199,124,75,5,4,71,230,0.9204785
114,304,196,119,77,3,6,71,232,0.9203999
115,306,194,116,78,2,4,74,237,0.9203924
116,310,190,114,76,4,5,71,238,0.9203852
117,314,186,110,76,4,4,72,241,0.9204389
118,317,183,106,77,3,4,73,241,0.9204018
119,321,179,103,76,4,3,73,244,0.9205089
120,328,172,99,73,7,6,67,245,0.9204847
121,331,169,92,77,3,10,67,246,0.9203946
122,334,166,89,77,3,10,67,246,0.9203964
123,337,163,86,77,3,7,70,246,0.9203815
124,340,160,83,77,3,6,71,246,0.9204643
125,341,159,80,79,1,4,75,249,0.9204477
126,347,153,79,74,6,3,71,249,0.9203688
127,351,149,73,76,4,7,69,249,0.9204006
128,353,147,69,78,2,8,70,252,0.9204084
129,356,144,67,77,3,9,68,254,0.9203864
130,359,141,64,77,3,8,69,256,0.9204168
131,361,139,61,78,2,6,72,256,0.9203778
132,367,133,59,74,6,4,70,256,0.9203453
133,369,131,53,78,2,8,70,259,0.9203613
134,372,128,51,77,3,8,69,259,0.9203575
135,377,123,48,75,5,9,66,262,0.9203572
136,384,116,43,73,7,10,63,262,0.9203807
137,384,116,36,80,0,11,69,264,0.920458
138,387,113,36,77,3,8,69,264,0.9205039
139,391,109,33,76,4,9,67,267,0.920557
140,392,108,29,79,1,11,68,270,0.9203686
141,395,105,28,77,3,9,68,270,0.920377
142,398,102,25,77,3,10,67,272,0.9203528
143,399,101,22,79,1,11,68,273,0.9204085
144,402,98,21,77,3,12,65,275,0.9203781
145,405,95,18,77,3,13,64,275,0.9203945
146,408,92,15,77,3,12,65,276,0.9204074
147,410,90,13,77,3,12,65,278,0.9204644
148,414,86,11,75,5,12,63,279,0.9204183
149,416,84,10,74,6,11,63,280,0.9205174
150,419,81,9,72,8,11,61,281,0.9204249
151,424,76,9,67,13,11,56,282,0.9204176
152,426,74,7,67,13,11,56,283,0.9205194
153,428,72,5,67,13,12,55,285,0.9204229
154,430,70,3,67,13,12,55,288,0.9204657
155,432,68,2,66,14,12,54,290,0.9203494
156,433,67,1,66,14,11,55,291,0.9204022
157,436,64,0,64,16,10,54,293,0.9204072
158,438,62,0,62,18,9,53,293,0.9204994
159,440,60,0,60,20,8,52,296,0.9204376
160,444,56,0,56,24,8,48,298,0.9203814
161,447,53,0,53,27,7,46,298,0.9203577
162,449,51,0,51,29,5,46,299,0.9205363
163,452,48,0,48,32,4,44,299,0.9205197
164,454,46,0,46,34,3,43,300,0.9203605
165,455,45,0,45,35,2,43,301,0.9203554
166,456,44,0,44,36,2,42,301,0.9205462
167,458,42,0,42,38,2,40,302,0.920354
168,459,41,0,41,39,0,41,303,0.9203838
169,460,40,0,40,40,0,40,305,0.9203314
170,461,39,0,39,41,0,39,305,0.9204028
171,464,36,0,36,44,0,36,305,0.9203426
172,465,35,0,35,45,0,35,306,0.9203358
173,466,34,0,34,46,0,34,307,0.9203415
174,467,33,0,33,47,0,33,307,0.9203399
175,469,31,0,31,49,0,31,307,0.9203209
176,471,29,0,29,51,0,29,307,0.9203292
177,474,26,0,26,54,0,26,307,0.920291
178,478,22,0,22,58,0,22,307,0.9203131
179,480,20,0,20,60,0,20,307,0.920329
180,481,19,0,19,61,0,19,307,0.9203124
181,482,18,0,18,62,0,18,307,0.9203023
182,483,17,0,17,63,0,17,307,0.9203523
183,484,16,0,16,64,0,16,307,0.9203406
184,484,16,0,16,64,0,16,307,0.9203174
185,485,15,0,15,65,0,15,307,0.9203171
186,487,13,0,13,67,0,13,307,0.9202999
187,487,13,0,13,67,0,13,307,0.9203409
188,488,12,0,12,68,0,12,307,0.920329
189,488,12,0,12,68,0,12,307,0.9203162
190,491,9,0,9,71,0,9,307,0.9203083
191,492,8,0,8,72,0,8,307,0.9203042
192,492,8,0,8,72,0,8,307,0.9203257
193,494,6,0,6,74,0,6,307,0.9203056
194,495,5,0,5,75,0,5,307,0.9203391
195,498,2,0,2,78,0,2,307,0.9203483
196,498,2,0,2,78,0,2,307,0.920289
197,498,2,0,2,78,0,2,307,0.920321
198,498,2,0,2,78,0,2,307,0.9202841
199,498,2,0,2,78,0,2,307,0.9203292
200,498,2,0,2,78,0,2,307,0.9203058
201,498,2,0,2,78,0,2,307,0.9202792
202,498,2,0,2,78,0,2,307,0.9203042
203,499,1,0,1,79,0,1,307,0.920288
204,499,1,0,1,79,0,1,307,0.9202801
205,500,0,0,0,80,0,0,307,0.9202734
