timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,3000,1000,2000,0,1086,914,0,0.901623
2,0,3000,1000,2000,0,645,1355,372,0.9049839
3,0,3000,1000,2000,0,356,1644,722,0.9068985
4,1,3000,1001,1999,1,248,1751,1026,0.9087304
5,1,3000,1000,2000,0,195,1805,1354,0.9087893
6,7,3000,1006,1994,6,152,1842,1687,0.9077285
7,11,3000,1004,1996,4,118,1878,1987,0.9088996
8,13,3000,1002,1998,2,92,1906,2298,0.907921
9,17,3000,1004,1996,4,81,1915,2660,0.9072575
10,23,3000,1006,1994,6,68,1926,3030,0.9085625
11,29,3000,1006,1994,6,66,1928,3389,0.909684
12,33,3000,1004,1996,4,58,1938,3779,0.908595
13,39,3000,1006,1994,6,52,1942,4153,0.9070408
14,43,3000,1004,1996,4,49,1947,4519,0.9079991
15,49,3000,1006,1994,6,44,1950,4888,0.9062837
16,56,3000,1007,1993,7,41,1952,5247,0.9090071
17,64,3000,1008,1992,8,44,1948,5634,0.9072061
18,69,3000,1005,1995,5,42,1953,6034,0.9083445
19,80,3000,1011,1989,11,38,1951,6444,0.90706
20,87,3000,1007,1993,7,39,1954,6842,0.9070722
21,92,3000,1005,1995,5,39,1956,7257,0.9078781
22,106,3000,1014,1986,14,39,1947,7701,0.9088144
23,118,3000,1012,1988,12,40,1948,8138,0.9069658
24,131,3000,1013,1987,13,38,1949,8537,0.9076969
25,138,3000,1007,1993,7,38,1955,8925,0.9067585
26,145,3000,1007,1993,7,35,1958,9309,0.9094483
27,151,3000,1006,1994,6,32,1962,9682,0.9076739
28,164,3000,1013,1987,13,31,1956,10075,0.907336
29,177,3000,1013,1987,13,36,1951,10483,0.9073248
30,184,3000,1007,1993,7,41,1952,10876,0.9070583
31,193,3000,1009,1991,9,40,1951,11282,0.9091031
32,202,3000,1009,1991,9,44,1947,11728,0.9061192
33,213,3000,1011,1989,11,40,1949,12142,0.907656
34,220,3000,1007,1993,7,42,1951,12548,0.9083105
35,237,3000,1017,1983,17,39,1944,12916,0.9062782
36,250,3000,1013,1987,13,45,1942,13278,0.9078287
37,269,3000,1019,1981,19,49,1932,13673,0.9070975
38,279,3000,1010,1990,10,57,1933,14085,0.9076947
39,300,3000,1021,1979,21,54,1925,14499,0.90745
40,319,3000,1019,1981,19,61,1920,14871,0.9082785
41,334,3000,1015,1985,15,66,1919,15329,0.9071215
42,348,3000,1014,1986,14,55,1931,15789,0.9072498
43,363,3000,1015,1985,15,49,1936,16177,0.9062256
44,379,3000,1016,1984,16,55,1929,16587,0.906224
45,393,3000,1014,1986,14,59,1927,17021,0.9068416
46,413,3000,1020,1980,20,49,1931,17438,0.9063897
47,429,3000,1016,1984,16,57,1927,17824,0.9076347
48,453,3000,1024,1976,24,54,1922,18210,0.9066622
49,479,3000,1026,1974,26,59,1915,18618,0.9084803
50,492,3000,1013,1987,13,71,1916,19054,0.9064235
51,511,3000,1019,1981,19,67,1914,19472,0.9079451
52,524,3000,1013,1987,13,68,1919,19863,0.906397
53,540,3000,1016,1984,16,64,1920,20305,0.9068268
54,560,3000,1020,1980,20,61,1919,20735,0.9067
55,574,3000,1014,1986,14,66,1920,21143,0.9070482
56,591,3000,1017,1983,17,69,1914,21571,0.9060087
57,603,3000,1012,1988,12,78,1910,21954,0.9075587
58,619,3000,1016,1984,16,66,1918,22362,0.9078661
59,643,3000,1024,1976,24,66,1910,22794,0.905933
60,661,3000,1018,1982,18,70,1912,23230,0.9073263
61,685,3000,1024,1976,24,69,1907,23666,0.9088108
62,706,3000,1021,1979,21,72,1907,24077,0.9074346
63,717,3000,1011,1989,11,65,1924,24492,0.907183
64,734,3000,1017,1983,17,62,1921,24884,0.9070027
65,757,3000,1023,1977,23,65,1912,25262,0.9093124
66,768,3000,1011,1989,11,69,1920,25651,0.9064711
67,785,3000,1017,1983,17,58,1925,26038,0.9086608
68,807,3000,1022,1978,22,59,1919,26453,0.9068011
69,820,3000,1013,1987,13,69,1918,26878,0.9072453
70,848,3000,1028,1972,28,58,1914,27273,0.9069181
71,866,3000,1018,1982,18,72,1910,27680,0.9086948
72,880,3000,1014,1986,14,67,1919,28114,0.9070272
73,894,3000,1014,1986,14,61,1925,28504,0.9068378
74,917,3000,1023,1977,23,63,1914,28881,0.9077131
75,937,3000,1020,1980,20,68,1912,29281,0.9080738
76,962,3000,1025,1975,25,69,1906,29681,0.9063112
77,979,3000,1017,1983,17,67,1916,30066,0.906625
78,998,3000,1019,1981,19,73,1908,30482,0.9073609
