agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,22,23,304,673,75,276,626
1,20,21,480,499,92,425,462
2,20,21,432,547,95,372,512
3,24,25,362,613,91,324,560
4,20,21,413,566,74,371,534
5,22,23,386,591,97,347,533
6,26,27,437,536,63,401,509
7,19,20,402,578,109,332,539
8,25,26,372,602,84,322,568
9,22,23,416,561,90,357,530
10,21,22,405,573,97,349,532
11,22,23,449,528,83,396,498
12,22,23,404,573,91,344,542
13,23,24,406,570,67,370,539
14,19,20,438,542,87,387,506
15,24,25,397,578,91,338,546
16,17,18,501,481,115,417,450
17,22,23,355,622,75,321,581
18,20,21,408,571,94,343,542
19,22,23,368,609,86,325,566
20,21,22,404,574,75,361,542
21,21,22,365,613,81,330,567
22,18,19,371,610,81,324,576
23,18,19,391,590,118,337,526
24,19,20,399,581,77,351,552
25,25,26,353,621,92,314,568
26,22,23,368,609,84,327,566
27,20,21,366,613,60,339,580
28,21,22,320,658,96,271,611
29,19,20,381,599,98,337,545
30,18,19,384,597,71,333,577
31,18,19,461,520,126,369,486
32,18,19,457,524,108,393,480
33,17,18,364,618,85,317,580
34,19,20,387,593,107,320,553
35,22,23,405,572,83,358,536
36,19,20,449,531,88,386,506
37,20,21,289,690,49,265,665
38,18,19,395,586,88,339,554
39,18,19,434,547,105,373,503
40,23,24,334,642,64,304,608
41,19,20,448,532,82,391,507
42,16,17,463,520,102,398,483
43,18,19,360,621,70,318,593
44,20,21,326,653,70,284,625
45,19,20,395,585,111,337,532
46,18,19,382,599,69,347,565
47,19,20,374,606,58,340,582
48,19,20,393,587,103,341,536
49,18,19,444,537,113,369,499
50,20,21,398,581,52,363,564
51,19,20,384,596,97,336,547
52,16,17,464,519,66,415,502
53,19,20,319,661,70,277,633
54,20,21,386,593,94,347,538
55,17,18,421,561,76,362,544
56,15,16,376,608,73,322,589
57,17,18,419,563,98,361,523
58,20,21,377,602,93,329,557
59,17,18,427,555,104,357,521
60,22,23,352,625,70,321,586
61,17,18,387,595,76,341,565
62,18,19,393,588,59,365,557
63,17,18,424,558,107,362,513
64,17,17,415,568,84,356,543
65,24,25,341,634,67,309,599
66,19,20,327,653,61,299,620
67,16,17,379,604,91,313,579
68,16,17,338,645,92,300,591
69,18,19,458,523,111,393,477
70,21,22,373,605,100,318,560
71,17,18,408,574,99,343,540
72,19,20,403,577,83,360,537
73,18,19,326,655,80,291,610
74,17,18,340,642,59,305,618
75,19,20,362,618,78,313,589
76,18,19,345,636,77,303,601
77,18,19,364,617,77,324,580
78,18,19,389,592,73,347,561
79,17,18,389,593,57,354,571
80,20,21,357,622,66,320,593
81,18,19,366,615,98,321,562
