agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,14,15,34,351,5,34,346
1,20,21,39,340,9,38,332
2,17,18,46,336,10,45,327
3,19,20,44,336,4,44,332
4,18,19,37,344,4,37,340
5,14,15,34,351,1,33,351
6,18,18,51,331,1,51,330
7,17,18,39,343,6,39,337
8,14,15,32,353,7,31,347
9,16,17,45,338,5,44,334
10,17,18,47,335,8,47,327
11,15,16,41,343,5,39,340
12,16,17,64,319,5,62,316
13,19,20,48,332,3,47,330
14,15,16,38,346,10,35,339
15,16,17,35,348,3,34,346
16,15,16,49,335,10,44,330
17,17,18,23,359,6,23,353
18,17,18,50,332,6,49,327
19,18,19,32,349,3,30,348
20,15,16,41,343,6,38,340
21,17,18,40,342,13,37,332
22,16,17,64,319,6,62,315
23,16,17,54,329,10,52,321
24,13,14,37,349,2,36,348
25,15,16,45,339,6,44,334
26,15,16,34,350,8,30,346
27,16,17,38,345,5,38,340
28,18,19,59,322,8,54,319
29,15,16,44,340,8,42,334
30,15,16,27,357,6,27,351
31,17,18,64,318,4,63,315
32,15,16,50,334,4,49,331
33,17,18,31,351,9,28,345
34,16,17,49,334,5,47,331
35,15,16,39,345,5,38,341
36,16,17,58,325,5,58,320
37,16,17,35,348,2,35,346
38,15,16,38,346,7,38,339
39,18,19,51,330,9,51,321
40,15,16,48,336,9,45,330
41,14,15,35,350,6,32,347
42,17,18,35,347,3,34,345
43,18,19,46,335,9,45,327
44,17,18,49,333,8,47,327
45,14,15,35,350,5,33,347
46,17,18,44,338,6,41,335
47,16,17,46,337,8,44,331
48,19,20,55,325,9,54,317
49,14,15,60,325,5,58,322
