timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,100,50,50,0,39,11,0,0.9203414
2,0,100,50,50,0,25,25,3,0.9207543
3,0,100,50,50,0,17,33,3,0.9204883
4,0,100,50,50,0,13,37,4,0.9210131
5,0,100,50,50,0,9,41,5,0.9205385
6,0,100,50,50,0,7,43,5,0.9211825
7,0,100,50,50,0,6,44,8,0.9213674
8,1,100,51,49,1,2,47,10,0.9203385
9,1,100,50,50,0,3,47,11,0.9208197
10,3,100,52,48,2,1,47,12,0.9205963
11,3,100,50,50,0,2,48,13,0.9211714
12,3,100,50,50,0,1,49,13,0.9207583
13,5,100,52,48,2,1,47,13,0.9205335
14,6,100,51,49,1,1,48,14,0.9206789
15,7,100,51,49,1,2,47,14,0.9205931
16,10,100,53,47,3,3,44,15,0.9206454
17,13,100,53,47,3,6,41,15,0.9202207
18,14,100,51,49,1,6,43,15,0.9205052
19,16,100,52,48,2,4,44,15,0.9209804
20,16,100,50,50,0,5,45,16,0.9210019
21,18,100,52,48,2,2,46,17,0.9203726
22,20,100,52,48,2,3,45,17,0.9209471
23,23,100,53,47,3,5,42,18,0.920752
24,25,100,52,48,2,5,43,20,0.9210656
25,30,100,55,45,5,6,39,22,0.9248926
26,33,100,53,47,3,7,40,22,0.9207668
27,33,100,50,50,0,6,44,24,0.9202485
28,37,100,54,46,4,5,41,25,0.9208552
29,38,100,51,49,1,7,42,26,0.921171
30,42,100,54,46,4,5,41,28,0.9211727
31,43,100,51,49,1,6,43,28,0.9202418
32,47,100,54,46,4,4,42,29,0.9209855
33,48,100,51,49,1,5,44,31,0.920295
34,49,100,51,49,1,5,44,34,0.9209978
35,49,100,50,50,0,4,46,34,0.9208896
36,51,100,52,48,2,4,44,34,0.9206918
37,57,100,56,44,6,5,39,35,0.920869
38,60,100,53,47,3,8,39,36,0.9203383
39,62,100,52,48,2,6,42,36,0.9202963
40,64,100,52,48,2,4,44,36,0.9210703
41,65,100,51,49,1,4,45,36,0.9208509
42,69,100,54,46,4,1,45,36,0.9208337
43,69,100,50,50,0,5,45,36,0.9211004
44,72,100,53,47,3,4,43,38,0.9207963
45,75,100,53,47,3,3,44,40,0.9201783
46,77,100,52,48,2,5,43,42,0.9209058
47,79,100,52,48,2,5,43,42,0.9210178
48,80,100,51,49,1,4,45,42,0.9209823
49,81,100,51,49,1,4,45,42,0.9208252
